,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Steve,Steve,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Thank,thank,VBP,Xxxxx
11,you,-PRON-,PRP,xxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,us,-PRON-,PRP,xx
15,on,on,IN,xx
16,the,the,DT,xxx
17,call,call,NN,xxxx
18,today,today,NN,xxxx
19,"
","
",_SP,"
"
20,I,-PRON-,PRP,X
21,'ll,will,MD,'xx
22,start,start,VB,xxxx
23,with,with,IN,xxxx
24,some,some,DT,xxxx
25,key,key,JJ,xxx
26,points,point,NNS,xxxx
27,for,for,IN,xxx
28,the,the,DT,xxx
29,quarter,quarter,NN,xxxx
30,",",",",",",","
31,so,so,RB,xx
32,please,please,UH,xxxx
33,turn,turn,VB,xxxx
34,to,to,IN,xx
35,page,page,NN,xxxx
36,3,3,CD,d
37,in,in,IN,xx
38,the,the,DT,xxx
39,slide,slide,NN,xxxx
40,deck,deck,NN,xxxx
41,"
","
",_SP,"
"
42,This,this,DT,Xxxx
43,was,be,VBD,xxx
44,another,another,DT,xxxx
45,strong,strong,JJ,xxxx
46,quarter,quarter,NN,xxxx
47,for,for,IN,xxx
48,us,-PRON-,PRP,xx
49,"
","
",_SP,"
"
50,Organic,organic,JJ,Xxxxx
51,growth,growth,NN,xxxx
52,was,be,VBD,xxx
53,8,8,CD,d
54,%,%,NN,%
55,",",",",",",","
56,which,which,WDT,xxxx
57,was,be,VBD,xxx
58,in,in,IN,xx
59,line,line,NN,xxxx
60,with,with,IN,xxxx
61,our,-PRON-,PRP$,xxx
62,expectations,expectation,NNS,xxxx
63,"
","
",_SP,"
"
64,I,-PRON-,PRP,X
65,'m,be,VBP,'x
66,pleased,pleased,JJ,xxxx
67,to,to,TO,xx
68,see,see,VB,xxx
69,that,that,IN,xxxx
70,this,this,DT,xxxx
71,growth,growth,NN,xxxx
72,was,be,VBD,xxx
73,broad,broad,RB,xxxx
74,-,-,HYPH,-
75,based,base,VBN,xxxx
76,across,across,IN,xxxx
77,the,the,DT,xxx
78,regions,region,NNS,xxxx
79,and,and,CC,xxx
80,industries,industry,NNS,xxxx
81,"
","
",_SP,"
"
82,Globally,globally,RB,Xxxxx
83,",",",",",",","
84,transportation,transportation,NN,xxxx
85,continued,continue,VBD,xxxx
86,to,to,TO,xx
87,deliver,deliver,VB,xxxx
88,very,very,RB,xxxx
89,good,good,JJ,xxxx
90,growth,growth,NN,xxxx
91,"
","
",_SP,"
"
92,In,in,IN,Xx
93,consumer,consumer,NN,xxxx
94,",",",",",",","
95,food,food,NN,xxxx
96,and,and,CC,xxx
97,beverage,beverage,NN,xxxx
98,did,do,VBD,xxx
99,well,well,RB,xxxx
100,"
","
",_SP,"
"
101,Heavy,heavy,JJ,Xxxxx
102,industries,industry,NNS,xxxx
103,were,be,VBD,xxxx
104,also,also,RB,xxxx
105,up,up,RB,xx
106,in,in,IN,xx
107,the,the,DT,xxx
108,quarter,quarter,NN,xxxx
109,",",",",",",","
110,including,include,VBG,xxxx
111,good,good,JJ,xxxx
112,growth,growth,NN,xxxx
113,in,in,IN,xx
114,semiconductor,semiconductor,NN,xxxx
115,"
","
",_SP,"
"
116,Overall,overall,RB,Xxxxx
117,",",",",",",","
118,the,the,DT,xxx
119,macroeconomic,macroeconomic,JJ,xxxx
120,environment,environment,NN,xxxx
121,remains,remain,VBZ,xxxx
122,solid,solid,JJ,xxxx
123,"
","
",_SP,"
"
124,From,from,IN,Xxxx
125,a,a,DT,x
126,regional,regional,JJ,xxxx
127,perspective,perspective,NN,xxxx
128,",",",",",",","
129,the,the,DT,xxx
130,U.S,U.S,NNP,X.X
131,"
","
",_SP,"
"
132,",",",",",",","
133,our,-PRON-,PRP$,xxx
134,largest,large,JJS,xxxx
135,market,market,NN,xxxx
136,grew,grow,VBD,xxxx
137,8,8,CD,d
138,%,%,NN,%
139,"
","
",_SP,"
"
140,We,-PRON-,PRP,Xx
141,saw,see,VBD,xxx
142,growth,growth,NN,xxxx
143,in,in,IN,xx
144,most,most,JJS,xxxx
145,verticals,vertical,NNS,xxxx
146,led,lead,VBN,xxx
147,by,by,IN,xx
148,strong,strong,JJ,xxxx
149,performance,performance,NN,xxxx
150,in,in,IN,xx
151,transportation,transportation,NN,xxxx
152,"
","
",_SP,"
"
153,EMEA,EMEA,NNP,XXXX
154,was,be,VBD,xxx
155,flat,flat,JJ,xxxx
156,year,year,NN,xxxx
157,-,-,HYPH,-
158,over,over,IN,xxxx
159,-,-,HYPH,-
160,year,year,NN,xxxx
161,",",",",",",","
162,as,as,IN,xx
163,expected,expect,VBN,xxxx
164,"
","
",_SP,"
"
165,The,the,DT,Xxx
166,timing,timing,NN,xxxx
167,of,of,IN,xx
168,projects,project,NNS,xxxx
169,is,be,VBZ,xx
170,driving,drive,VBG,xxxx
171,some,some,DT,xxxx
172,quarter,quarter,NN,xxxx
173,-,-,HYPH,-
174,to,to,IN,xx
175,-,-,HYPH,-
176,quarter,quarter,NN,xxxx
177,variability,variability,NN,xxxx
178,in,in,IN,xx
179,our,-PRON-,PRP$,xxx
180,growth,growth,NN,xxxx
181,rates,rate,NNS,xxxx
182,"
","
",_SP,"
"
183,Asia,Asia,NNP,Xxxx
184,grew,grow,VBD,xxxx
185,over,over,IN,xxxx
186,20,20,CD,dd
187,%,%,NN,%
188,"
","
",_SP,"
"
189,We,-PRON-,PRP,Xx
190,saw,see,VBD,xxx
191,growth,growth,NN,xxxx
192,in,in,IN,xx
193,most,most,JJS,xxxx
194,verticals,vertical,NNS,xxxx
195,led,lead,VBN,xxx
196,by,by,IN,xx
197,semiconductor,semiconductor,NN,xxxx
198,"
","
",_SP,"
"
199,Most,Most,JJS,Xxxx
200,countries,country,NNS,xxxx
201,in,in,IN,xx
202,the,the,DT,xxx
203,region,region,NN,xxxx
204,were,be,VBD,xxxx
205,up,up,RB,xx
206,including,include,VBG,xxxx
207,China,China,NNP,Xxxxx
208,",",",",",",","
209,which,which,WDT,xxxx
210,grew,grow,VBD,xxxx
211,about,about,RB,xxxx
212,20,20,CD,dd
213,%,%,NN,%
214,"
","
",_SP,"
"
215,Latin,Latin,NNP,Xxxxx
216,America,America,NNP,Xxxxx
217,grew,grow,VBD,xxxx
218,12,12,CD,dd
219,%,%,NN,%
220,with,with,IN,xxxx
221,strong,strong,JJ,xxxx
222,growth,growth,NN,xxxx
223,in,in,IN,xx
224,Mexico,Mexico,NNP,Xxxxx
225,"
","
",_SP,"
"
226,I,-PRON-,PRP,X
227,'ll,will,MD,'xx
228,make,make,VB,xxxx
229,a,a,DT,x
230,few,few,JJ,xxx
231,additional,additional,JJ,xxxx
232,comments,comment,NNS,xxxx
233,about,about,IN,xxxx
234,the,the,DT,xxx
235,quarter,quarter,NN,xxxx
236,"
","
",_SP,"
"
237,Acquisitions,acquisition,NNS,Xxxxx
238,add,add,VBP,xxx
239,1.2,1.2,CD,d.d
240,points,point,NNS,xxxx
241,of,of,IN,xx
242,sales,sale,NNS,xxxx
243,growth,growth,NN,xxxx
244,"
","
",_SP,"
"
245,ACP,ACP,NNP,XXX
246,and,and,CC,xxx
247,MAVERICK,MAVERICK,NNP,XXXX
248,are,be,VBP,xxx
249,contributing,contribute,VBG,xxxx
250,technology,technology,NN,xxxx
251,innovation,innovation,NN,xxxx
252,and,and,CC,xxx
253,domain,domain,NN,xxxx
254,expertise,expertise,NN,xxxx
255,",",",",",",","
256,and,and,CC,xxx
257,are,be,VBP,xxx
258,accretive,accretive,JJ,xxxx
259,to,to,IN,xx
260,earnings,earning,NNS,xxxx
261,"
","
",_SP,"
"
262,Our,-PRON-,PRP$,Xxx
263,process,process,NN,xxxx
264,business,business,NN,xxxx
265,improved,improve,VBD,xxxx
266,and,and,CC,xxx
267,was,be,VBD,xxx
268,up,up,RB,xx
269,8,8,CD,d
270,%,%,NN,%
271,year,year,NN,xxxx
272,-,-,HYPH,-
273,over,over,IN,xxxx
274,-,-,HYPH,-
275,year,year,NN,xxxx
276,organically,organically,RB,xxxx
277,"
","
",_SP,"
"
278,Including,include,VBG,Xxxxx
279,MAVERICK,MAVERICK,NNP,XXXX
280,",",",",",",","
281,process,process,NN,xxxx
282,was,be,VBD,xxx
283,up,up,RB,xx
284,double,double,JJ,xxxx
285,-,-,HYPH,-
286,digits,digits,NN,xxxx
287,"
","
",_SP,"
"
288,Architecture,Architecture,NNP,Xxxxx
289,&,&,CC,&
290,Software,Software,NNP,Xxxxx
291,had,have,VBD,xxx
292,another,another,DT,xxxx
293,strong,strong,JJ,xxxx
294,quarter,quarter,NN,xxxx
295,with,with,IN,xxxx
296,10.5,10.5,CD,dd.d
297,%,%,NN,%
298,organic,organic,JJ,xxxx
299,growth,growth,NN,xxxx
300,"
","
",_SP,"
"
301,Within,within,IN,Xxxxx
302,this,this,DT,xxxx
303,segment,segment,NN,xxxx
304,",",",",",",","
305,Logix,Logix,NNP,Xxxxx
306,was,be,VBD,xxx
307,up,up,RB,xx
308,10,10,CD,dd
309,%,%,NN,%
310,compared,compare,VBN,xxxx
311,to,to,IN,xx
312,last,last,JJ,xxxx
313,year,year,NN,xxxx
314,"
","
",_SP,"
"
315,This,this,DT,Xxxx
316,was,be,VBD,xxx
317,the,the,DT,xxx
318,third,third,JJ,xxxx
319,consecutive,consecutive,JJ,xxxx
320,quarter,quarter,NN,xxxx
321,of,of,IN,xx
322,double,double,JJ,xxxx
323,-,-,HYPH,-
324,digit,digit,NN,xxxx
325,EPS,EPS,NNP,XXX
326,growth,growth,NN,xxxx
327,"
","
",_SP,"
"
328,Patrick,Patrick,NNP,Xxxxx
329,will,will,MD,xxxx
330,elaborate,elaborate,VB,xxxx
331,on,on,IN,xx
332,Q3,Q3,NNP,Xd
333,financial,financial,JJ,xxxx
334,performance,performance,NN,xxxx
335,in,in,IN,xx
336,his,-PRON-,PRP$,xxx
337,remarks,remark,NNS,xxxx
338,"
","
",_SP,"
"
339,We,-PRON-,PRP,Xx
340,are,be,VBP,xxx
341,pleased,pleased,JJ,xxxx
342,with,with,IN,xxxx
343,our,-PRON-,PRP$,xxx
344,sales,sale,NNS,xxxx
345,and,and,CC,xxx
346,earnings,earning,NNS,xxxx
347,performance,performance,NN,xxxx
348,in,in,IN,xx
349,the,the,DT,xxx
350,quarter,quarter,NN,xxxx
351,"
","
",_SP,"
"
352,Let,let,VB,Xxx
353,'s,-PRON-,PRP,'x
354,move,move,VB,xxxx
355,on,on,RP,xx
356,to,to,IN,xx
357,our,-PRON-,PRP$,xxx
358,outlook,outlook,NN,xxxx
359,for,for,IN,xxx
360,the,the,DT,xxx
361,balance,balance,NN,xxxx
362,of,of,IN,xx
363,fiscal,fiscal,JJ,xxxx
364,2017,2017,CD,dddd
365,.,.,.,.
366,As,as,IN,Xx
367,I,-PRON-,PRP,X
368,said,say,VBD,xxxx
369,earlier,earlier,RBR,xxxx
370,",",",",",",","
371,the,the,DT,xxx
372,macro,macro,JJ,xxxx
373,outlook,outlook,NN,xxxx
374,remains,remain,VBZ,xxxx
375,solid,solid,JJ,xxxx
376,"
","
",_SP,"
"
377,Recent,recent,JJ,Xxxxx
378,projections,projection,NNS,xxxx
379,of,of,IN,xx
380,industrial,industrial,JJ,xxxx
381,production,production,NN,xxxx
382,growth,growth,NN,xxxx
383,are,be,VBP,xxx
384,largely,largely,RB,xxxx
385,unchanged,unchanged,JJ,xxxx
386,from,from,IN,xxxx
387,a,a,DT,x
388,quarter,quarter,NN,xxxx
389,ago,ago,RB,xxx
390,"
","
",_SP,"
"
391,We,-PRON-,PRP,Xx
392,expect,expect,VBP,xxxx
393,continued,continue,VBN,xxxx
394,growth,growth,NN,xxxx
395,in,in,IN,xx
396,transportation,transportation,NN,xxxx
397,and,and,CC,xxx
398,consumer,consumer,NN,xxxx
399,"
","
",_SP,"
"
400,We,-PRON-,PRP,Xx
401,expect,expect,VBP,xxxx
402,heavy,heavy,JJ,xxxx
403,industry,industry,NN,xxxx
404,in,in,IN,xx
405,total,total,NN,xxxx
406,to,to,TO,xx
407,be,be,VB,xx
408,up,up,RB,xx
409,low,low,JJ,xxx
410,single,single,RB,xxxx
411,-,-,HYPH,-
412,digits,digit,NNS,xxxx
413,for,for,IN,xxx
414,the,the,DT,xxx
415,year,year,NN,xxxx
416,",",",",",",","
417,consistent,consistent,JJ,xxxx
