,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,"
","
",_SP,"
"
3,And,and,CC,Xxx
4,thanks,thank,NNS,xxxx
5,to,to,IN,xx
6,everyone,everyone,NN,xxxx
7,for,for,IN,xxx
8,calling,call,VBG,xxxx
9,in,in,RP,xx
10,today,today,NN,xxxx
11,"
","
",_SP,"
"
12,It,-PRON-,PRP,Xx
13,looks,look,VBZ,xxxx
14,like,like,IN,xxxx
15,we,-PRON-,PRP,xx
16,got,get,VBD,xxx
17,a,a,DT,x
18,pretty,pretty,RB,xxxx
19,good,good,JJ,xxxx
20,crowd,crowd,NN,xxxx
21,here,here,RB,xxxx
22,calling,call,VBG,xxxx
23,in,in,RP,xx
24,now,now,RB,xxx
25,"
","
",_SP,"
"
26,Today,today,NN,Xxxxx
27,",",",",",",","
28,as,as,IN,xx
29,always,always,RB,xxxx
30,",",",",",",","
31,I,-PRON-,PRP,X
32,'ll,will,MD,'xx
33,start,start,VB,xxxx
34,off,off,RP,xxx
35,with,with,IN,xxxx
36,comments,comment,NNS,xxxx
37,about,about,IN,xxxx
38,our,-PRON-,PRP$,xxx
39,consistent,consistent,JJ,xxxx
40,strategy,strategy,NN,xxxx
41,"
","
",_SP,"
"
42,I,-PRON-,PRP,X
43,then,then,RB,xxxx
44,like,like,VBP,xxxx
45,to,to,TO,xx
46,give,give,VB,xxxx
47,some,some,DT,xxxx
48,color,color,NN,xxxx
49,on,on,IN,xx
50,both,both,CC,xxxx
51,our,-PRON-,PRP$,xxx
52,military,military,JJ,xxxx
53,business,business,NN,xxxx
54,and,and,CC,xxx
55,a,a,DT,x
56,few,few,JJ,xxx
57,other,other,JJ,xxxx
58,topics,topic,NNS,xxxx
59,relating,relate,VBG,xxxx
60,to,to,IN,xx
61,Q1,Q1,NNP,Xd
62,.,.,.,.
63,I,-PRON-,PRP,X
64,'ll,will,MD,'xx
65,then,then,RB,xxxx
66,summarize,summarize,VB,xxxx
67,the,the,DT,xxx
68,Q1,Q1,NNP,Xd
69,performance,performance,NN,xxxx
70,and,and,CC,xxx
71,an,an,DT,xx
72,update,update,NN,xxxx
73,on,on,IN,xx
74,the,the,DT,xxx
75,guidance,guidance,NN,xxxx
76,"
","
",_SP,"
"
77,Kevin,Kevin,NNP,Xxxxx
78,will,will,MD,xxxx
79,then,then,RB,xxxx
80,go,go,VB,xx
81,through,through,IN,xxxx
82,some,some,DT,xxxx
83,of,of,IN,xx
84,the,the,DT,xxx
85,operating,operating,NN,xxxx
86,specifics,specific,NNS,xxxx
87,for,for,IN,xxx
88,Q1,Q1,NNP,Xd
89,",",",",",",","
90,and,and,CC,xxx
91,Terry,Terry,NNP,Xxxxx
92,will,will,MD,xxxx
93,run,run,VB,xxx
94,through,through,IN,xxxx
95,the,the,DT,xxx
96,financials,financial,NNS,xxxx
97,"
","
",_SP,"
"
98,To,to,TO,Xx
99,restate,restate,VB,xxxx
100,",",",",",",","
101,we,-PRON-,PRP,xx
102,believe,believe,VBP,xxxx
103,our,-PRON-,PRP$,xxx
104,business,business,NN,xxxx
105,model,model,NN,xxxx
106,is,be,VBZ,xx
107,unique,unique,JJ,xxxx
108,in,in,IN,xx
109,the,the,DT,xxx
110,industry,industry,NN,xxxx
111,",",",",",",","
112,both,both,DT,xxxx
113,net,net,NN,xxx
114,consistently,consistently,RB,xxxx
115,and,and,CC,xxx
116,its,-PRON-,PRP$,xxx
117,ability,ability,NN,xxxx
118,to,to,TO,xx
119,sustain,sustain,VB,xxxx
120,and,and,CC,xxx
121,create,create,VB,xxxx
122,intrinsic,intrinsic,JJ,xxxx
123,shareholder,shareholder,NN,xxxx
124,value,value,NN,xxxx
125,through,through,IN,xxxx
126,all,all,DT,xxx
127,phases,phase,NNS,xxxx
128,of,of,IN,xx
129,the,the,DT,xxx
130,cycle,cycle,NN,xxxx
131,"
","
",_SP,"
"
132,About,about,RB,Xxxxx
133,90,90,CD,dd
134,%,%,NN,%
135,of,of,IN,xx
136,our,-PRON-,PRP$,xxx
137,sales,sale,NNS,xxxx
138,are,be,VBP,xxx
139,generated,generate,VBN,xxxx
140,by,by,IN,xx
141,proprietary,proprietary,JJ,xxxx
142,products,product,NNS,xxxx
143,and,and,CC,xxx
144,about,about,RB,xxxx
145,three,three,CD,xxxx
146,quarters,quarter,NNS,xxxx
147,of,of,IN,xx
148,our,-PRON-,PRP$,xxx
149,sales,sale,NNS,xxxx
150,come,come,VBP,xxxx
151,from,from,IN,xxxx
152,products,product,NNS,xxxx
153,",",",",",",","
154,for,for,IN,xxx
155,which,which,WDT,xxxx
156,we,-PRON-,PRP,xx
157,believe,believe,VBP,xxxx
158,we,-PRON-,PRP,xx
159,are,be,VBP,xxx
160,the,the,DT,xxx
161,sole,sole,JJ,xxxx
162,source,source,NN,xxxx
163,provider,provider,NN,xxxx
164,"
","
",_SP,"
"
165,Over,over,IN,Xxxx
166,half,half,PDT,xxxx
