,Sentences
0,"Thanks, David, and good morning, everyone"
1,"Earlier this year, we laid out our 2017 full year plans, as well as our three-year target"
2,"At the midpoint of the year, the business is performing as we expected and we are pleased with our progress"
3,"Looking closely at the second quarter, total revenue increased 7.7%"
4,"Adjusting for currency, top line growth was nearly 9%"
5,The revenue was balanced across all segments with shipment growth throughout the product portfolio
6,"Earnings per share were $1.58, up almost 11% over last year with good, core performance within the segments"
7,"In addition, there were several items that positively contributed to the quarter"
8,Most of these were expected
9,"First, net fuel year-over-year was a benefit"
10,"In 2016, fuel prices accelerated through the quarter from April through June"
11,"At the time, we had a two-month fuel surcharge revenue delay and were unable to offset the increase in fuel prices"
12,"In early February, we adopted a two-week revenue lag"
13,"In addition, there were other fuel policy changes that increased the overall revenue-to-expense coverage ratio"
14,Another positive contribution occurs as a result of lower workers' compensation cost in the second quarter
15,"We've gone to quarterly, rather than semi-annual, outside independent studies to refine our estimates of our workers' compensation liability"
16,"Finally, it was a one-time benefit that the Supply Chain & Freight segment received this quarter"
17,Together these three contributed approximately $0.10 per share
18,The majority of the benefit came from fuel and workers' compensation that we had anticipated
19,"Now, let's turn to the details of each segment"
20,In the U.S
21,", revenue increased more than 8% due to several factors; volume growth, Easter in the second quarter, and higher fuel surcharges, which added about 120 basis points"
22,Total shipments increased almost 5% with growth accelerating across the products
23,"Deferred Air led the way, up 11%, and Next Day Air was up more than 6%"
24,"Ground shipments also increased more than 4%, driven by SurePost and residential deliveries"
25,Strong B2C expansion continued with growth in the low teens
26,"And despite the acceleration of brick-and-mortar store closings, B2B has sequentially improved and moved into positive territory"
27,Yield management initiatives contributed to revenue-per-package growth of 3% during the quarter
28,Strong base rates and higher fuel surcharges offset product mix changes
29,Operating costs were pressured by higher fuel prices
30,"In addition, the cost penalties associated with 20 projects under construction and the deployment of Saturday operations continued in the second quarter, but were offset by the workers' compensation benefits I mentioned earlier"
31,Operating profit increased 13% to $1.4 billion and margin expanded 60 basis points to 14.3%
32,"The strong shipment growth, combined with the UPS initiatives, contributed to the gains"
33,"Now turning to the International segment, which delivered another quarter of good top line growth, combined with positive operating leverage on a currency-neutral basis"
34,International revenue increased 2.8%
35,"Adjusted for currency, growth was 8.3%"
36,Demand for our unmatched export solutions remained high as shipments were up 12%
