,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,David,David,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Earlier,earlier,RBR,Xxxxx
11,this,this,DT,xxxx
12,year,year,NN,xxxx
13,",",",",",",","
14,we,-PRON-,PRP,xx
15,laid,lay,VBD,xxxx
16,out,out,RP,xxx
17,our,-PRON-,PRP$,xxx
18,2017,2017,CD,dddd
19,full,full,JJ,xxxx
20,year,year,NN,xxxx
21,plans,plan,NNS,xxxx
22,",",",",",",","
23,as,as,RB,xx
24,well,well,RB,xxxx
25,as,as,IN,xx
26,our,-PRON-,PRP$,xxx
27,three,three,CD,xxxx
28,-,-,HYPH,-
29,year,year,NN,xxxx
30,target,target,NN,xxxx
31,"
","
",_SP,"
"
32,At,at,IN,Xx
33,the,the,DT,xxx
34,midpoint,midpoint,NN,xxxx
35,of,of,IN,xx
36,the,the,DT,xxx
37,year,year,NN,xxxx
38,",",",",",",","
39,the,the,DT,xxx
40,business,business,NN,xxxx
41,is,be,VBZ,xx
42,performing,perform,VBG,xxxx
43,as,as,IN,xx
44,we,-PRON-,PRP,xx
45,expected,expect,VBD,xxxx
46,and,and,CC,xxx
47,we,-PRON-,PRP,xx
48,are,be,VBP,xxx
49,pleased,pleased,JJ,xxxx
50,with,with,IN,xxxx
51,our,-PRON-,PRP$,xxx
52,progress,progress,NN,xxxx
53,"
","
",_SP,"
"
54,Looking,look,VBG,Xxxxx
55,closely,closely,RB,xxxx
56,at,at,IN,xx
57,the,the,DT,xxx
58,second,second,JJ,xxxx
59,quarter,quarter,NN,xxxx
60,",",",",",",","
61,total,total,JJ,xxxx
62,revenue,revenue,NN,xxxx
63,increased,increase,VBD,xxxx
64,7.7,7.7,CD,d.d
65,%,%,NN,%
66,"
","
",_SP,"
"
67,Adjusting,adjust,VBG,Xxxxx
68,for,for,IN,xxx
69,currency,currency,NN,xxxx
70,",",",",",",","
71,top,top,JJ,xxx
72,line,line,NN,xxxx
73,growth,growth,NN,xxxx
74,was,be,VBD,xxx
