,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Akhil,Akhil,NNP,Xxxxx
3,"
","
",_SP,"
"
4,I,-PRON-,PRP,X
5,'m,be,VBP,'x
6,on,on,IN,xx
7,slide,slide,NN,xxxx
8,four,four,CD,xxxx
9,",",",",",",","
10,and,and,CC,xxx
11,I,-PRON-,PRP,X
12,'ll,will,MD,'xx
13,be,be,VB,xx
14,speaking,speak,VBG,xxxx
15,of,of,IN,xx
16,the,the,DT,xxx
17,segments,segment,NNS,xxxx
18,in,in,IN,xx
19,constant,constant,JJ,xxxx
20,currency,currency,NN,xxxx
21,",",",",",",","
22,as,as,IN,xx
23,we,-PRON-,PRP,xx
24,usually,usually,RB,xxxx
25,do,do,VBP,xx
26,"
","
",_SP,"
"
27,And,and,CC,Xxx
28,as,as,IN,xx
29,a,a,DT,x
30,reminder,reminder,NN,xxxx
31,",",",",",",","
32,there,there,EX,xxxx
33,'s,be,VBZ,'x
34,an,an,DT,xx
35,appendix,appendix,NN,xxxx
36,on,on,IN,xx
37,slide,slide,NN,xxxx
38,12,12,CD,dd
39,with,with,IN,xxxx
40,additional,additional,JJ,xxxx
41,segment,segment,NN,xxxx
42,data,datum,NNS,xxxx
43,as,as,IN,xx
44,a,a,DT,x
45,reference,reference,NN,xxxx
46,"
","
",_SP,"
"
47,Otis,otis,JJ,Xxxx
48,sales,sale,NNS,xxxx
49,were,be,VBD,xxxx
50,$,$,$,$
51,3.1,3.1,CD,d.d
52,billion,billion,CD,xxxx
53,in,in,IN,xx
54,the,the,DT,xxx
55,quarter,quarter,NN,xxxx
56,"
","
",_SP,"
"
57,That,that,DT,Xxxx
58,was,be,VBD,xxx
59,up,up,RB,xx
60,1,1,CD,d
61,%,%,NN,%
62,organically,organically,RB,xxxx
63,"
","
",_SP,"
"
64,Excluding,exclude,VBG,Xxxxx
65,China,China,NNP,Xxxxx
66,",",",",",",","
67,organic,organic,JJ,xxxx
68,sales,sale,NNS,xxxx
69,were,be,VBD,xxxx
70,up,up,RB,xx
71,4,4,CD,d
72,%,%,NN,%
73,"
","
",_SP,"
"
74,Operating,operate,VBG,Xxxxx
75,profit,profit,NN,xxxx
76,was,be,VBD,xxx
