,Sentences
0,"Thanks, Akhil"
1,I'm on slide 4.
2,I'll be speaking to the segments at constant currency as we usually do
3,"And as a reminder, there's an appendix on slide 12 with additional segment data you can use as a reference"
4,"Otis sales were $3.2 billion in the quarter, and that was up 2% organically"
5,Operating profit was down 7% at constant currency
6,"Contribution from higher volume and productivity was more than offset by continued pricing and mix pressure, predominantly in China as well as strategic investments in service and E&D"
7,Foreign exchange translation was a 1 point tailwind to sales and earnings
8,New equipment sales were up 2%
9,"Low-double digit growth in Europe and high-single digit growth in North America were largely offset by a 10% decline in China, where the market and environment remains challenging"
10,"Service sales were up 5%, including the benefit of acquisitions"
11,"Otis saw solid growth in modernization and repair, while maintenance sales were up low-single digits"
12,New equipment orders were down 4% in the quarter
13,"25% growth in Europe was more than offset by a decline of 24% in North America, which had a tough compare, as well as declines in Asia excluding China"
14,"In China, orders were flat in dollar terms, with unit orders up 8%"
15,Full-year expectations for Otis remain unchanged
16,We continue to expect operating profit to be down $125 million to $175 million at actual FX
17,"Climate, Controls & Security grew sales 6% in the quarter"
18,Operating profit grew 5%
19,FX translation was a 2 point tailwind to sales and a 1 point tailwind to earnings
20,"CCS grew 4% organically in Q3, with growth in every major product segment"
21,Commercial refrigeration was up 11% and transport refrigeration grew 8%
22,"Residential HVAC was up mid-single digits, despite lower cooling degree days in the quarter"
23,"Global commercial HVAC was up 4%, with strength in the Americas and Europe more than offsetting weakness in Asia and the Middle East"
24,"Total equipment orders at CCS were up 2% in the quarter, primarily driven by 7% growth in global commercial HVAC"
25,This is the first quarter of orders growth in the Middle East since Q3 of 2015.
26,"Commercial refrigeration orders grew high-single digits, offsetting a 10% decline in transport refrigeration"
27,Residential HVAC orders were down 3% after seeing double-digit growth in the first half of the year
28,Global fire and security orders were up 2%
29,Organic volume contribution in the quarter was mostly offset by price and mix headwind
30,Productivity gains from restructuring and product cost reduction delivered 4% profit growth at constant currency
31,"For the full year, we remain confident that CCS will deliver low to mid-single digit organic sales growth and that operating profit growth will be at the low end of the $100 million to $150 million range at actual FX"
32,Turning to Aerospace on slide 6.
33,"Pratt & Whitney sales were strong, up 15% organically in the quarter"
34,Total commercial OEM sales were up 31% and that was primarily due to higher Geared Turbofan deliveries and favorable mix on legacy programs
35,Pratt & Whitney Canada OEM shipments were down
36,Commercial aftermarket sales were up 11% on continuing V2500 strength
37,"Sales at the military engines business were up 14%, benefiting from higher F135 and tanker deliveries, aftermarket strength and development revenues"
38,Pratt & Whitney operating profit of $423 million was up 2%
39,"Drop-through from the commercial aftermarket and higher military sales, as well as favorable FX and pension, was mostly offset by higher negative engine margin and ramp-related costs as well as the impact of lower Pratt & Whitney Canada shipments and a customer insolvency reserve"
40,"As Akhil mentioned, Pratt has increased the allocation of GTF production to the spare engine pool, which reduces total negative engine margin"
41,"This, along with the higher commercial aftermarket volume, leads us to expect full-year operating profit to be down $125 million to $175 million, but likely closer to the $125 million end of the range"
42,And that's an improvement over prior expectations
43,"So, before I move onto Aerospace Systems, just a note; the shift toward spare engines will also negatively impact corporate eliminations as UTAS inter-company profit on GTF completions is eliminated at the corporate level"
44,Turning to slide 7.
45,Aerospace Systems delivered 4% profit growth on flat organic sales
46,"Commercial OEM sales were down 6%, driven by declines in legacy program volume that more than offset growth on new programs in the quarter"
47,"Of note, the end of the Boeing 777 landing gear production at Aerospace Systems impacted commercial OEM sales in the quarter by approximately 4 points"
48,Commercial aftermarket was up 11% and was driven by nearly 30% growth in provisioning
49,Parts were up 2% while repair was up 8%
50,Military sales were down slightly in the quarter
51,"Operating profit growth was driven by drop-through on higher commercial aftermarket sales, continued cost reduction and pension tailwind"
52,These benefits were partially offset by unfavorable OEM volume and mix
53,A favorable customer settlement in the quarter offset the absence of a prior year gain from the sale of a non-core asset
54,"With solid year-to-date results at Aerospace Systems, we continue to expect operating profit to be up $50 million to $100 million for the full year and likely toward the high end of the range on low single digit organic sales growth"
55,"And with that, I will hand it back to Greg"
56,"Sheila, it's a product of both higher volumes and shop visits on the V2500, really good content there as well"
57,"The 4s and the 2s, the legacy models, they continue to be in attrition mode and the shop visits were down as we expected, but we saw a bit higher content on our legacy models than we had expected"
58,Some higher life-limited part replacement by some operators that's driving that strength
59,"And as we talked about earlier in the call, some of those going to pull through"
