,Sentences
0,"Thanks, Ed, and thank you, all, for joining us this morning"
1,Our second quarter results have again demonstrated the cash-generating strength of our company
2,"Our tactical focus on improving core price, adding profitable volume in a disciplined manner, and controlling costs is clearly the right direction for our business"
3,"The end result of that focus is once again a strong operating EBITDA performance, which translated into robust cash flow in the quarter"
4,Our operating EBITDA grew about 8% in the quarter to $1.029 billion when compared to the second quarter of 2016.
5,This was the highest operating EBITDA we've ever achieved in any quarter in Waste Management's long history
6,"As a result, our free cash flow grew almost 13% for the same comparative period despite a significant increase in cash taxes paid"
7,The conversion rate of operating EBITDA to free cash flow has increased sequentially for the past three quarters to over 50% in the second quarter of 2017.
8,"Devina will discuss our cash flow in detail, but we exceeded our internal expectations"
9,And we remain confident that we can meet the upper end of our full year guidance of between $1.5 billion and $1.6 billion
10,"Turning to earnings per share, we generated $0.81 of EPS in the second quarter, an increase of 10.4% when compared to the second quarter of 2016."
11,"Included in that 10.4% growth were a $0.04 drag to EPS, $0.02 from an increased tax rate, $0.01 from the expiration of fuel tax credits and $0.01 from two small impairments"
12,"But even with that $0.04 of headwind, we grew EPS by $0.07 versus the second quarter of 2016."
13,"Driving strong growth in EPS, EBITDA and free cash flow with solid growth in revenue and operating income, our revenues grew by $252 million or 7.4%"
14,"And just as we saw in the first quarter, this increase was organically driven"
15,Our income from operations grew 9.4% and margins also expanded with the income from operation margin of 30 basis points
16,One of the drivers of our success was the disciplined execution of our pricing programs
17,"In the second quarter, our collection and disposal core price was 4.7%, and our yield was 1.9%"
18,"Our focus on disciplined pricing remains unchanged as demonstrated by our core price results, which are well above our full year goal"
19,"Looking at volumes, our traditional solid waste volumes were positive 3.2% in the second quarter"
20,"We continue to focus on areas of the economy that are experiencing growth, and we are retaining customers through our improved customer service"
21,"In the second quarter, the underlying volume growth in our business remains strong in the commercial, industrial, and landfill lines of business"
22,And we also saw slight improvements in the rate of decline in our residential business
23,"As a result, we would expect our volumes to exceed our full year goal"
24,"And as you can see, we're maintaining our price discipline, while growing our volume"
25,"So, we're hitting on all cylinders right now, with the cash-generating strength of our business shining brightly in 2017."
26,"Looking beyond 2017, we've talked recently about our strategy of bringing more technology to bear in our business and about creating a 21st Century HR organization"
27,"On the people front, we're tackling long-term opportunities like reducing driver turnover, building best-in-class leadership development, and leading in the field of training and performance management"
28,"Regarding technology, our focus there is intended to serve as a differentiator to help us continue down this path of strong organic growth"
29,"They will come in several different forms, including customer-facing technologies for e-commerce and self-service, use of big data for predictive analytics like maintenance and dynamic routing, and improvement in our cost structure over the long-term through the application of robotics and autonomy"
30,"Of course, we will not lose our focus on disciplined capital expenditures and SG&A expense control as we proceed with this long-term strategy"
31,We plan to have a strategic leader of the technology function placed by year-end
32,"So, to sum it up, we've had an exceptional first half of 2017 and our employees continue to execute our plans and deliver strong performance"
33,"In the second half of 2017, we expect to see the momentum from the first half continue"
34,"As a result, we expect to meet the upper end of both our full year EPS guidance of between $3.14 and $3.18, and our full year free cash flow guidance of $1.5 billion to $1.6 billion"
35,I will now turn the call over to Jim to discuss our second quarter operating results in more detail
36,"Good morning, Brian"
37,"Sure, Brian"
38,"I would actually say we felt good about our margins for the quarter, and here's why"
39,"The EBITDA margins were up 10 basis points, or better by 10 basis points, but they were impacted by two factors"
40,"You mentioned the one, which was fuel tax credits"
41,That was worth about 20 basis points to us in margin
42,But the other one that Jim's going to give a little bit of color on is our recycling brokerage business
43,"And that recycling brokerage business was up over 5% in revenue, which impacted margins by 50 basis points"
44,"And so, if you exclude those two, you're talking about 70 basis points of margin accretion there"
45,"So, that's why I would say we felt good about our margins even being better by only 10 basis points on the EBITDA line"
46,"I mean, I think the acquisition landscape is pretty healthy right now and our pipeline is pretty healthy right now, too"
47,"We're going to talk about several today, in fact"
48,"So, I think you'll see us â€"
49,“ we've always kind of talked about our normal tuck-ins ranging between $100 million and $200 million
50,"Last year, we were towards the lower end of that range"
51,"I would tell you, Brian, that this year we'll be at the higher end of that range"
52,"So, I wouldn't disagree with what one of our counterparts said about the M&A landscape"
53,"Hamzah, one thing I would add to this, and we've given some long answers to the first two questions here from you and Brian, but I think it's worth really addressing this"
54,But Devina is absolutely right about this
55,"I mean, it is the biggest components of free cash flow that's actually driving it, which is EBITDA"
56,"I mean, growing EBITDA by 8% organically is no easy task"
57,"And if you back up the line from there, growing revenue by 7.4% in an economy that's kind of a 1.5% or 2% economy, and doing all that with organic growth, to me, is really impressive"
58,And you may â€
59,“ you look at revenue
60,"Even if you took out commodity price completely, if you said, okay, fine, but you're growing your revenue, come on, take it out, take that out completely"
61,", we still grew revenue organically by 4.1% in a 1.5% or 2% economy, double or 2.5 times the economy"
62,"So, the fact that this is all translating down into free cash â€“ cash from operations and then free cash is not surprising to us, but we're really pleased with the fact that these big financial metrics that we focus on are performing as well as they are"
63,"Hamzah Mazari - Macquarie Capital (USA), Inc"
64,That's very helpful
65,Just a follow-up
66,and I'll turn it over
67,"Historically, yourself and the sector has raised guidance on the second quarter based on seasonality of volumes that when you first give guidance, you don't have visibility on"
