,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Ed,Ed,NNP,Xx
3,",",",",",",","
4,and,and,CC,xxx
5,thank,thank,VBP,xxxx
6,you,-PRON-,PRP,xxx
7,",",",",",",","
8,all,all,DT,xxx
9,",",",",",",","
10,for,for,IN,xxx
11,joining,join,VBG,xxxx
12,us,-PRON-,PRP,xx
13,this,this,DT,xxxx
14,morning,morning,NN,xxxx
15,"
","
",_SP,"
"
16,Our,-PRON-,PRP$,Xxx
17,second,second,JJ,xxxx
18,quarter,quarter,NN,xxxx
19,results,result,NNS,xxxx
20,have,have,VBP,xxxx
21,again,again,RB,xxxx
22,demonstrated,demonstrate,VBN,xxxx
23,the,the,DT,xxx
24,cash,cash,NN,xxxx
25,-,-,HYPH,-
26,generating,generate,VBG,xxxx
27,strength,strength,NN,xxxx
28,of,of,IN,xx
29,our,-PRON-,PRP$,xxx
30,company,company,NN,xxxx
31,"
","
",_SP,"
"
32,Our,-PRON-,PRP$,Xxx
33,tactical,tactical,JJ,xxxx
34,focus,focus,NN,xxxx
35,on,on,IN,xx
36,improving,improve,VBG,xxxx
37,core,core,NN,xxxx
38,price,price,NN,xxxx
39,",",",",",",","
40,adding,add,VBG,xxxx
41,profitable,profitable,JJ,xxxx
42,volume,volume,NN,xxxx
43,in,in,IN,xx
44,a,a,DT,x
45,disciplined,disciplined,JJ,xxxx
46,manner,manner,NN,xxxx
47,",",",",",",","
48,and,and,CC,xxx
49,controlling,controlling,NN,xxxx
50,costs,cost,NNS,xxxx
51,is,be,VBZ,xx
52,clearly,clearly,RB,xxxx
53,the,the,DT,xxx
54,right,right,JJ,xxxx
55,direction,direction,NN,xxxx
56,for,for,IN,xxx
57,our,-PRON-,PRP$,xxx
58,business,business,NN,xxxx
59,"
","
",_SP,"
"
60,The,the,DT,Xxx
61,end,end,NN,xxx
62,result,result,NN,xxxx
63,of,of,IN,xx
64,that,that,DT,xxxx
65,focus,focus,NN,xxxx
66,is,be,VBZ,xx
67,once,once,RB,xxxx
68,again,again,RB,xxxx
69,a,a,DT,x
70,strong,strong,JJ,xxxx
71,operating,operate,VBG,xxxx
72,EBITDA,EBITDA,NNP,XXXX
