,Sentences
0,"Thank you, Lisa, and good afternoon everyone"
1,I am pleased with our performance for the third quarter of 2017.
2,"We increased revenue 26% year-over-year, expanded gross margin and achieved both operating and net income with net income of $110 million and diluted earnings of $0.10 per share"
3,"We are executing well with our strongest portfolio of products in many years including our Ryzen, EPYC and Radeon Vega offerings"
4,Let me provide some specifics for the third quarter
5,Revenue of $1.64 billion grew 26% year-over-year and 34% sequentially
6,This is our highest quarterly revenue since the fourth quarter of 2011.
7,"Year-over-year growth was primarily due to our Computing and Graphics segment, while sequential growth was driven by the Enterprise, Embedded and Semi-Custom segment revenue seasonality, as well as higher Computing and Graphics segment revenue"
8,We also took another step in our IP monetization efforts by closing a patent licensing agreement that had a positive impact on both our segments
9,"Gross margin was 35%, up 4 percentage points year-over-year, primarily driven by the benefit of IP-related revenue and a richer mix from the Computing and Graphics segment, which were partially offset by costs associated with our global foundries wafer supply agreement for wafers purchased at another foundry"
10,"We continue to make good progress on the ramp of our new high-performance products, which had a positive impact on our gross margins"
11,Operating expenses of $419 million compared to $353 million a year ago
12,"The increase was primarily due to higher R&D-related investments and expenses related to annual employee incentive programs, driven by our better financial performance"
13,"Operating income was $155 million in the third quarter of 2017, a solid improvement on $70 million a year ago"
14,"Third quarter net interest expense, taxes and other was $45 million, up slightly from $43 million a year ago"
15,Lower interest expense from a year ago was largely offset by withholding taxes for licensing revenue
16,"Net income was $110 million or diluted earnings of $0.10 per share as compared to $27 million, or $0.03 per share a year ago"
17,"The diluted earnings per share calculation for the third quarter of 2017 was based on 1.143 million shares, which includes 100.6 million shares related to our 2026 convertible notes"
18,Adjusted EBITDA was $191 million compared to $103 million a year ago
19,Now turning to the business segments
20,"Computing and Graphics segment revenue was $890 million, up 74% year-over-year, primarily due to strong sales of our Radeon graphics and Ryzen desktop processors"
21,Computing and Graphics segment operating income was $70 million compared to a loss of $66 million a year ago
22,The solid improvement was primarily due to higher revenue
23,"Enterprise, Embedded and Semi-Custom revenue was $824 million, approximately flat year-over-year due to lower semi-custom SoC sales, partially offset by IP-related revenue"
24,"Additionally, server revenue increased from a year ago, driven by the increased sales of EPYC products"
25,"As you heard earlier from Lisa, customer interest and deployment plans are strong"
26,"Operating income was $84 million, down $52 million from $136 million a year ago, primarily due to higher costs"
27,Turning to the balance sheet
