,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Lisa,Lisa,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,I,-PRON-,PRP,X
11,am,be,VBP,xx
12,pleased,pleased,JJ,xxxx
13,with,with,IN,xxxx
14,our,-PRON-,PRP$,xxx
15,performance,performance,NN,xxxx
16,for,for,IN,xxx
17,the,the,DT,xxx
18,third,third,JJ,xxxx
19,quarter,quarter,NN,xxxx
20,of,of,IN,xx
21,2017,2017,CD,dddd
22,.,.,.,.
23,We,-PRON-,PRP,Xx
24,increased,increase,VBD,xxxx
25,revenue,revenue,NN,xxxx
26,26,26,CD,dd
27,%,%,NN,%
28,year,year,NN,xxxx
29,-,-,HYPH,-
30,over,over,IN,xxxx
31,-,-,HYPH,-
32,year,year,NN,xxxx
33,",",",",",",","
34,expanded,expand,VBN,xxxx
35,gross,gross,JJ,xxxx
36,margin,margin,NN,xxxx
37,and,and,CC,xxx
38,achieved,achieve,VBD,xxxx
39,both,both,DT,xxxx
40,operating,operating,NN,xxxx
41,and,and,CC,xxx
42,net,net,JJ,xxx
43,income,income,NN,xxxx
44,with,with,IN,xxxx
45,net,net,JJ,xxx
46,income,income,NN,xxxx
47,of,of,IN,xx
48,$,$,$,$
49,110,110,CD,ddd
50,million,million,CD,xxxx
51,and,and,CC,xxx
52,diluted,dilute,VBN,xxxx
53,earnings,earning,NNS,xxxx
54,of,of,IN,xx
55,$,$,$,$
56,0.10,0.10,CD,d.dd
57,per,per,IN,xxx
58,share,share,NN,xxxx
59,"
","
",_SP,"
"
60,We,-PRON-,PRP,Xx
61,are,be,VBP,xxx
62,executing,execute,VBG,xxxx
63,well,well,RB,xxxx
64,with,with,IN,xxxx
65,our,-PRON-,PRP$,xxx
66,strongest,strong,JJS,xxxx
67,portfolio,portfolio,NN,xxxx
68,of,of,IN,xx
69,products,product,NNS,xxxx
70,in,in,IN,xx
71,many,many,JJ,xxxx
72,years,year,NNS,xxxx
73,including,include,VBG,xxxx
74,our,-PRON-,PRP$,xxx
75,Ryzen,Ryzen,NNP,Xxxxx
76,",",",",",",","
77,EPYC,EPYC,NNP,XXXX
78,and,and,CC,xxx
79,Radeon,Radeon,NNP,Xxxxx
80,Vega,Vega,NNP,Xxxx
81,offerings,offering,NNS,xxxx
82,"
","
",_SP,"
"
83,Let,let,VB,Xxx
84,me,-PRON-,PRP,xx
85,provide,provide,VB,xxxx
86,some,some,DT,xxxx
87,specifics,specific,NNS,xxxx
88,for,for,IN,xxx
89,the,the,DT,xxx
90,third,third,JJ,xxxx
91,quarter,quarter,NN,xxxx
92,"
","
",_SP,"
"
93,Revenue,revenue,NN,Xxxxx
94,of,of,IN,xx
95,$,$,$,$
96,1.64,1.64,CD,d.dd
97,billion,billion,CD,xxxx
98,grew,grow,VBD,xxxx
99,26,26,CD,dd
100,%,%,NN,%
101,year,year,NN,xxxx
102,-,-,HYPH,-
103,over,over,IN,xxxx
104,-,-,HYPH,-
105,year,year,NN,xxxx
106,and,and,CC,xxx
107,34,34,CD,dd
108,%,%,NN,%
109,sequentially,sequentially,RB,xxxx
110,"
","
",_SP,"
"
111,This,this,DT,Xxxx
112,is,be,VBZ,xx
113,our,-PRON-,PRP$,xxx
114,highest,high,JJS,xxxx
115,quarterly,quarterly,JJ,xxxx
116,revenue,revenue,NN,xxxx
117,since,since,IN,xxxx
118,the,the,DT,xxx
119,fourth,fourth,JJ,xxxx
120,quarter,quarter,NN,xxxx
121,of,of,IN,xx
122,2011,2011,CD,dddd
123,.,.,.,.
124,Year,year,NN,Xxxx
125,-,-,HYPH,-
126,over,over,IN,xxxx
127,-,-,HYPH,-
128,year,year,NN,xxxx
129,growth,growth,NN,xxxx
130,was,be,VBD,xxx
131,primarily,primarily,RB,xxxx
132,due,due,JJ,xxx
133,to,to,IN,xx
134,our,-PRON-,PRP$,xxx
