,Sentences
0,"Thank you, Tom, and good afternoon, everyone"
1,"As Tom outlined, Q4 was another strong quarter for Akamai on both the top and bottom lines"
2,"Q4 revenue came in above the high end of our guidance range at $616 million, up 6% year-over-year or up 7% adjusted for foreign exchange movements"
3,Revenue was up a healthy 15% if you exclude the six large Internet Platform Customers Tom just mentioned
4,Revenue growth continued to be solid across the business with the overachievement versus our guidance driven by a higher-than-expected uptick in holiday season traffic with our Media Solutions and customers
5,"I mentioned in our last call that holiday season traffic would play a large role in where we would land relative to our fourth quarter guidance, and it did"
6,Media-related traffic was particularly strong in the quarter
7,"Before I get into the revenue details, please note that all revenue growth rate references will be in constant currency"
8,"Revenue from our Media Delivery Solutions was $196 million in the quarter, down 10% year-over-year, but up 8% excluding our large Internet Platform Customers"
9,We saw healthy seasonal traffic growth in both our gaming and software download verticals and continued robust growth in video delivery
10,"Turning to our Performance and Security Solutions, revenue was $367 million in the quarter, up 17% year-over-year"
11,"Within the Solution category, we saw solid growth across all major product lines"
12,"As Tom mentioned, we have been seeing strong traction with our recently launched Image Manager and Bot Manager solutions, and we have continued to see significant growth and demand for all of our Cloud Security offerings"
13,"Fourth quarter revenue for our Cloud Security Solutions was $102 million, up 41% year-over-year, capping off another tremendous year of revenue growth and customer adoption of our security solutions globally"
14,"Exiting Q4, our Security business now has an annualized revenue run-rate of over $400 million"
15,We are very pleased with the growth and execution of our Cloud Security business over the past few years
16,"This growth was driven by targeted product innovation and go-to-market resource investments, as well as a very successful acquisition"
17,"We plan to maintain this aggressive investment posture to further broaden not only our Cloud Security offerings, but also our Web performance and emerging enterprise solution capabilities where we see substantial long-term growth potential"
18,"Finally, revenue from our Services and Support Solutions was $53 million in the quarter, up 14% year-over-year"
19,"Turning now to our Q4 customer division results, revenue from our Web Division customers was $300 million, up 14% year-over-year"
20,"We continued to see solid growth in this customer base, particularly with our Cloud Security offerings"
21,"Revenue from our Media Division customers was $301 million in the quarter, roughly flat year-over-year and up 15% excluding the impact of the six large Internet Platform Customers"
22,This strong growth rate was driven not only by Media Division customers driving more holiday season traffic
23,but also from upgrading and penetrating more of Akamai's solutions deeper into this customer base
24,"Finally, revenue from our emerging Enterprise and Carrier Division customers was $15 million in the quarter, up 26% year-over-year"
25,"Moving on to our geographies, sales in our international markets represented 31% of total revenue in Q4, consistent with the prior quarter"
26,"International revenue was $193 million in the fourth quarter, up 19%, driven by continued strong growth in our Asia-Pacific region"
27,Foreign exchange fluctuations had a negative impact on revenue of just under $2 million on a year-over-year basis and a $6 million impact on a sequential basis as the dollar strengthened significantly through the quarter
28,Revenue from our U.S
29,"market was $424 million, up 2% year-over-year"
30,"If you exclude the large Internet Platform Customers, which are based in the U.S"
31,", revenue growth was a solid 13% across the rest of the business"
32,"Moving on to costs, cash gross margin was 77%, up 1 point from Q3 levels, consistent with the same period last year and in-line with our guidance"
33,"GAAP gross margin, which includes both depreciation and stock-based compensation, was 67%, up 2 points from Q3 levels, consistent with the same period last year and a point higher than our guidance due to the strong revenue achievement"
34,GAAP operating expenses were $289 million in the fourth quarter
35,"These GAAP results include depreciation, amortization of intangible assets, stock-based compensation, acquisition-related charges, and other non-recurring items"
36,"Excluding these charges, non-GAAP cash operating expenses were $230 million, up $23 million from Q3 levels"
37,"This was above the high-end of our guidance, driven by increased year-end commission costs associated with the revenue overachievement, as well as a significant uptick in litigation spend associated with our Limelight patent infringement cases"
38,"Moving in to 2017, we expect to see similar elevated levels of litigation spend"
39,"Adjusted EBITDA for the fourth quarter was $247 million, up $9 million from Q3 levels, and $10 million from the same period last year"
40,"Our adjusted EBITDA margin came in at 40%, down 1 point from Q3 levels and from Q4 last year, and in line with our guidance"
41,GAAP depreciation and amortization expenses were $84 million in the fourth quarter
42,"These GAAP results include depreciation associated with stock-based compensation, amortization of intangible assets and amortization of capitalized interest expense"
43,"Excluding these charges, non-GAAP depreciation was $74 million consistent with Q3 levels and at the low end of our guidance due to the timing of some network deployments that shifted into Q1."
44,"Non-GAAP operating income for the fourth quarter was $174 million, up $10 million from Q3 levels and up $6 million from the same period last year"
45,Non-GAAP operating margin came in at 28% consistent with Q3 levels and down 1 point from the same period last year and at the high end of our guidance
46,"Moving on to the other income and expense items, interest income for the fourth quarter was about $4 million, consistent with Q3 levels"
47,Non-cash interest expense related to our convertible debt was roughly $5 million
48,"As a reminder, this non-cash expense is excluded from our non-GAAP results"
49,"Moving on to earnings, GAAP net income for the fourth quarter was $92 million or $0.52 of earnings per diluted share"
50,"Non-GAAP net income was $126 million or $0.72 of earnings per diluted share, $0.02 above the high end of our guidance range driven by higher revenues and a slightly lower tax rate"
51,"Adjusting for the reinstatement of the R&D tax credit in Q4 2015, earnings grew 8% year-over-year"
52,"For the quarter, total taxes included in our GAAP earnings were $34 million based on a Q4 effective tax rate of 27%"
53,Taxes included in our non-GAAP earnings were $50 million based on a Q4 effective tax rate of 28% and coming in about 2 points lower than our guidance due to a higher mix of foreign earnings
54,"For the full year, the 2016 non-GAAP effective tax rate was just above 29%"
55,"Finally, our weighted average diluted share count for the fourth quarter was 175 million shares and in line with our guidance"
56,Now I'll review some balance sheet items
57,"Day sales outstanding for the fourth quarter was 54 days, down 2 days from Q3 levels"
58,"Capital expenditures in Q4, excluding equity compensation and capitalized interest expense were $78 million and slightly below our guidance for the quarter primarily due to the timing of network buildouts that moved into Q1."
59,"For the full year 2016, capital expenditures came in at 14% of revenue and below our long-term model as we grew into our existing capacity from the significant 2015 buildouts"
