,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Tom,Tom,NNP,Xxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,As,as,IN,Xx
12,Tom,Tom,NNP,Xxx
13,outlined,outline,VBD,xxxx
14,",",",",",",","
15,Q4,Q4,NNP,Xd
16,was,be,VBD,xxx
17,another,another,DT,xxxx
18,strong,strong,JJ,xxxx
19,quarter,quarter,NN,xxxx
20,for,for,IN,xxx
21,Akamai,Akamai,NNP,Xxxxx
22,on,on,IN,xx
23,both,both,CC,xxxx
24,the,the,DT,xxx
25,top,top,JJ,xxx
26,and,and,CC,xxx
27,bottom,bottom,JJ,xxxx
28,lines,line,NNS,xxxx
29,"
","
",_SP,"
"
30,Q4,Q4,NNP,Xd
31,revenue,revenue,NN,xxxx
32,came,come,VBD,xxxx
33,in,in,RP,xx
34,above,above,IN,xxxx
35,the,the,DT,xxx
36,high,high,JJ,xxxx
37,end,end,NN,xxx
38,of,of,IN,xx
39,our,-PRON-,PRP$,xxx
40,guidance,guidance,NN,xxxx
41,range,range,NN,xxxx
42,at,at,IN,xx
43,$,$,$,$
44,616,616,CD,ddd
45,million,million,CD,xxxx
46,",",",",",",","
47,up,up,RB,xx
48,6,6,CD,d
49,%,%,NN,%
50,year,year,NN,xxxx
51,-,-,HYPH,-
52,over,over,IN,xxxx
53,-,-,HYPH,-
54,year,year,NN,xxxx
55,or,or,CC,xx
56,up,up,RB,xx
57,7,7,CD,d
58,%,%,NN,%
59,adjusted,adjust,VBN,xxxx
60,for,for,IN,xxx
61,foreign,foreign,JJ,xxxx
62,exchange,exchange,NN,xxxx
63,movements,movement,NNS,xxxx
64,"
","
",_SP,"
"
65,Revenue,revenue,NN,Xxxxx
66,was,be,VBD,xxx
67,up,up,IN,xx
68,a,a,DT,x
69,healthy,healthy,JJ,xxxx
70,15,15,CD,dd
71,%,%,NN,%
72,if,if,IN,xx
73,you,-PRON-,PRP,xxx
74,exclude,exclude,VBP,xxxx
75,the,the,DT,xxx
76,six,six,CD,xxx
77,large,large,JJ,xxxx
78,Internet,internet,NN,Xxxxx
79,Platform,Platform,NNP,Xxxxx
80,Customers,Customers,NNPS,Xxxxx
81,Tom,Tom,NNP,Xxx
82,just,just,RB,xxxx
83,mentioned,mention,VBD,xxxx
84,"
","
",_SP,"
"
85,Revenue,revenue,NN,Xxxxx
86,growth,growth,NN,xxxx
87,continued,continue,VBD,xxxx
88,to,to,TO,xx
89,be,be,VB,xx
90,solid,solid,JJ,xxxx
91,across,across,IN,xxxx
92,the,the,DT,xxx
93,business,business,NN,xxxx
94,with,with,IN,xxxx
95,the,the,DT,xxx
96,overachievement,overachievement,NN,xxxx
97,versus,versus,IN,xxxx
98,our,-PRON-,PRP$,xxx
99,guidance,guidance,NN,xxxx
100,driven,drive,VBN,xxxx
101,by,by,IN,xx
102,a,a,DT,x
103,higher,high,JJR,xxxx
104,-,-,HYPH,-
105,than,than,IN,xxxx
106,-,-,HYPH,-
107,expected,expect,VBN,xxxx
108,uptick,uptick,NN,xxxx
109,in,in,IN,xx
110,holiday,holiday,NN,xxxx
111,season,season,NN,xxxx
112,traffic,traffic,NN,xxxx
113,with,with,IN,xxxx
114,our,-PRON-,PRP$,xxx
115,Media,Media,NNP,Xxxxx
116,Solutions,Solutions,NNPS,Xxxxx
117,and,and,CC,xxx
118,customers,customer,NNS,xxxx
119,"
","
",_SP,"
"
120,I,-PRON-,PRP,X
121,mentioned,mention,VBD,xxxx
122,in,in,IN,xx
123,our,-PRON-,PRP$,xxx
124,last,last,JJ,xxxx
125,call,call,NN,xxxx
126,that,that,IN,xxxx
127,holiday,holiday,NN,xxxx
128,season,season,NN,xxxx
129,traffic,traffic,NN,xxxx
130,would,would,MD,xxxx
131,play,play,VB,xxxx
132,a,a,DT,x
133,large,large,JJ,xxxx
134,role,role,NN,xxxx
135,in,in,IN,xx
