,Word,Lemma,POSTag,Shape
0,Let,let,VB,Xxx
1,'s,-PRON-,PRP,'x
2,flip,flip,VB,xxxx
3,over,over,RP,xxxx
4,to,to,TO,xx
5,page,page,VB,xxxx
6,four,four,CD,xxxx
7,"
","
",_SP,"
"
8,If,if,IN,Xx
9,we,-PRON-,PRP,xx
10,look,look,VBP,xxxx
11,at,at,IN,xx
12,the,the,DT,xxx
13,results,result,NNS,xxxx
14,",",",",",",","
15,it,-PRON-,PRP,xx
16,was,be,VBD,xxx
17,a,a,DT,x
18,little,little,JJ,xxxx
19,bit,bit,NN,xxx
20,of,of,IN,xx
21,a,a,DT,x
22,noisy,noisy,JJ,xxxx
23,fourth,fourth,JJ,xxxx
24,quarter,quarter,NN,xxxx
25,for,for,IN,xxx
26,LoyaltyOne,LoyaltyOne,NNP,XxxxxXxx
27,and,and,CC,xxx
28,Alliance,Alliance,NNP,Xxxxx
29,Data,Data,NNP,Xxxx
30,due,due,IN,xxx
31,to,to,IN,xx
32,expiry,expiry,NN,xxxx
33,"
","
",_SP,"
"
34,Not,not,RB,Xxx
35,only,only,RB,xxxx
36,do,do,VBP,xx
37,we,-PRON-,PRP,xx
38,have,have,VB,xxxx
39,more,more,JJR,xxxx
40,AIR,AIR,NNP,XXX
41,MILES,MILES,NNP,XXXX
42,redeemed,redeem,VBD,xxxx
43,and,and,CC,xxx
44,expected,expect,VBN,xxxx
45,due,due,IN,xxx
46,to,to,IN,xx
47,heavy,heavy,JJ,xxxx
48,media,medium,NNS,xxxx
49,attention,attention,NN,xxxx
50,to,to,IN,xx
51,the,the,DT,xxx
52,issue,issue,NN,xxxx
53,",",",",",",","
54,but,but,CC,xxx
55,also,also,RB,xxxx
56,had,have,VBD,xxx
57,a,a,DT,x
58,new,new,JJ,xxx
59,law,law,NN,xxx
60,and,and,CC,xxx
61,act,act,VB,xxx
62,in,in,IN,xx
63,Ontario,Ontario,NNP,Xxxxx
64,of,of,IN,xx
65,Canada,Canada,NNP,Xxxxx
66,which,which,WDT,xxxx
67,forced,force,VBD,xxxx
68,a,a,DT,x
69,one,one,CD,xxx
70,-,-,HYPH,-
71,time,time,NN,xxxx
72,charge,charge,NN,xxxx
73,"
","
",_SP,"
"
74,Removed,remove,VBN,Xxxxx
75,the,the,DT,xxx
76,noise,noise,NN,xxxx
77,though,though,RB,xxxx
78,and,and,CC,xxx
79,it,-PRON-,PRP,xx
80,was,be,VBD,xxx
81,a,a,DT,x
82,terrific,terrific,JJ,xxxx
83,2016,2016,CD,dddd
84,.,.,.,.
85,Let,let,VB,Xxx
86,'s,-PRON-,PRP,'x
87,start,start,VB,xxxx
88,with,with,IN,xxxx
89,pro,pro,JJ,xxx
90,forma,forma,NNP,xxxx
91,revenue,revenue,NN,xxxx
92,of,of,IN,xx
93,$,$,$,$
94,7.4,7.4,CD,d.d
95,billion,billion,CD,xxxx
96,",",",",",",","
97,up,up,RB,xx
98,15,15,CD,dd
99,%,%,NN,%
100,from,from,IN,xxxx
101,2015,2015,CD,dddd
102,.,.,.,.
103,We,-PRON-,PRP,Xx
104,estimate,estimate,VBP,xxxx
105,that,that,IN,xxxx
106,elevated,elevated,JJ,xxxx
107,redemption,redemption,NN,xxxx
108,activity,activity,NN,xxxx
109,in,in,IN,xx
110,Q4,Q4,NNP,Xd
111,added,add,VBD,xxxx
112,about,about,IN,xxxx
113,$,$,$,$
114,175,175,CD,ddd
115,million,million,CD,xxxx
116,or,or,CC,xx
117,3,3,CD,d
118,%,%,NN,%
119,growth,growth,NN,xxxx
120,to,to,IN,xx
121,2016,2016,CD,dddd
122,.,.,.,.
123,Essentially,essentially,RB,Xxxxx
124,",",",",",",","
125,AIR,AIR,NNP,XXX
126,MILES,MILES,NNP,XXXX
127,that,that,WDT,xxxx
128,would,would,MD,xxxx
129,have,have,VB,xxxx
130,redeemed,redeem,VBN,xxxx
131,in,in,IN,xx
132,2017,2017,CD,dddd
133,were,be,VBD,xxxx
134,instead,instead,RB,xxxx
135,redeemed,redeem,VBN,xxxx
136,in,in,IN,xx
137,2016,2016,CD,dddd
138,ahead,ahead,RB,xxxx
139,of,of,IN,xx
140,the,the,DT,xxx
141,expiry,expiry,NN,xxxx
142,",",",",",",","
143,creating,create,VBG,xxxx
144,a,a,DT,x
145,pull,pull,NN,xxxx
146,forward,forward,RB,xxxx
147,of,of,IN,xx
148,revenue,revenue,NN,xxxx
149,recognition,recognition,NN,xxxx
150,to,to,IN,xx
151,2016,2016,CD,dddd
152,.,.,.,.
153,Adjusted,adjust,VBN,Xxxxx
154,for,for,IN,xxx
155,that,that,DT,xxxx
156,",",",",",",","
157,revenue,revenue,NN,xxxx
158,was,be,VBD,xxx
159,approximately,approximately,RB,xxxx
160,$,$,$,$
161,7.2,7.2,CD,d.d
162,billion,billion,CD,xxxx
163,",",",",",",","
164,up,up,RB,xx
165,12,12,CD,dd
166,%,%,NN,%
167,and,and,CC,xxx
168,consistent,consistent,JJ,xxxx
169,with,with,IN,xxxx
170,the,the,DT,xxx
171,guidance,guidance,NN,xxxx
172,"
","
",_SP,"
"
173,Core,Core,NNP,Xxxx
174,EPS,EPS,NNP,XXX
175,was,be,VBD,xxx
176,$,$,$,$
177,16.92,16.92,CD,dd.dd
178,",",",",",",","
179,up,up,RB,xx
180,12,12,CD,dd
181,%,%,NN,%
182,from,from,IN,xxxx
183,2015,2015,CD,dddd
184,and,and,CC,xxx
185,$,$,$,$
186,0.02,0.02,CD,d.dd
187,better,well,JJR,xxxx
188,than,than,IN,xxxx
189,guidance,guidance,NN,xxxx
190,"
","
",_SP,"
"
191,In,in,IN,Xx
192,calculating,calculate,VBG,xxxx
193,core,core,NN,xxxx
194,EPS,EPS,NNP,XXX
195,",",",",",",","
196,we,-PRON-,PRP,xx
197,added,add,VBD,xxxx
198,back,back,RP,xxxx
199,the,the,DT,xxx
200,$,$,$,$
201,242,242,CD,ddd
202,million,million,CD,xxxx
203,related,relate,VBN,xxxx
204,to,to,IN,xx
205,elimination,elimination,NN,xxxx
206,expiry,expiry,NN,xxxx
207,",",",",",",","
208,but,but,CC,xxx
209,not,not,RB,xxx
210,the,the,DT,xxx
211,full,full,JJ,xxxx
212,breakage,breakage,NN,xxxx
213,reset,reset,NN,xxxx
214,"
","
",_SP,"
"
215,Let,let,VB,Xxx
216,'s,-PRON-,PRP,'x
217,turn,turn,VB,xxxx
218,over,over,RP,xxxx
219,and,and,CC,xxx
220,talk,talk,VB,xxxx
221,about,about,IN,xxxx
222,LoyaltyOne,LoyaltyOne,NNP,XxxxxXxx
223,"
","
",_SP,"
"
