,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,Andrew,Andrew,NNP,Xxxxx
2,"
","
",_SP,"
"
3,All,all,DT,Xxx
4,of,of,IN,xx
5,you,-PRON-,PRP,xxx
6,should,should,MD,xxxx
7,have,have,VB,xxxx
8,the,the,DT,xxx
9,prepared,prepared,JJ,xxxx
10,remarks,remark,NNS,xxxx
11,document,document,NN,xxxx
12,",",",",",",","
13,which,which,WDT,xxxx
14,is,be,VBZ,xx
15,the,the,DT,xxx
16,best,good,JJS,xxxx
17,source,source,NN,xxxx
18,for,for,IN,xxx
19,our,-PRON-,PRP$,xxx
20,financial,financial,JJ,xxxx
21,details,detail,NNS,xxxx
22,"
","
",_SP,"
"
23,So,so,RB,Xx
24,I,-PRON-,PRP,X
25,'m,be,VBP,'x
26,not,not,RB,xxx
27,going,go,VBG,xxxx
28,to,to,TO,xx
29,walk,walk,VB,xxxx
30,through,through,IN,xxxx
31,them,-PRON-,PRP,xxxx
32,all,all,DT,xxx
33,",",",",",",","
34,but,but,CC,xxx
35,I,-PRON-,PRP,X
36,do,do,VBP,xx
37,want,want,VB,xxxx
38,to,to,TO,xx
39,hit,hit,VB,xxx
40,on,on,IN,xx
41,a,a,DT,x
42,couple,couple,NN,xxxx
43,of,of,IN,xx
44,noteworthy,noteworthy,JJ,xxxx
45,items,item,NNS,xxxx
46,and,and,CC,xxx
47,talk,talk,VB,xxxx
48,about,about,IN,xxxx
49,our,-PRON-,PRP$,xxx
50,business,business,NN,xxxx
51,outlook,outlook,NN,xxxx
52,for,for,IN,xxx
53,fiscal,fiscal,JJ,xxxx
54,2018,2018,CD,dddd
55,.,.,.,.
56,Starting,start,VBG,Xxxxx
57,with,with,IN,xxxx
58,revenue,revenue,NN,xxxx
59,total,total,JJ,xxxx
60,direct,direct,JJ,xxxx
61,revenue,revenue,NN,xxxx
62,for,for,IN,xxx
63,the,the,DT,xxx
64,fourth,fourth,JJ,xxxx
65,quarter,quarter,NN,xxxx
66,increased,increase,VBD,xxxx
67,once,once,RB,xxxx
68,again,again,RB,xxxx
69,and,and,CC,xxx
70,represented,represent,VBD,xxxx
71,32,32,CD,dd
72,%,%,NN,%
73,of,of,IN,xx
74,total,total,JJ,xxxx
75,revenues,revenue,NNS,xxxx
76,"
","
",_SP,"
"
77,That,that,DT,Xxxx
78,'s,be,VBZ,'x
79,up,up,RB,xx
80,from,from,IN,xxxx
81,23,23,CD,dd
82,%,%,NN,%
83,in,in,IN,xx
84,Q4,Q4,NNP,Xd
85,last,last,JJ,xxxx
86,year,year,NN,xxxx
87,and,and,CC,xxx
88,just,just,RB,xxxx
89,19,19,CD,dd
90,%,%,NN,%
91,two,two,CD,xxx
92,years,year,NNS,xxxx
93,ago,ago,RB,xxx
94,"
","
",_SP,"
"
95,That,that,DT,Xxxx
