,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,very,very,RB,xxxx
3,much,much,RB,xxxx
4,",",",",",",","
5,Carlos,Carlos,NNP,Xxxxx
6,",",",",",",","
7,and,and,CC,xxx
8,good,good,JJ,xxxx
9,morning,morning,NN,xxxx
10,",",",",",",","
11,everyone,everyone,NN,xxxx
12,"
","
",_SP,"
"
13,ADP,adp,JJ,XXX
14,revenues,revenue,NNS,xxxx
15,for,for,IN,xxx
16,the,the,DT,xxx
17,quarter,quarter,NN,xxxx
18,grew,grow,VBD,xxxx
19,5,5,CD,d
20,%,%,NN,%
21,on,on,IN,xx
22,a,a,DT,x
23,reported,reported,JJ,xxxx
24,basis,basis,NN,xxxx
25,",",",",",",","
26,6,6,CD,d
27,%,%,NN,%
28,organic,organic,JJ,xxxx
29,"
","
",_SP,"
"
30,Our,-PRON-,PRP$,Xxx
31,revenue,revenue,NN,xxxx
32,growth,growth,NN,xxxx
33,this,this,DT,xxxx
34,quarter,quarter,NN,xxxx
35,experienced,experience,VBD,xxxx
36,pressure,pressure,NN,xxxx
37,as,as,IN,xx
38,we,-PRON-,PRP,xx
39,began,begin,VBD,xxxx
40,to,to,TO,xx
41,lap,lap,VB,xxx
42,our,-PRON-,PRP$,xxx
43,fiscal,fiscal,JJ,xxxx
44,year,year,NN,xxxx
45,2016,2016,CD,dddd
46,ACA,ACA,NNP,XXX
47,-,-,HYPH,-
48,related,relate,VBN,xxxx
49,revenues,revenue,NNS,xxxx
50,"
","
",_SP,"
"
51,Pre,pre,JJ,Xxx
52,-,-,JJ,-
53,tax,tax,JJ,xxx
54,earnings,earning,NNS,xxxx
55,from,from,IN,xxxx
56,continuing,continue,VBG,xxxx
57,operations,operation,NNS,xxxx
58,before,before,IN,xxxx
59,taxes,taxis,NNS,xxxx
60,grew,grow,VBD,xxxx
61,4,4,CD,d
62,%,%,NN,%
63,on,on,IN,xx
64,a,a,DT,x
65,reported,reported,JJ,xxxx
66,basis,basis,NN,xxxx
67,to,to,IN,xx
68,$,$,$,$
69,828,828,CD,ddd
70,million,million,CD,xxxx
71,",",",",",",","
72,despite,despite,IN,xxxx
73,almost,almost,RB,xxxx
74,2,2,CD,d
75,percentage,percentage,NN,xxxx
76,points,point,NNS,xxxx
77,of,of,IN,xx
78,combined,combined,JJ,xxxx
79,pressure,pressure,NN,xxxx
80,from,from,IN,xxxx
81,our,-PRON-,PRP$,xxx
82,second,second,JJ,xxxx
83,quarter,quarter,NN,xxxx
84,business,business,NN,xxxx
85,disposition,disposition,NN,xxxx
86,and,and,CC,xxx
87,our,-PRON-,PRP$,xxx
88,fiscal,fiscal,JJ,xxxx
89,year,year,NN,xxxx
90,2017,2017,CD,dddd
91,acquisitions,acquisition,NNS,xxxx
92,"
","
",_SP,"
"
93,Adjusted,adjusted,JJ,Xxxxx
94,earnings,earning,NNS,xxxx
95,before,before,IN,xxxx
96,interest,interest,NN,xxxx
97,and,and,CC,xxx
98,taxes,taxis,NNS,xxxx
99,or,or,CC,xx
100,adjusted,adjust,VBN,xxxx
101,EBIT,EBIT,NNP,XXXX
102,grew,grow,VBD,xxxx
103,4,4,CD,d
104,%,%,NN,%
105,"
","
",_SP,"
"
106,Adjusted,adjusted,JJ,Xxxxx
107,EBIT,ebit,JJ,XXXX
108,margin,margin,NN,xxxx
109,decreased,decrease,VBD,xxxx
110,about,about,RB,xxxx
111,20,20,CD,dd
112,basis,basis,NN,xxxx
113,points,point,NNS,xxxx
114,",",",",",",","
115,compared,compare,VBN,xxxx
116,to,to,IN,xx
117,24.8,24.8,CD,dd.d
118,%,%,NN,%
119,in,in,IN,xx
120,last,last,JJ,xxxx
121,year,year,NN,xxxx
122,'s,'s,POS,'x
123,third,third,JJ,xxxx
124,quarter,quarter,NN,xxxx
125,"
","
",_SP,"
"
126,Our,-PRON-,PRP$,Xxx
127,margins,margin,NNS,xxxx
128,this,this,DT,xxxx
129,quarter,quarter,NN,xxxx
130,were,be,VBD,xxxx
131,impacted,impact,VBN,xxxx
132,by,by,IN,xx
