,Sentences
0,"Thank you, Christian, and thank you all for joining our call this morning"
1,We appreciate your interest in ADP
2,"This morning, we reported our fourth quarter and full-year fiscal 2017 results, with revenue growth up 6%, both for the quarter and the year"
3,"Revenue for the year was up 7% on an organic basis, benefiting from a solid 6% client growth and from the continued strong performance of our downmarket, PEO, and multinational solutions"
4,"In line with expectations, our new business bookings declined 7% this quarter and 5% for the year"
5,"While we are disappointed with this year's overall bookings performance, it's important to look at the underlying dynamics"
6,The clients were concentrated in our mid- and upmarkets and the challenges were due in large part to growing over the strong fiscal 2016 sales of solutions that assist our clients in complying with the Affordable Care Act
7,"Despite these challenges, the sales opportunities within the mid and upmarkets continue to demonstrates a solid environment with positive growth prospects"
8,"We continue to be very pleased with the momentum and performance of our downmarket and the PEO, both of which continue to demonstrate the value of a broad-based portfolio of solutions"
9,"During fiscal 2017, we increased our head count investments in our sales organization to better position us for growth during fiscal 2018 and beyond"
10,"As the tightening labor market creates additional demand for human capital management solutions, we expect these investments to help us further grow due to the effects of the regulatory uncertainty that prevail within the mid and upmarket since the November U.S"
11,Election
12,"Accordingly, as we return to a more normalized growth trend, we expect fiscal 2018 new business bookings to grow 5% to 7%, gradually expanding back to pre-ACA growth levels as we progress through the year"
13,We remain confident in the strength of our distribution capabilities and the competitiveness of our products
14,"And in turn, our ability to execute on our pipeline of market opportunities"
15,"Client satisfaction continues to improve, retention remains high on our strategic platforms, and we are pleased with our progress in upgrading our clients to our latest cloud-based solutions"
16,"This quarter, we are also pleased to see retention improvements across all our market segments with retention improving by 60 basis points and finishing ahead of our expectations"
17,"Our full-year retention was down 50 basis points to 90%, which also includes a 20 basis point impact from the loss of the Office of Personnel Management contract in the first quarter of fiscal 2017."
18,Please note that this contract was part of the CHSA business that we subsequently disposed-off during the second quarter of fiscal 2017.
19,I would also like to remind you that the loss is contributing to our annual decline in retention remain concentrated on our legacy platforms in the mid- and upmarkets
20,Our excellent retention performance in the downmarket and improving performance in the midmarket reinforces our core belief that our focused and steady upgrade strategy is the right thing to do for our clients as well as for ADP in the long-term
21,"Core to our philosophy and value proposition is our commitment to developing innovative ways to enhance not only our clients, product, and service experience but also that of our strategic partners"
22,"Last quarter, we mentioned the introduction of ADP Accountant Connect, where we are leveraging the scale of our strong 510,000-plus client base downmarket to create a compelling value – to create compelling value for our referral partners"
23,"This unique solution provides our accountant channel partners with a unified view of payroll, including reporting and tax information for our shared clients"
24,It also enables our accountant partners to deepen their relationship with our shared clients by giving them greater insight into payroll data and helps them plan and manage labor costs more efficiently
25,Adoption of Accountant Connect has been strong
26,"We now have more than 8,000 accounting firms using the platform, which is making life easier for the accountants and the clients we share"
27,"This is helping to deepen relationships with an important source of referral business, while increasing our value proposition for RUN clients"
28,"We are incredibly pleased with the adoption of the platform by our accountant partners, and we're also especially pleased that we recently received the Accounting and Tax Technology Innovation Award (sic)"
29,[Tax & Accounting Technology Innovation Award] (6:39) by CPA Practice Advisor
30,ADP's success is rooted in part on our ability to help clients manage through regulatory change
31,"This is especially true from our PEO, ADP TotalSource, which served more than 485,000 average worksite employees this quarter"
32,The value proposition of the PEO gets stronger as the complexities of managing the workforce increase and expectations of employees evolve
33,Great PEOs are built to adapt to these dynamics and help clients navigate these changes
34,And we believe that our PEO is the clear market leader in both the breadth and depth of service
35,"In June, Internal Revenue Service named ADP TotalSource one of the first certified professional employer organizations"
36,"We're proud to be among the first PEOs to receive this important new designation, which certify that ADP adheres to the highest standards"
37,"Becoming a certified PEO, further distinguishes ADP and is a another example of the lengths to which we are willing to go to ensure our clients know they're working with a trusted partner"
38,"As our clients' needs have grown globally, so have our capabilities and our reach"
39,"And today, we are supporting clients in more than 110 countries around the world"
40,"Success in the HCM market on a global scale is not easy to achieve, given the complexities of doing business in many different countries and the local knowledge and understanding that is required to support clients"
41,"Constellation Research, a strategic advisory firm, recently recognized this by naming ADP GlobalView HCM to the Constellation ShortList for Human Capital Management Suites for the second consecutive quarter"
42,Constellation evaluated more than 25 global HCM platforms to determine the top five best-of-breed vendors
43,"In naming ADP to the ShortList, Constellation recognized us for the depth of our global compliance expertise"
44,Noting that behind the global view product were local compliance experts on the ground monitoring and interpreting legislative changes that affect the more than 14 million clients we support outside the U.S
45,This global reach remains a truly differentiating capability for ADP and continues to meaningfully contribute to our growth
46,"In closing, we're pleased with our ability to response to the challenges we faced in fiscal 2017."
47,"This year, we began to see signs that are improving service metrics and our progress on client upgrades are helping to drive improvements and retention"
48,"At the same time, we are beginning to see some signs of stabilization in our mid- and upmarkets new business bookings performance as we lap the difficult fiscal 2016 compares and the fiscal 2017 effects of regulatory uncertainty following the U.S"
49,Election
50,"These dynamics, together with a continued strong performance of our multinational solutions, downmarket offerings, and the PEO, give us confidence heading into fiscal 2018."
51,ADP is built for the long haul
52,"Consistent with our long-term objectives, and consistent with conversations we've had with shareholders, we'll continue to leverage the strength of our business model and our proven ability to execute by making smart investments that enhance our service capabilities, our sales force and deliver best-in-class cloud solutions"
53,"We believe these efforts will continue to drive sustained long-term success for our clients, our associates and our shareholders"
54,"And with that, I'll turn the call over to Jan, who'll review our fiscal 2017 results in more detail and share our fiscal 2018 outlook"
55,Good morning
56,"Well, I think as we've said in our comments, the midmarket, the PEO, multinational have all been quite strong"
57,"And really, especially, in a downmarket, as we mentioned, has been really no impact from this grow-over issue with ACA"
58,"So, we've, I think, had what I would consider to be the best results in several years in that space in the downmarket"
59,"In the midmarket, obviously, we had a very significant grow-over, given the strong sales for ACA products in 2016."
60,"But as we've kind of checked in with the sales force throughout the year, and frankly, continue to make investments to keep their heads in the game, we've maintained our turnover at almost exactly the same rate it was in the prior year, which is a very encouraging sign because, obviously, it was a very tight labor market"
61,"So, my worry was given our performance, we might lose some of our sales force"
62,"But I think it's a sign of, I think, optimism on the part of the sales force that there is really no issue with the economy or with our products or competitively or with pricing that it's really just unfortunately a mathematical issue that got aggravated by some of this uncertainty that came out of Washington, which really stop people from buying not only – or slowed the sales of ACA to a much lower level than we had planned, but I think just created some kind of short-term uncertainty after November"
63,"I think in the upmarket, we did, I think, feel after November that there was some elongation in terms of decision-making, which is a little more logical because you have relatively sophisticated buyers there"
64,"And I think some were probably waiting to see what would happen with the regulatory environment, given that there was talk of repealing ACA and repealing a number of other regulations within weeks, as we all know that hasn't happened"
