,Sentences
0,"Thanks, Rich, and good morning, everyone"
1,"Before reviewing the quarter and outlook in more detail, I'll make a few callouts to begin"
2,"First, guidance"
3,"We're reaffirming our fiscal year 2017 guidance this morning, and I will give you a sense on where we expect to land within those ranges"
4,"Specific to earnings, we expect adjusted EPS growth will be in the range of 13% to 15% in the middle of our 12% to 17% guidance range"
5,"Second, investment gain"
6,"In connection with the acquisition of Message Automation, we realized a $9 million investment gain related to our prior ownership stake"
7,"For purposes of our adjusted earnings, we deducted this income, dollar for dollar, since it's a non-taxable gain"
8,"And third, tax rate"
9,"Our GAAP tax rate for the quarter was 28.6%, which was driven down by the impact of the Message Automation investment gain"
10,Our effective tax rate after adjusting for the gain was 31.3%
11,"Our full-year GAAP tax rate is expected to be 33% or 34%, excluding the Message Automation gain"
12,I will touch on these topics again through my review of the quarter and our outlook
13,I will now provide a quick recap of our results
14,Third quarter 2017 recurring fee revenues rose 30% to $592 million; and total revenues rose 46% to $1.01 billion
15,Adjusted operating income rose 22% to $134 million; and adjusted EPS rose $19% to $0.69 per share; and closed sales rose 66% to $48 million
16,"Let's move to the drivers of our top line growth, which are laid out on page 6 of the presentation"
17,I will start with total revenues and then focus on recurring fee revenues
18,"As I noted, total revenues grew 46% to $1.01 billion"
19,"The acquisition of NACC, which occurred on the first day of the first fiscal quarter was the biggest driver of our total growth, contributing $277 million to our revenues"
20,That acquisition drove much of the increase in both recurring revenues and distribution revenues
21,"Event-driven fee revenues, up 26%, were a nice contributor for our growth in the quarter, rising $12 million to $61 million"
22,That increase contributed 2 points to our overall revenue growth in the third quarter
23,The impact of changes in foreign currency was a slight drag on our reported revenues but less an impact than it has been in recent quarters
24,Recurring fee revenues grew 30% to $592 million
25,"Excluding the impact of NACC and other acquisitions, organic recurring fee revenue growth was 4% in the third quarter"
26,"The biggest driver of our organic growth with the impact of strong closed sales, which accounted for 7 points of growth was partially offset by 2 points of client losses"
27,Internal growth was negative 1%
28,"Excluding the impact of the Accenture Post Trade Processing or APTP recontracted from a year ago, which I will discuss in my comments on the GTO segment results, internal growth would have been neutral, and organic recurring fee revenue growth was at 5%"
29,Our year-to-date revenue figures can be found on page 7.
30,"Total revenues rose 45% to $2.8 billion with NACC, again, being the largest driver and with event-driven revenues a drag"
31,Recurring revenues rose 32% to $1.6 billion
32,"Organic growth contributed 5 percentage points to our recurring fee growth over the first nine months, with the balance coming from acquisitions, mostly, NACC"
33,Turning to slide 8.
34,Adjusted operating income rose 22% to $134 million in the third quarter of fiscal 2017.
35,"That growth was driven by the acquisition of NACC, organic recurring fee revenue growth, and the impact of higher event-driven revenues"
36,"Adjusted operating income margins declined from 15.9% to 13.2%, largely as a result of adding the lower-margin NACC business, partially offset by the increase in event-driven revenue and higher margins in the GTO segment"
37,Adjusted EPS rose 19% to $0.69; and GAAP EPS grew by 21%
38,There are three items of note that had an impact on EPS
39,"The first was the $9 million non-cash gain, resulting from the acquisition of Message Automation"
40,"Because Broadridge owned a minority interest in that company, the acquisition triggered a revaluation of our investment stake, resulting in a one-time non-cash gain, which was not subject to tax"
41,"So, all $9 million fell directly through to our reported GAAP earnings and GAAP EPS"
42,"While the gain benefited our GAAP EPS, it has been excluded from our non-GAAP adjusted earnings and adjusted EPS"
43,The second item was the tax rate
44,"Excluding the impact of the Message Automation gain, our tax rate was 31.3% in the third quarter"
45,"As we have in recent fiscal third quarters, we recognized one or more discrete items, which had the effect of lowering our third quarter rate that had only a small impact on the forecasted full-year rate"
46,"We expect our tax rate for the full year to be approximately 34%, excluding this gain and 33% with the gain"
47,The third item to point out is the share count
48,A 1% decline in the weighted average shares outstanding also contributed modestly to our EPS growth
49,That decline primarily reflects the shares Broadridge repurchased over the past three fiscal quarters
50,Moving to slide 9.
51,"For the nine-month period, our adjusted operating income grew by 16%; and adjusted EPS rose 12%"
52,"Turning to slide 10, a review of the performance of our ICS and GTO segments"
53,"ICS revenues rose 60% to $826 million in the third quarter, driven largely by the impact of higher recurring fee and distribution revenues from NACC and an increase of event-driven revenues"
54,ICS recurring fee revenues rose 48% to $389 million
55,"On an organic basis, revenues rose 6%, driven entirely by Net New Business"
56,"ICS recurring fee revenues benefited from organic growth in our communications business and from growth in data and analytics, tax, and other new product lines"
57,"As Rich noted, ICS revenues also benefited from a pickup in ETF and mutual fund interim position growth to 5%, as well as 6% stock record growth"
58,ICS earnings before taxes rose 10% to $74 million from $67 million
59,"The growth in earnings reflects the impact of the NACC acquisition and higher event-driven revenues, which more than offset higher amortization expense related to the NACC and Inveshare technology acquisitions"
60,"Next, to GTO"
61,GTO recurring revenues rose 6% to $203 million
62,"Organic growth was 3%, and recent acquisitions contributed another 3%"
63,"Breaking down the organic growth, closed sales added 7 points of revenue growth, which netted to 5 points of Net New Business after client losses"
64,"The contribution from Net New Business reflects the strong GTO sales results over the last couple of years, including some sales closed in fiscal year 2015."
65,This meaningful lag between sales and revenue recognition highlights the number of larger deals we have been closing
66,These larger deals are typically more complex and have longer conversion times
