,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Rich,Rich,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Before,before,IN,Xxxxx
11,reviewing,review,VBG,xxxx
12,the,the,DT,xxx
13,quarter,quarter,NN,xxxx
14,and,and,CC,xxx
15,outlook,outlook,VB,xxxx
16,in,in,RP,xx
17,more,more,JJR,xxxx
18,detail,detail,NN,xxxx
19,",",",",",",","
20,I,-PRON-,PRP,X
21,'ll,will,MD,'xx
22,make,make,VB,xxxx
23,a,a,DT,x
24,few,few,JJ,xxx
25,callouts,callout,NNS,xxxx
26,to,to,TO,xx
27,begin,begin,VB,xxxx
28,"
","
",_SP,"
"
29,First,first,RB,Xxxxx
30,",",",",",",","
31,guidance,guidance,NN,xxxx
32,"
","
",_SP,"
"
33,We,-PRON-,PRP,Xx
34,'re,be,VBP,'xx
35,reaffirming,reaffirm,VBG,xxxx
36,our,-PRON-,PRP$,xxx
37,fiscal,fiscal,JJ,xxxx
38,year,year,NN,xxxx
39,2017,2017,CD,dddd
40,guidance,guidance,NN,xxxx
41,this,this,DT,xxxx
42,morning,morning,NN,xxxx
43,",",",",",",","
44,and,and,CC,xxx
45,I,-PRON-,PRP,X
46,will,will,MD,xxxx
47,give,give,VB,xxxx
48,you,-PRON-,PRP,xxx
49,a,a,DT,x
50,sense,sense,NN,xxxx
51,on,on,IN,xx
52,where,where,WRB,xxxx
53,we,-PRON-,PRP,xx
54,expect,expect,VBP,xxxx
55,to,to,TO,xx
56,land,land,VB,xxxx
57,within,within,IN,xxxx
58,those,those,DT,xxxx
59,ranges,range,NNS,xxxx
60,"
","
",_SP,"
"
61,Specific,specific,JJ,Xxxxx
62,to,to,IN,xx
63,earnings,earning,NNS,xxxx
64,",",",",",",","
65,we,-PRON-,PRP,xx
66,expect,expect,VBP,xxxx
67,adjusted,adjust,VBN,xxxx
68,EPS,EPS,NNP,XXX
69,growth,growth,NN,xxxx
70,will,will,MD,xxxx
71,be,be,VB,xx
72,in,in,IN,xx
73,the,the,DT,xxx
