,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Lip,Lip,NNP,Xxx
3,-,-,HYPH,-
4,Bu,Bu,NNP,Xx
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Consistent,consistent,JJ,Xxxxx
11,execution,execution,NN,xxxx
12,drove,drive,VBD,xxxx
13,excellent,excellent,JJ,xxxx
14,financial,financial,JJ,xxxx
15,results,result,NNS,xxxx
16,for,for,IN,xxx
17,the,the,DT,xxx
18,second,second,JJ,xxxx
19,quarter,quarter,NN,xxxx
20,",",",",",",","
21,highlighted,highlight,VBN,xxxx
22,by,by,IN,xx
23,revenue,revenue,NN,xxxx
24,near,near,IN,xxxx
25,the,the,DT,xxx
26,high,high,JJ,xxxx
27,end,end,NN,xxx
28,of,of,IN,xx
29,our,-PRON-,PRP$,xxx
30,guidance,guidance,NN,xxxx
31,range,range,NN,xxxx
32,and,and,CC,xxx
33,operating,operate,VBG,xxxx
34,margin,margin,NN,xxxx
35,",",",",",",","
36,EPS,EPS,NNP,XXX
37,and,and,CC,xxx
38,operating,operate,VBG,xxxx
39,cash,cash,NN,xxxx
40,flow,flow,NN,xxxx
41,",",",",",",","
42,all,all,DT,xxx
43,exceeding,exceed,VBG,xxxx
44,expectations,expectation,NNS,xxxx
45,"
","
",_SP,"
"
46,Specifically,specifically,RB,Xxxxx
47,",",",",",",","
48,here,here,RB,xxxx
49,are,be,VBP,xxx
50,some,some,DT,xxxx
51,key,key,JJ,xxx
52,results,result,NNS,xxxx
53,for,for,IN,xxx
54,the,the,DT,xxx
55,quarter,quarter,NN,xxxx
56,;,;,",",;
57,total,total,JJ,xxxx
58,revenue,revenue,NN,xxxx
59,of,of,IN,xx
60,$,$,$,$
61,479,479,CD,ddd
62,million,million,CD,xxxx
63,;,;,:,;
64,non,non,JJ,xxx
65,-,-,JJ,-
66,GAAP,gaap,JJ,XXXX
67,operating,operating,NN,xxxx
68,margin,margin,NN,xxxx
69,was,be,VBD,xxx
70,27,27,CD,dd
71,%,%,NN,%
72,;,;,:,;
73,GAAP,GAAP,NNP,XXXX
