,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Marilyn,Marilyn,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,",",",",",",","
7,good,good,JJ,xxxx
8,afternoon,afternoon,NN,xxxx
9,",",",",",",","
10,everyone,everyone,NN,xxxx
11,"
","
",_SP,"
"
12,Our,-PRON-,PRP$,Xxx
13,results,result,NNS,xxxx
14,this,this,DT,xxxx
15,quarter,quarter,NN,xxxx
16,demonstrate,demonstrate,VBP,xxxx
17,the,the,DT,xxx
18,continued,continue,VBN,xxxx
19,progress,progress,NN,xxxx
20,we,-PRON-,PRP,xx
21,'re,be,VBP,'xx
22,make,make,VB,xxxx
23,on,on,IN,xx
24,our,-PRON-,PRP$,xxx
25,strategic,strategic,JJ,xxxx
26,priorities,priority,NNS,xxxx
27,"
","
",_SP,"
"
28,In,in,IN,Xx
29,Q1,Q1,NNP,Xd
30,we,-PRON-,PRP,xx
31,delivered,deliver,VBD,xxxx
32,a,a,DT,x
33,solid,solid,JJ,xxxx
34,quarter,quarter,NN,xxxx
35,with,with,IN,xxxx
36,revenue,revenue,NN,xxxx
37,of,of,IN,xx
38,$,$,$,$
39,12.1,12.1,CD,dd.d
40,billion,billion,CD,xxxx
41,and,and,CC,xxx
42,non,non,JJ,xxx
43,-,-,JJ,-
44,GAAP,gaap,JJ,XXXX
45,EPS,eps,NN,XXX
46,of,of,IN,xx
47,$,$,$,$
48,0.61,0.61,CD,d.dd
49,.,.,.,.
50,We,-PRON-,PRP,Xx
51,are,be,VBP,xxx
52,seeing,see,VBG,xxxx
53,great,great,JJ,xxxx
54,traction,traction,NN,xxxx
55,with,with,IN,xxxx
56,our,-PRON-,PRP$,xxx
57,new,new,JJ,xxx
58,intent,intent,NN,xxxx
59,-,-,HYPH,-
60,based,base,VBN,xxxx
61,networking,networking,NN,xxxx
62,solutions,solution,NNS,xxxx
63,",",",",",",","
64,delivering,deliver,VBG,xxxx
65,accelerated,accelerate,VBN,xxxx
66,innovation,innovation,NN,xxxx
67,across,across,IN,xxxx
68,our,-PRON-,PRP$,xxx
69,portfolio,portfolio,NN,xxxx
70,and,and,CC,xxx
71,offering,offer,VBG,xxxx
72,a,a,DT,x
73,broader,broad,JJR,xxxx
74,range,range,NN,xxxx
75,of,of,IN,xx
76,new,new,JJ,xxx
77,consumption,consumption,NN,xxxx
78,options,option,NNS,xxxx
79,to,to,IN,xx
80,our,-PRON-,PRP$,xxx
81,customers,customer,NNS,xxxx
82,",",",",",",","
83,resulting,result,VBG,xxxx
84,in,in,IN,xx
85,strong,strong,JJ,xxxx
86,increases,increase,NNS,xxxx
87,in,in,IN,xx
88,our,-PRON-,PRP$,xxx
89,software,software,NN,xxxx
90,and,and,CC,xxx
91,subscription,subscription,NN,xxxx
92,revenue,revenue,NN,xxxx
93,"
","
",_SP,"
"
94,The,the,DT,Xxx
95,progress,progress,NN,xxxx
96,we,-PRON-,PRP,xx
97,'ve,have,VB,'xx
98,made,make,VBN,xxxx
99,resulted,result,VBN,xxxx
100,in,in,IN,xx
101,all,all,DT,xxx
102,three,three,CD,xxxx
103,of,of,IN,xx
104,our,-PRON-,PRP$,xxx
105,geographic,geographic,JJ,xxxx
106,regions,region,NNS,xxxx
107,returning,return,VBG,xxxx
108,to,to,IN,xx
109,orders,order,NNS,xxxx
110,growth,growth,NN,xxxx
111,during,during,IN,xxxx
112,Q1,Q1,NNP,Xd
113,.,.,.,.
114,Cisco,Cisco,NNP,Xxxxx
115,has,have,VBZ,xxx
116,always,always,RB,xxxx
117,been,be,VBN,xxxx
118,about,about,IN,xxxx
119,connecting,connect,VBG,xxxx
120,people,people,NNS,xxxx
121,",",",",",",","
122,information,information,NN,xxxx
123,and,and,CC,xxx
124,machines,machine,NNS,xxxx
125,at,at,IN,xx
126,scale,scale,NN,xxxx
127,"
","
",_SP,"
"
128,Today,today,NN,Xxxxx
129,",",",",",",","
130,the,the,DT,xxx
131,network,network,NN,xxxx
132,is,be,VBZ,xx
133,becoming,become,VBG,xxxx
