,Sentences
0,"Thank you, Mark, and welcome to everyone"
1,I'm excited to join you today in my new role at Citrix
2,"As you can see, the business results are strong"
3,"As Mark shared, top line revenue is in line with our forecasts, growing 3% year-on-year, but that alone really doesn't tell the full story"
4,"When you look at bookings and deferred revenue, we saw a significant acceleration in our business last quarter, including 76 deals over $1 million of which nine were for Citrix Cloud"
5,We can directly see the model shift when measuring the percentage of product bookings in the quarter that came in as subscription-based versus perpetual
6,"In Q2, this mix of subscription doubled year-on-year to 30% of the product bookings mix, driving the increase in deferred revenue, which as Mark mentioned, over $1.7 billion, up more than 13% year-on-year"
7,"In fact, the total contract value of bookings for Workspace Services was up more than 10% from last year with an average contract duration approaching three years"
8,"We're also beginning to see this move show up in recognized SaaS revenue which is growing quickly, up 27% year-on-year, and we expect to accelerate throughout the back half of this year"
9,"Up until now, we've been trying to gradually manage this move to a more subscription-based model, but the rapid shift in demand from customers is showing that we need to be much more aggressive and speed up this transition moving forward"
10,The faster-than-expected shift is a strong indicator of our customers' belief in our long-term vision
11,They want their infrastructure to run in either a hybrid or a SaaS model
12,Our holistic approach gives customers the confidence that they can transition to the cloud at their own pace with Citrix and have the future flexibility to access cloud-based innovations that their businesses are going to need
13,The move to subscription is obviously impacting the P&L in the short term for both revenue and margin
14,"As we work on the plan to move faster, we're going to do so with a commitment to operational efficiency"
15,"We're recognizing that OpEx is up significantly over the last few quarters, as Mark mentioned, both from variable expenses as well as investments in multiple areas of the company"
16,"Looking forward, our goal is to manage the business closely through this transition so that we can both accelerate our move to subscription while balancing op margin both over the medium and long term"
17,"We're currently working on a multiyear plan including capital, and we expect to share these details and metrics on the Q3 call"
18,Citrix has a mission that has remained largely unchanged for nearly 30 years and we have a strategy that is clearly resonating with our customers
19,It's now our job to be more intentional about the transformation needed in all areas of the business to drive solid growth and profitability into the future
20,"Looking at our products, I believe we currently have the strongest product portfolio and roadmap that I've seen in my tenure with the company"
21,"Our desktop and app business is accelerating because the cloud and hybrid approach gives customers the flexibility they want, along with the growing need for security-use cases"
22,"We're seeing this especially with large competitive wins worldwide, particularly in education and healthcare during Q2."
23,"For example, a large U.S"
24,"health system and a major Korean university chose Citrix to better manage their cloud transitions while maintaining the security and compliance needed, and alleviating growing concerns around ransomware and malware within their organizations"
25,"In the networking space, we're seeing our Enterprise segment bookings grow in the double digits because of our capacity investments, as well as our software-based architecture strategy"
26,Organizations are clearly going to evolve their networks to a more software-defined perimeter approach over time
27,"And since NetScaler is a software platform, we're very well positioned to meet our customers' needs well into the future without forcing them to go through a complex and expensive hardware refresh cycle"
28,"For example, Masonite International, a large building products manufacturer, was facing an end of life on a competitor's hardware platform this quarter"
29,"They weighed upgrading with that competitor with switching to Citrix's NetScaler, ultimately choosing NetScaler with the addition of XenApp citing both Citrix's product integration capabilities and the completeness of vision to help them well into the future as unmatched reasons for this switch"
30,"Looking at our partnerships, our product alignment with Microsoft is driving real results"
31,"This quarter we saw many large joint customer wins for Citrix Cloud with Microsoft Azure driven by the strength, usability and simplicity of our solution"
32,"Arizona State University, for example, which is currently undergoing a hybrid cloud effort as part of a new Cloud first IT initiative"
33,is just one large example
34,"In addition to that, one of the world's largest advertising, marketing and communications agencies, as well as one of the world's largest professional software firms both chose Citrix Cloud on Azure in multimillion-dollar deals driven by cost, efficiency and security concerns"
35,A professional services firm needed an IT environment built from the ground up for one of its divisions to meet U.S
36,"government regulations, and they cited Citrix Cloud on Microsoft Azure as the single easiest and most secure way to mobilize their workforce and meet their regulatory compliance needs"
37,And the work that we're doing is extending to other partners as well
38,"This quarter, we announced an expanded partnership with Google to bring Citrix Cloud's desktop and application delivery and NetScaler CPS to the Google Cloud Platform, and to better integrate ShareFile and the security and control that we can offer with the full G Suite of solutions"
39,"And just this week, we'll be announcing the availability of Citrix SD-WAN 9.3 with an extended partnership to make it available on the AWS marketplace"
40,This is just the start of the investments to offer customers choice and flexibility into how they manage their IT environments with any platform provider
41,"From a competitive standpoint, we had more than 1,100 competitive wins in our core areas"
42,"For example, M&T Bank replaced a major competitor of XenMobile because of better user experience and features like single-touch desktop access and our ability to securely integrate with our existing NetScaler infrastructure"
43,"In fact, several customers also replaced networking competitors with NetScaler, including Telecom Italia, citing superior performance, usability, stability and overall scalability as the driving factors in these large deals"
44,"And overall we're also seeing several big desktop replacements when displacement transactions, including one of the large medical foundations, a major hospital system and a large services company, driven by the advanced performance and quality of our solutions and the unique Citrix-"
45,only capabilities like integration with ShareFile to deliver a complete workspace solution
46,"So to sum it all up, business is strong"
47,We recognize that our profitability is getting pressured by the cloud transition
48,"Going forward, we're going to manage both the transition and efficiencies in a balanced manner"
49,"We have, clearly, work to do, but you'll see our response over the next several quarters"
