,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Mark,Mark,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,welcome,welcome,JJ,xxxx
7,to,to,IN,xx
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,I,-PRON-,PRP,X
11,'m,be,VBP,'x
12,excited,excited,JJ,xxxx
13,to,to,TO,xx
14,join,join,VB,xxxx
15,you,-PRON-,PRP,xxx
16,today,today,NN,xxxx
17,in,in,IN,xx
18,my,-PRON-,PRP$,xx
19,new,new,JJ,xxx
20,role,role,NN,xxxx
21,at,at,IN,xx
22,Citrix,Citrix,NNP,Xxxxx
23,"
","
",_SP,"
"
24,As,as,IN,Xx
25,you,-PRON-,PRP,xxx
26,can,can,MD,xxx
27,see,see,VB,xxx
28,",",",",",",","
29,the,the,DT,xxx
30,business,business,NN,xxxx
31,results,result,NNS,xxxx
32,are,be,VBP,xxx
33,strong,strong,JJ,xxxx
34,"
","
",_SP,"
"
35,As,as,IN,Xx
36,Mark,Mark,NNP,Xxxx
37,shared,share,VBD,xxxx
38,",",",",",",","
39,top,top,JJ,xxx
40,line,line,NN,xxxx
41,revenue,revenue,NN,xxxx
42,is,be,VBZ,xx
43,in,in,IN,xx
44,line,line,NN,xxxx
45,with,with,IN,xxxx
46,our,-PRON-,PRP$,xxx
47,forecasts,forecast,NNS,xxxx
48,",",",",",",","
49,growing,grow,VBG,xxxx
50,3,3,CD,d
51,%,%,NN,%
52,year,year,NN,xxxx
53,-,-,HYPH,-
54,on,on,IN,xx
55,-,-,HYPH,-
56,year,year,NN,xxxx
57,",",",",",",","
58,but,but,CC,xxx
59,that,that,IN,xxxx
60,alone,alone,RB,xxxx
61,really,really,RB,xxxx
62,does,do,VBZ,xxxx
63,n't,not,RB,x'x
64,tell,tell,VB,xxxx
65,the,the,DT,xxx
66,full,full,JJ,xxxx
67,story,story,NN,xxxx
68,"
","
",_SP,"
"
69,When,when,WRB,Xxxx
70,you,-PRON-,PRP,xxx
71,look,look,VBP,xxxx
72,at,at,IN,xx
73,bookings,booking,NNS,xxxx
74,and,and,CC,xxx
75,deferred,defer,VBD,xxxx
76,revenue,revenue,NN,xxxx
77,",",",",",",","
78,we,-PRON-,PRP,xx
79,saw,see,VBD,xxx
80,a,a,DT,x
81,significant,significant,JJ,xxxx
82,acceleration,acceleration,NN,xxxx
83,in,in,IN,xx
84,our,-PRON-,PRP$,xxx
85,business,business,NN,xxxx
86,last,last,JJ,xxxx
87,quarter,quarter,NN,xxxx
88,",",",",",",","
89,including,include,VBG,xxxx
90,76,76,CD,dd
91,deals,deal,NNS,xxxx
92,over,over,IN,xxxx
93,$,$,$,$
94,1,1,CD,d
95,million,million,CD,xxxx
96,of,of,IN,xx
97,which,which,WDT,xxxx
98,nine,nine,CD,xxxx
99,were,be,VBD,xxxx
100,for,for,IN,xxx
101,Citrix,Citrix,NNP,Xxxxx
102,Cloud,Cloud,NNP,Xxxxx
103,"
","
",_SP,"
"
104,We,-PRON-,PRP,Xx
105,can,can,MD,xxx
106,directly,directly,RB,xxxx
107,see,see,VB,xxx
108,the,the,DT,xxx
109,model,model,NN,xxxx
110,shift,shift,NN,xxxx
111,when,when,WRB,xxxx
112,measuring,measure,VBG,xxxx
113,the,the,DT,xxx
114,percentage,percentage,NN,xxxx
115,of,of,IN,xx
116,product,product,NN,xxxx
117,bookings,booking,NNS,xxxx
118,in,in,IN,xx
119,the,the,DT,xxx
120,quarter,quarter,NN,xxxx
121,that,that,WDT,xxxx
122,came,come,VBD,xxxx
123,in,in,RP,xx
124,as,as,IN,xx
125,subscription,subscription,NN,xxxx
126,-,-,HYPH,-
127,based,base,VBN,xxxx
128,versus,versus,IN,xxxx
129,perpetual,perpetual,JJ,xxxx
130,"
","
",_SP,"
"
131,In,in,IN,Xx
132,Q2,Q2,NNP,Xd
133,",",",",",",","
134,this,this,DT,xxxx
135,mix,mix,NN,xxx
136,of,of,IN,xx
137,subscription,subscription,NN,xxxx
138,doubled,double,VBD,xxxx
