,Sentences
0,"Good morning, everyone and thank you for joining us today"
1,Cognizant delivered solid third quarter results
2,"Q3 revenue was $3.77 billion, which is at the high end of our guided range and up 9.1% year-over-year"
3,Three of our four business segments were strong contributors to our performance
4,"Healthcare, product and resources and communications and media and technology averaged double digit growth rates"
5,Our third quarter digital related revenue grew well above company average
6,"And to further enhance our digital capabilities, we recently announced two acquisitions"
7,"Netcentric, a leading independent Adobe partner in Europe and a leading provider of digital experience and marketing solutions for some of the world's most recognized brands"
8,"And Zone, a UK based leading independent full service digital agency that specializes in interactive digital strategy, technology and content creation"
9,These acquisitions will broaden our portfolio of digital services and solutions
10,"To continue with our financial results, non-GAAP EPS quarter for the quarter was $0.98 and our non-GAAP operating margin was 20%"
11,"For 2017, we delivered three consecutive quarters of strong execution at the top and bottom lines"
12,This consistent performance underscores the soundness of our strategy and investments and the continuing strong demand for our portfolio of services
13,"Turning to guidance, we are again raising the low end of our revenue guidance range and expect full year revenue to be in the range of $14.78 billion and $14.84 billion"
14,And we expect our full year 2017 non-GAAP operating margin to be at least 19.6%
15,"Now, we're in the business to help our clients adapt, compete and grow in the face of continual shifts and disruptions within their markets"
16,"Therefore, we've systematically built out significant capabilities to enable clients to transition from the physical to the digital world"
17,Today making that shift has become mandatory for them
18,"Most clients now know they must become digital enterprises themselves or more precisely, the right mix of physical and digital"
19,"So we work with them to transform their business, operating and technology models simultaneously"
20,This three layer transformation is what we mean when we talk about digital at scale
21,"In prior calls, we've discussed how we enabled this transformation, applying our deep industry knowledge, innovation, advanced technologies and consulting expertise"
22,"More recently, we've also been emphasizing our client co-innovation centers and our platform based software and solutions"
23,The result of developing and integrating all these capabilities and intellectual property is that we are turning Cognizant into a different kind of company that's envisioning and building the digital economy
24,"Increasingly, we see ourselves as a leading firm that develops repeatable solutions by infusing software and services to deliver business outcomes that make a real difference to clients"
25,"And this morning, I'd like to highlight how this new Cognizant is resonating with clients and winning in digital"
26,"The best place to begin is with a few client examples of digital at scale, delivering a competitive upside for Cognizant"
27,"For a US car company that's preparing for a future of ride sharing and driverless cars, a team of consultants, developers and social scientists from Cognizant and ReD associates help to reimagine the relationship between driver and automaker"
28,And then they jointly develop a marketplace that offers mobility services to help drivers move around more easily and access services remotely from vehicle diagnostics to smart parking reservations
29,"For a leading financial institution facing slowing growth in a major business, Cognizant developed an artificial intelligence enabled robotic investment advisor that would appeal to a new market of approximately 90 million millennials and that will enable the firm to achieve its goal of doubling retail assets under management by 2020."
30,"To envision and build this digital solution, we brought a cross-functional team from the client together with Cognizant digital business designers, strategists, technologists and financial services experts"
31,And we also helped a leading life sciences company bring to market new drugs with proven therapeutic benefits for smaller patient populations
32,"We assembled a team of doctors, nurses, pharmacists and technology and design consultants to drive efficiencies in the clinical development process and apply digital marketing techniques"
33,"As a result, the client was able to achieve the goal of bringing new therapies to even relatively small patient populations"
34,"Absent this new approach, these drugs might not have been economical to develop and market"
35,The upside for Cognizant is that most of the world's companies are now dealing with these digital at scale challenges in one form or another
36,"And therefore, we can keep combining our services and software in new ways to create repeatable solutions for a wide variety of clients"
37,"Now, enterprise transformation is such a demanding work that we make sure that all our services and solutions are organized from the client's perspective, which is why last year we established Cognizant digital business, Cognizant digital operations and Cognizant Digital systems and technology"
38,"These three practice areas, which run across our business segment, mirror our client needs and the parts of their enterprises they need to transform"
39,And Raj will talk about how our digital practices are progressing in solving client's current and emerging challenges
40,"Within these practices, our value to clients hinges of course on the depth, breadth and currency of our knowledge"
41,"So we've been aggressively building high-end digital skills in areas such as data science, design thinking, cyber security, the Internet of Things, artificial intelligence and automation"
42,But strong digital skills alone are not enough
43,"So, we combine these skills with our industry expertise to speak the language and understand the core processes and technologies of every industry we specialize it"
44,And we draw on this knowledge to build specialized software platforms and industry specific solutions to quickly create new value for clients
45,You can see all of this come together for example in the way we've invested to extend our leadership as a fully integrated digital healthcare technology and operations provider
46,"We've made major health care investments, beginning with the TriZetto healthcare administration platform, a leading software platform used by payers and providers"
47,"Earlier this year, we moved our TriZetto products to the Microsoft Azure Cloud and launched our healthcare cloud solution, a SaaS platform for healthcare payers of any size"
48,"And having completed the TMG Health acquisition in August, we've now combined TriZetto with the business process services of TMG"
49,TMG Health has further strengthened our scalable business process as a service or BPAAS solution for the government and public health program markets
50,"These investments along with our market leading footprint in the commercial space establish Cognizant as the top solution provider of enhanced government processed platforms, digital solutions and services for commercial and government managed healthcare programs in the US"
51,"Since TriZetto, we have invested in many other platforms in areas such as digital content operations, sales transformation, mortgage servicing and patient safety"
52,"All of these technologies and platforms provide the benefit of scale, enabling Cognizant to develop repeatable offerings that can be used by multiple clients across multiple markets"
53,"While digital at scale is a heavy lift, Cognizant has the resume to execute this transformation successfully"
54,It starts with a high level of client trust that encourages and enables the successful co-innovation of solutions with clients
55,"Once we've established for the future, we know how to design, prototype and scale digital experiences to reshape clients, products and business models"
56,But building digital experiences for the front end of a client's business is not enough
57,"We have the deep knowledge to help clients reengineer, digitize, manage and operate their core business processes and build software platform for specific processes and industries"
58,"We couple this with a mastery of the technologies, software and tools to develop digital solutions as well as the ability to combine digital technologies with clients' heritage systems and applications"
59,"And we provide much of this capability to clients using our highly efficient and reliable global delivery model, which works at scale"
60,"And finally, we have the global consulting expertise to advice on strategy, operations and technology and orchestrate all of the knowledge, services, software and solutions that come together to enable enterprise transformation"
61,Cognizant bring this entire set of capabilities to the table
62,That's what continues to differentiate us in the marketplace
63,"And by integrating all of these capabilities and intellectual property, that's how we're turning Cognizant into a different kind of company that's envisioning and building the digital economy"
64,And now over to Raj who will talk about the work our three practices are doing to drive digital at scale for clients and then review our business segment performance
65,I'll talk a little bit about the overall plan
66,I think we're roughly right on track
67,right where we expected to be
68,I think about the transition or the shift to digital in two pieces that sort of the services that we offer to clients
69,And I think we continue to make great progress there
70,"I'll let Karen comment on the overall digital revenue, it grew again double digit - at a double digit pace much ahead company average this quarter"
71,The two acquisitions that we announced a few days ago Netcentric and Zone add to that capability
72,And we feel good about the transition of the service mix to digital
73,I think it's also important that just to note that as we've said before that today our portfolio if you look at the entire portfolio of digital revenue it is running at a higher margin than the rest of the business
74,So overall just a very healthy mix shift going on
75,and I think that that will continue to unfold through 2018 and beyond
76,"The other side of that - of this transition that we talked about when we laid out the plan for you a few quarters ago, at the beginning of this year is on the margin improvement side"
77,And I think we've demonstrated there that we're well on track there
78,"This year, if anything I think we're a little bit ahead of where we thought we'd be"
79,"And we'll continue to, you know, we feel very comfortable as Karen said in her prepared remarks with a target of 22% by 2019."
80,And I think we'll just keep executing on that
81,And I'll turn it Karen to talk about percent of digit revenue
82,"Having said that, Moshe it's Frank"
83,", I think it's worth adding one additional piece of color for you"
84,"which is that, Karen mentioned that last quarter digital revenue as a percent of total company revenue was about 26%"
85,We are right around there in financial services as well
86,So this isn't a story of we're waiting for digital revenue and financial services to convert
87,"We're already doing a substantial amount of work in digital, in financial services"
88,So I don't think by any stretch that we are not a significant player in financial - in the digital aspects of financial services as these big money center
89,banks start to think about and start to execute on their digital plans
90,"Again, I want to separate"
91,We are already doing a considerable amount of work
92,"So, yet there are deals that if they convert could be significant going down the road, but we are already - the point I was making"
93,", Moshe, is that today digital is already and financial services is roughly in line with our company average"
94,"So think about the 26% number, we're right around there in financial services"
95,So we're already doing a considerable amount of work in digital and financial services
96,"Look I think Arvind, I'll turn it, I'll let Raj answer as well, but it's Frank"
97,"Look I think changes is, change plays to our strengths actually"
98,"As the healthcare market changes and evolves we have just sort of a very strong end to end portfolio of service offerings whether that's consulting to help our clients figure out what they need to do to respond to the changes, whether that's operating in terms of our BPaaS offerings and our ability to run core parts of the operation for our client or whether that's on the technology front as they think about modernizing and digitizing their technology backbone"
