,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,",",",",",",","
3,everyone,everyone,NN,xxxx
4,and,and,CC,xxx
5,thank,thank,VBP,xxxx
6,you,-PRON-,PRP,xxx
7,for,for,IN,xxx
8,joining,join,VBG,xxxx
9,us,-PRON-,PRP,xx
10,today,today,NN,xxxx
11,"
","
",_SP,"
"
12,Cognizant,Cognizant,NNP,Xxxxx
13,delivered,deliver,VBD,xxxx
14,solid,solid,JJ,xxxx
15,third,third,JJ,xxxx
16,quarter,quarter,NN,xxxx
17,results,result,NNS,xxxx
18,"
","
",_SP,"
"
19,Q3,Q3,NNP,Xd
20,revenue,revenue,NN,xxxx
21,was,be,VBD,xxx
22,$,$,$,$
23,3.77,3.77,CD,d.dd
24,billion,billion,CD,xxxx
25,",",",",",",","
26,which,which,WDT,xxxx
27,is,be,VBZ,xx
28,at,at,IN,xx
29,the,the,DT,xxx
30,high,high,JJ,xxxx
31,end,end,NN,xxx
32,of,of,IN,xx
33,our,-PRON-,PRP$,xxx
34,guided,guide,VBN,xxxx
35,range,range,NN,xxxx
36,and,and,CC,xxx
37,up,up,RB,xx
38,9.1,9.1,CD,d.d
39,%,%,NN,%
40,year,year,NN,xxxx
41,-,-,HYPH,-
42,over,over,IN,xxxx
43,-,-,HYPH,-
44,year,year,NN,xxxx
45,"
","
",_SP,"
"
46,Three,three,CD,Xxxxx
47,of,of,IN,xx
48,our,-PRON-,PRP$,xxx
49,four,four,CD,xxxx
50,business,business,NN,xxxx
51,segments,segment,NNS,xxxx
52,were,be,VBD,xxxx
53,strong,strong,JJ,xxxx
54,contributors,contributor,NNS,xxxx
55,to,to,IN,xx
56,our,-PRON-,PRP$,xxx
57,performance,performance,NN,xxxx
58,"
","
",_SP,"
"
59,Healthcare,Healthcare,NNP,Xxxxx
60,",",",",",",","
61,product,product,NN,xxxx
62,and,and,CC,xxx
63,resources,resource,NNS,xxxx
64,and,and,CC,xxx
65,communications,communication,NNS,xxxx
66,and,and,CC,xxx
67,media,medium,NNS,xxxx
68,and,and,CC,xxx
69,technology,technology,NN,xxxx
70,averaged,average,VBD,xxxx
71,double,double,JJ,xxxx
72,digit,digit,NN,xxxx
73,growth,growth,NN,xxxx
74,rates,rate,NNS,xxxx
75,"
","
",_SP,"
"
76,Our,-PRON-,PRP$,Xxx
77,third,third,JJ,xxxx
78,quarter,quarter,NN,xxxx
79,digital,digital,JJ,xxxx
80,related,related,JJ,xxxx
81,revenue,revenue,NN,xxxx
82,grew,grow,VBD,xxxx
83,well,well,RB,xxxx
84,above,above,IN,xxxx
85,company,company,NN,xxxx
86,average,average,JJ,xxxx
87,"
","
",_SP,"
"
88,And,and,CC,Xxx
89,to,to,TO,xx
90,further,further,RB,xxxx
91,enhance,enhance,VB,xxxx
92,our,-PRON-,PRP$,xxx
93,digital,digital,JJ,xxxx
94,capabilities,capability,NNS,xxxx
95,",",",",",",","
96,we,-PRON-,PRP,xx
97,recently,recently,RB,xxxx
98,announced,announce,VBD,xxxx
99,two,two,CD,xxx
100,acquisitions,acquisition,NNS,xxxx
101,"
","
",_SP,"
"
102,Netcentric,netcentric,RB,Xxxxx
103,",",",",",",","
104,a,a,DT,x
105,leading,lead,VBG,xxxx
106,independent,independent,JJ,xxxx
107,Adobe,Adobe,NNP,Xxxxx
108,partner,partner,NN,xxxx
109,in,in,IN,xx
110,Europe,Europe,NNP,Xxxxx
111,and,and,CC,xxx
112,a,a,DT,x
113,leading,lead,VBG,xxxx
114,provider,provider,NN,xxxx
115,of,of,IN,xx
116,digital,digital,JJ,xxxx
117,experience,experience,NN,xxxx
118,and,and,CC,xxx
119,marketing,marketing,NN,xxxx
120,solutions,solution,NNS,xxxx
121,for,for,IN,xxx
122,some,some,DT,xxxx
123,of,of,IN,xx
124,the,the,DT,xxx
125,world,world,NN,xxxx
126,'s,'s,POS,'x
127,most,most,RBS,xxxx
128,recognized,recognize,VBN,xxxx
129,brands,brand,NNS,xxxx
130,"
","
",_SP,"
"
131,And,and,CC,Xxx
132,Zone,Zone,NNP,Xxxx
133,",",",",",",","
134,a,a,DT,x
135,UK,UK,NNP,XX
136,based,base,VBN,xxxx
137,leading,lead,VBG,xxxx
138,independent,independent,JJ,xxxx
139,full,full,JJ,xxxx
140,service,service,NN,xxxx
141,digital,digital,JJ,xxxx
142,agency,agency,NN,xxxx
143,that,that,WDT,xxxx
144,specializes,specialize,VBZ,xxxx
145,in,in,IN,xx
146,interactive,interactive,JJ,xxxx
147,digital,digital,JJ,xxxx
148,strategy,strategy,NN,xxxx
149,",",",",",",","
150,technology,technology,NN,xxxx
151,and,and,CC,xxx
152,content,content,NN,xxxx
153,creation,creation,NN,xxxx
154,"
","
",_SP,"
"
155,These,these,DT,Xxxxx
156,acquisitions,acquisition,NNS,xxxx
157,will,will,MD,xxxx
158,broaden,broaden,VB,xxxx
159,our,-PRON-,PRP$,xxx
