,Sentences
0,"Thank you, Wendell and good morning"
1,"As we noted in today's release, our fourth quarter core results reflect the sequential and year-over-year improvement we expected and we're very pleased with our strong operating performance"
2,Net income and earnings were both up significantly
3,"Looking ahead, we see year-over-year growth in the first quarter in sales, net income and EPS"
4,"Before I get into the details of our performance and results, I wanted to briefly note that the primary difference between our GAAP and core results for the fourth quarter is, again, a non-cash mark-to-market adjustment"
5,"As we have discussed previously, GAAP accounting requires earnings translation head contracts, settling in future periods, to be marked-to-market and recorded at their current value in the current quarter, even though those contracts will not be settled in the current quarter"
6,"During the fourth quarter, the yen weakened which resulted in a GAAP gain of $1.1 billion, when we marked the contracts to market, as required by GAAP"
7,"To be clear, this mark-to-market accounting has no impact on our cash flow"
8,We remain very pleased with the results of our hedging program and the economic certainty it delivers
9,"Since its inception, we have received cash totaling $1.3 billion under our hedge contracts"
10,These proceeds offset much of the yen-related decline in display's earnings
11,Hedging our earnings and cash flow through 2022 substantially mitigates risk from a weakening yen
12,"For the investors who have additional questions on the mechanics of the contracts, please refer to the tutorial on FX hedge accounting on the digital media disclosure section of our investor relations website"
13,"And as always, Ann and her team are available after the call"
14,"Note that for the full year, marking those contracts to market resulted in a non-cash loss of $409 million"
15,"The more significant difference between GAAP and core results for the full year was the $2.7 billion benefit from the strategic realignment of Dow Corning, that was completed in the second quarter"
16,"As Wendell noted, this transaction provided tremendous value for our shareholders"
17,"Turning to fourth quarter core results, sales grew 6% year over year and net income was $534 million, up 24% year-over-year"
18,"Adjusting for the former Dow Corning silicones business equity earnings which no longer contribute to our results, net income grew 36% year over year"
19,"Fourth quarter EPS was $0.50, up 47%"
20,These positive year-over-year results were primarily due to rapid adoption of Gorilla Glass 5 and record Gorilla Glass volume which produced higher sales and a profit boost from its premium price; sales growth and higher profitability in optical communications; and LCD glass volume growth and moderate pricing
21,"We delivered a 43% gross margin, as expected which was up 140 basis points from last year"
22,"SG&A was 14% of sales, at $350 million"
23,"RD&E was 7% of sales at $173 million, benefiting from the proceeds of a joint development agreement with a display customer"
24,"Total gross equity earnings were $112 million, driven primarily by our equity earnings from Hemlock which is seasonally strongest in Q4."
25,Our effective tax rate for the quarter was 17%
26,"Turning briefly to the balance sheet, adjusted operating cash flow for the year was $2.75 billion and we ended the year with $5.3 billion of cash, approximately 40% of which is in the U.S"
27,"Now let's look at the detailed segment results and the outlook for each business, beginning with display technologies"
28,The fourth quarter display market and our results were strong and in line with guidance
29,Sales were $904 million and net income was $276 million
30,"Industry dynamics played out, as we said they would, in October"
