,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Wendell,Wendell,NNP,Xxxxx
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,"
","
",_SP,"
"
8,As,as,IN,Xx
9,we,-PRON-,PRP,xx
10,noted,note,VBD,xxxx
11,in,in,IN,xx
12,today,today,NN,xxxx
13,'s,'s,POS,'x
14,release,release,NN,xxxx
15,",",",",",",","
16,our,-PRON-,PRP$,xxx
17,fourth,fourth,JJ,xxxx
18,quarter,quarter,NN,xxxx
19,core,core,NN,xxxx
20,results,result,NNS,xxxx
21,reflect,reflect,VBP,xxxx
22,the,the,DT,xxx
23,sequential,sequential,JJ,xxxx
24,and,and,CC,xxx
25,year,year,NN,xxxx
26,-,-,HYPH,-
27,over,over,IN,xxxx
28,-,-,HYPH,-
29,year,year,NN,xxxx
30,improvement,improvement,NN,xxxx
31,we,-PRON-,PRP,xx
32,expected,expect,VBD,xxxx
33,and,and,CC,xxx
34,we,-PRON-,PRP,xx
35,'re,be,VBP,'xx
36,very,very,RB,xxxx
37,pleased,pleased,JJ,xxxx
38,with,with,IN,xxxx
39,our,-PRON-,PRP$,xxx
40,strong,strong,JJ,xxxx
41,operating,operating,NN,xxxx
42,performance,performance,NN,xxxx
43,"
","
",_SP,"
"
44,Net,net,JJ,Xxx
45,income,income,NN,xxxx
46,and,and,CC,xxx
47,earnings,earning,NNS,xxxx
48,were,be,VBD,xxxx
49,both,both,DT,xxxx
50,up,up,RB,xx
51,significantly,significantly,RB,xxxx
52,"
","
",_SP,"
"
53,Looking,look,VBG,Xxxxx
54,ahead,ahead,RB,xxxx
55,",",",",",",","
56,we,-PRON-,PRP,xx
57,see,see,VBP,xxx
58,year,year,NN,xxxx
59,-,-,HYPH,-
60,over,over,IN,xxxx
61,-,-,HYPH,-
62,year,year,NN,xxxx
63,growth,growth,NN,xxxx
64,in,in,IN,xx
65,the,the,DT,xxx
66,first,first,JJ,xxxx
67,quarter,quarter,NN,xxxx
68,in,in,IN,xx
69,sales,sale,NNS,xxxx
70,",",",",",",","
71,net,net,JJ,xxx
72,income,income,NN,xxxx
73,and,and,CC,xxx
74,EPS,EPS,NNP,XXX
75,"
","
",_SP,"
"
76,Before,before,IN,Xxxxx
77,I,-PRON-,PRP,X
78,get,get,VBP,xxx
79,into,into,IN,xxxx
80,the,the,DT,xxx
81,details,detail,NNS,xxxx
82,of,of,IN,xx
83,our,-PRON-,PRP$,xxx
84,performance,performance,NN,xxxx
85,and,and,CC,xxx
86,results,result,NNS,xxxx
87,",",",",",",","
88,I,-PRON-,PRP,X
89,wanted,want,VBD,xxxx
90,to,to,TO,xx
91,briefly,briefly,RB,xxxx
92,note,note,VB,xxxx
93,that,that,IN,xxxx
94,the,the,DT,xxx
95,primary,primary,JJ,xxxx
96,difference,difference,NN,xxxx
97,between,between,IN,xxxx
98,our,-PRON-,PRP$,xxx
99,GAAP,GAAP,NNP,XXXX
100,and,and,CC,xxx
101,core,core,NN,xxxx
102,results,result,NNS,xxxx
103,for,for,IN,xxx
104,the,the,DT,xxx
105,fourth,fourth,JJ,xxxx
106,quarter,quarter,NN,xxxx
107,is,be,VBZ,xx
108,",",",",",",","
109,again,again,RB,xxxx
110,",",",",",",","
111,a,a,DT,x
112,non,non,JJ,xxx
113,-,-,JJ,-
114,cash,cash,JJ,xxxx
115,mark,mark,NN,xxxx
116,-,-,HYPH,-
117,to,to,IN,xx
118,-,-,HYPH,-
119,market,market,NN,xxxx
120,adjustment,adjustment,NN,xxxx
121,"
","
",_SP,"
"
122,As,as,IN,Xx
123,we,-PRON-,PRP,xx
124,have,have,VBP,xxxx
125,discussed,discuss,VBN,xxxx
126,previously,previously,RB,xxxx
127,",",",",",",","
128,GAAP,GAAP,NNP,XXXX
129,accounting,accounting,NN,xxxx
130,requires,require,VBZ,xxxx
131,earnings,earning,NNS,xxxx
132,translation,translation,NN,xxxx
133,head,head,NN,xxxx
134,contracts,contract,NNS,xxxx
135,",",",",",",","
