,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Andy,Andy,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,I,-PRON-,PRP,X
11,was,be,VBD,xxx
12,very,very,RB,xxxx
13,pleased,pleased,JJ,xxxx
14,with,with,IN,xxxx
15,F5,F5,NNP,Xd
16,team,team,NN,xxxx
17,’s,’s,POS,’x
18,performance,performance,NN,xxxx
19,in,in,IN,xx
20,our,-PRON-,PRP$,xxx
21,first,first,JJ,xxxx
22,quarter,quarter,NN,xxxx
23,of,of,IN,xx
24,fiscal,fiscal,JJ,xxxx
25,2017,2017,CD,dddd
26,.,.,.,.
27,We,-PRON-,PRP,Xx
28,delivered,deliver,VBD,xxxx
29,year,year,NN,xxxx
30,-,-,HYPH,-
31,over,over,IN,xxxx
32,-,-,HYPH,-
33,year,year,NN,xxxx
34,revenue,revenue,NN,xxxx
35,growth,growth,NN,xxxx
36,of,of,IN,xx
37,5,5,CD,d
38,%,%,NN,%
39,the,the,DT,xxx
40,strong,strong,JJ,xxxx
41,profitability,profitability,NN,xxxx
42,and,and,CC,xxx
43,operating,operating,NN,xxxx
44,margins,margin,NNS,xxxx
45,"
","
",_SP,"
"
46,The,the,DT,Xxx
47,highlight,highlight,NN,xxxx
48,of,of,IN,xx
49,the,the,DT,xxx
50,quarter,quarter,NN,xxxx
51,was,be,VBD,xxx
52,a,a,DT,x
53,return,return,NN,xxxx
54,to,to,IN,xx
55,product,product,NN,xxxx
56,revenue,revenue,NN,xxxx
57,growth,growth,NN,xxxx
58,",",",",",",","
59,which,which,WDT,xxxx
60,will,will,MD,xxxx
61,remain,remain,VB,xxxx
62,our,-PRON-,PRP$,xxx
63,number,number,NN,xxxx
64,one,one,CD,xxx
65,financial,financial,JJ,xxxx
66,clarity,clarity,NN,xxxx
67,throughout,throughout,IN,xxxx
68,fiscal,fiscal,JJ,xxxx
69,2017,2017,CD,dddd
70,.,.,.,.
71,We,-PRON-,PRP,Xx
72,continue,continue,VBP,xxxx
73,to,to,TO,xx
