,Sentences
0,"Thank you, François"
1,"With François new to F5, my prepared remarks for Q2 are a bit expanded and will flow as follows"
2,"I will open with high-level comments on the quarterly results, next share a number of Q2 customer wins, followed by an update on products for Q2."
3,"Then, I will give more detail on revenue and other selected financial results, as is normal, and conclude with commentary on new products and functionality being introduced in Q3, combined with our Q3 outlook"
4,"F5 delivered revenue of $518.2 million in fiscal Q2, reflecting year-over-year revenue growth of 7%"
5,The majority of this growth came from sales strength in the U.S
6,", highlighted by strong enterprise and service provider sales, offset by continued weakness in EMEA and lower-than-expected services revenue"
7,"We were particularly pleased to see product revenue growth accelerate to 7% year-over-year in Q2, up from 2% year-over-year growth in the prior quarter"
8,"GAAP EPS was $1.43 per share for the quarter, while non-GAAP earnings per share was $1.95."
9,"During Q2, we had a number of large wins that helped drive product revenue growth and reflect our continuing focus on opportunities in security and the cloud"
10,"To cope with the explosive growth of traffic resulting from its unlimited data plans, a large U.S"
11,service provider is deploying VIPRION
12,"Gi firewalls across mobile switching centers, which will support over 100 million subscribers nationwide"
13,VIPRION's superior scalability and high-performance enable the customer to replace its existing firewalls on a smaller footprint at significantly lower cost
14,"As part of its Cloud Edge strategy, a top U.S"
15,financial institution needed to provide secure access to third-party affiliates such as mortgage companies and credit card processors
16,Their decision to deploy VIPRION in an Equinix based co-location facility provided an extensible platform that can be used to lock their third-party affiliates to specific applications
17,The VIPRION solution also enables millisecond response times as they build and access applications in the cloud
18,"In EMEA, a large government agency launched a project that includes plans to go digital in every court and tribunal"
19,This involves initially moving three key services and later expanding to 20 to the Microsoft Azure Cloud Platform
20,"The agency has license virtual additions of LTM, AFM and ASM, allowing it to operating applications seamlessly between on-prem and the cloud ensuring the same level of security"
21,"Closer to home, a large beverage retailer and a Silverline DDoS customer expanded its Silverline services with the new three-year contract that includes Silverline's WAF protection as well"
22,"Under the new contract, both the DDoS and WAF services will also be extended to the company's workloads in Azure"
23,"These another major wins during the quarter, as well as significant opportunities in the pipeline continue to validate F5's ability to deliver products that meet the increasingly varied and complex needs of our customers, as they migrate towards hybrid infrastructures"
24,"Contributing to stronger product revenue growth, the entire family of new iSeries appliances was available for the entire quarter"
25,"Customer response has been positive, and we continue to be happy with the uptick of the new platforms which was in line with prior appliance refresh cycles"
26,"We launched TMOS 13.0 during Q2, which includes a number of important new features"
27,"Among them, enhancements to enterprise and service provider protocols, including DNS, HTTP, and TCP and the addition of MQTT support, which is specific for IoT workloads"
28,"We also introduced new security features and functions, including OAuth 2.0 identity support and improvements to Behavioral DDoS, bot detection and fingerprinting"
29,"Also included with the launch of the TMOS 13.0 is the new, high-performance 40-gig version of our Virtual Edition"
30,"In addition, we continue to see steady demand for a 100-gig VIPRION blade, which now includes availability of our vCMP functionality"
