,Sentences
0,"Thanks, Gary"
1,I will begin on slide 9 with a summary of our consolidated results for the quarter and for the full year of 2016.
2,"Today, consistent with our prior 2016 earnings announcements, all adjusted numbers and calculations are on an adjusted combined basis, as if SunGard was owned in both periods"
3,"In the fourth quarter, revenue increased 4.8% on an organic basis and EBITDA grew to $846 million, a 15.2% increase compared to the prior year"
4,Adjusted net earnings from continuing operations was $377 million and adjusted earnings per share increased 22.6% to $1.14 per share
5,"For the year, revenue increased 4.6% on an organic basis and EBITDA grew to $2.9 billion, an 11.1% increase compared to the prior-year period"
6,"EBITDA margin expanded 220 basis points to 31.2%, and adjusted earnings per share grew 18.6% to $3.82 per share"
7,We finished the year marginally exceeding our run rate synergy goal of $200 million for 2016.
8,Moving to slide 10.
9,"In the four quarter, IFS revenue grew on an organic basis by 2.5%, while EBITDA grew 5%, primarily driven by a favorable shift in revenue mix, coupled with executing ongoing cost management initiatives"
10,"For full-year 2016, IFS revenue increased 5% on an organic basis and EBITDA increased 4.2% compared to the prior-year period"
11,"Adjusting for the absence of incentive accruals discussed in the prior quarter, EBITDA would've increased 5.7% for the year, reflecting margin expansion of 20 basis points on an apples-to-apples basis"
12,Turning to slide 11.
13,Banking and Wealth was relatively flat for the quarter
14,This was primarily driven by the full quarter impact of the completion of the previously disclosed professional services project
15,"Absent this, the IP-led product business grew approximately 3%"
16,Payments grew 1.1% for the quarter
17,"As we've discussed previously, EMV growth comparables will become more difficult in the second half of the year"
18,We issued 7 million EMV cards in the quarter
19,"When combined with the previous quarter's EMV results, approximately 50% of our clients are EMV-enabled"
20,"As we've discussed previously, we expect the remainder of cards to be EMV-enabled in a natural reissuance cycle as they expire"
21,Corporate and digital produced growth of 12.5% for the quarter
22,This growth was driven primarily by strong sales for corporate liquidity and continued double-digit revenue growth in digital solutions
23,"In addition to the large contract Gary mentioned, our corporate liquidity solutions had strong license revenue, contributing to the growth"
24,"As discussed in prior quarters, we did not expect IFS results in the second half of the year to replicate the exceptional growth in the first half of the year"
25,"We are pleased with the organic growth of 5%, and profitability results for the year"
26,Turning to slide 12.
27,"In the fourth quarter, GFS revenue grew 7.7% organically while EBITDA grew 31.3%"
28,"For the quarter, this represents 700 basis points of margin expansion to 36%"
29,"For full-year 2016, revenue increased 5% organically"
30,"EBITDA grew 17.2% compared to the prior year, reflecting 380 basis points of margin expansion to 30.4%"
31,This was driven by higher margin product sales and cost synergies
32,2016 margin results exceeded our expectations and marked an important milestone for the SunGard transaction
33,"As we outlined in previous calls, we expected to exceed 30% margins over time in this segment"
34,"We're very pleased to complete 2016 at just over 30%, which was faster than anticipated"
35,"As discussed earlier this year, the GFS segment has shown significant structural improvement as a result of the SunGard acquisition, which improved the revenue quality, increasing the amount of revenue tied to recurring IP-led solutions"
36,This improved revenue mix and the execution of our integration plan contributed to significant margin expansion in the segment
37,"As discussed in May, we continue to expect margin expansion of 100 basis points to 150 basis points annually for the segment"
38,Moving to slide 13.
39,"Our Institutional and Wholesale business grew 8.7% for the quarter, driven by buy-side and risk and compliance solutions"
40,"This result aligns with our previous commentary related to quarterly seasonality for this business, which has heavier sales activity in the fourth quarter"
41,Banking and Payments grew 2.5% organically
42,"Growth in the quarter was primarily driven by increased card processing volumes in Brazil and payment strength in Australia, resulting from completion of a client conversion in the quarter"
43,"Consulting results for the quarter were in line with our expectations of double-digit growth, primarily driven by easy comparables to the prior year quarter"
44,"As we discussed throughout 2016, we continue to see softness in discretionary spending going into 2017."
45,Macroeconomic events during 2016 such as Brexit and the U.S
46,elections have not altered our expectations of continuing softness and demand for people-based services at this time
47,Moving to slide 14.
48,"Corporate and Other revenue for the fourth quarter was $159 million, with an EBITDA loss of $44 million"
49,"The Corporate and Other segment results include $88 million of Corporate expenses for the quarter, compared to $77 million in the prior year period"
50,The increase was driven primarily by higher incentive accruals in the quarter
51,Moving to slide 15.
52,Our business model continues to generate significant cash flow
53,Free cash flow was $435 million for the quarter and $1.5 billion for the year
54,"In the fourth quarter, our free cash flow conversion to adjusted net earnings was 115%"
55,"We reduced our debt by approximately $1 billion in 2016, and had approximately $10.5 billion of debt outstanding as of December 31."
56,"In 2016, we returned $341 million in dividends and ended the year with weighted average shares outstanding of 330 million on a fully diluted basis"
57,"In line with our previous guidance, the effective tax rate was 35% for the quarter and full year"
58,Turning to slide 16.
