,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Gary,Gary,NNP,Xxxx
3,"
","
",_SP,"
"
4,I,-PRON-,PRP,X
5,will,will,MD,xxxx
6,begin,begin,VB,xxxx
7,on,on,IN,xx
8,slide,slide,NN,xxxx
9,9,9,CD,d
10,with,with,IN,xxxx
11,a,a,DT,x
12,summary,summary,NN,xxxx
13,of,of,IN,xx
14,our,-PRON-,PRP$,xxx
15,consolidated,consolidated,JJ,xxxx
16,results,result,NNS,xxxx
17,for,for,IN,xxx
18,the,the,DT,xxx
19,quarter,quarter,NN,xxxx
20,and,and,CC,xxx
21,for,for,IN,xxx
22,the,the,DT,xxx
23,full,full,JJ,xxxx
24,year,year,NN,xxxx
25,of,of,IN,xx
26,2016,2016,CD,dddd
27,.,.,.,.
28,Today,today,NN,Xxxxx
29,",",",",",",","
30,consistent,consistent,JJ,xxxx
31,with,with,IN,xxxx
32,our,-PRON-,PRP$,xxx
33,prior,prior,JJ,xxxx
34,2016,2016,CD,dddd
35,earnings,earning,NNS,xxxx
36,announcements,announcement,NNS,xxxx
37,",",",",",",","
38,all,all,DT,xxx
39,adjusted,adjust,VBN,xxxx
40,numbers,number,NNS,xxxx
41,and,and,CC,xxx
42,calculations,calculation,NNS,xxxx
43,are,be,VBP,xxx
44,on,on,IN,xx
45,an,an,DT,xx
46,adjusted,adjust,VBN,xxxx
47,combined,combine,VBN,xxxx
48,basis,basis,NN,xxxx
49,",",",",",",","
50,as,as,IN,xx
51,if,if,IN,xx
52,SunGard,SunGard,NNP,XxxXxxx
53,was,be,VBD,xxx
54,owned,own,VBN,xxxx
55,in,in,IN,xx
56,both,both,DT,xxxx
57,periods,period,NNS,xxxx
58,"
","
",_SP,"
"
59,In,in,IN,Xx
60,the,the,DT,xxx
61,fourth,fourth,JJ,xxxx
62,quarter,quarter,NN,xxxx
63,",",",",",",","
64,revenue,revenue,NN,xxxx
65,increased,increase,VBD,xxxx
66,4.8,4.8,CD,d.d
67,%,%,NN,%
68,on,on,IN,xx
69,an,an,DT,xx
70,organic,organic,JJ,xxxx
71,basis,basis,NN,xxxx
72,and,and,CC,xxx
73,EBITDA,EBITDA,NNP,XXXX
