,Sentences
0,"Hi, everyone, and thanks for joining the call this afternoon"
1,"Upfront here, I'll plan to cover two subjects"
2,"First, I'll comment on our Q2 results and rest of year outlook, and second, I'll provide an update on some recent developments"
3,"So, on to the quarter"
4,"We reported very good Q2 results, generally consistent with our internal expectations"
5,"We reported revenue of $541 million, up 30%, and cash EPS of $199 million, up 26%"
6,That's back-to-back quarters of profit growth above 25%
7,The macro overall was a nonfactor in our Q2 earnings
8,"Fuel price and fuel spreads were a bit favorable, but FX interest rates and our tax rate were unfavorable versus the prior year"
9,"So, again, overall neutral macro against profits"
10,"Organic growth 9%, in Q2 with Fuel Card revenue growth of 8%"
11,Revenue growth in our other four major product lines was double-digit; that excludes our All Other category
12,Same-store sales finally strengthened in Q2 to plus 1%
13,We had particular strength in lodging and corporate payments
14,"Q2 sales grew 7% versus prior year, with two of our smaller international markets, Mexico and Russia, grew sales a 100% versus last year"
15,"Q2 cash flow expanded to $125 million, up 40% versus last year and up $70 million sequentially versus Q1 2017."
16,"Q2 global customer revenue retention was 91.5%, that's nine consecutive quarters of 90%-plus retention"
17,"So in terms of drivers for Q2, basically three things"
18,"One, STP made a big contribution, we didn't own that last year"
19,"It grew 14% on a pro forma basis, again 9% organic growth, about $40 million flowed through into earnings"
20,"And lastly, we had about 1 million fewer shares outstanding"
21,I do want to point out that a few things did not go as well as we planned in Q2.
22,The Comdata MasterCard portfolio that we converted in Q1 suffered some one-time losses in Q2 due to a bumpy IT conversion
23,"Fortunately, the U.S"
24,"MasterCard portfolio that we didn't convert to a new platform continued to grow quite well, up 34% in the quarter"
25,"So the one we converted, not so good; the ones that we didn't convert still growing nicely"
26,"Our Comdata trucking money movement products, eCash and Comchek, quite soft in the quarter"
27,"We're moving to replace both of those with new, fresher versions"
28,And STP was just a bit delayed in some of its pricing actions as we chose to test our way in a bit more slowly
29,"But look, all in all a good solid quarter, good profit growth, and really kind of a good first half of 2017."
30,"Okay, let me transition over to the outlook for the rest of the year"
31,"Starting with the macro, so basically outlooking a neutral macro for the second half; FX will be better, interest rates will be worse, but on an overall basis neutral for rest of the year"
32,Operating performance should be quite similar to Q2.
33,Things that are going well will continue to go well
34,"The couple of soft spots, the Comdata MasterCard portfolio that we converted and the Comdata money movement products probably soft still for the second half"
35,But expected acceleration in our corporate payments business
36,", they brought on a lot of new business that will get implemented in the second half that's been previously sold"
37,"And STP will gain on some of the pricing initiatives and some of the new channels, new sales channel initiatives in the second half"
38,"Speedway should be fully ramped by September heading into Q4, and we continue to roll out these PAC Pride extended network cards"
39,So this set of positives should absorb a couple of the weaker spots that we mentioned
40,"And then finally, we're expecting a rebalancing of our portfolio here in the second half, replacing our telematics business, NexTraq, with our international payments business, Cambridge"
41,So obviously that trade should result in faster revenue growth next year
42,So these expectations result in the following 2017 guidance adjustment
43,We'll raise full-year 2017 cash EPS guidance $0.03 from $8.31 to $8.34 at the midpoint
44,"So that reflects the $0.03 beat here in Q2, effectively leaving our rest of year guidance unchanged"
45,"This guidance assumes the portfolio rebalancing I mentioned, NexTraq out,"
46,"Cambridge in; that will be about $0.03 unfavorable in the second half, but that will be offset by the ASR, which will be $0.03 favorable in the second half"
47,"Our second half organic growth overall should pencil out at around 8% or 9%, with slower fuel card growth in the second half, again due to that bumpy MasterCard conversion"
48,"Okay, let me shift gears and talk about some recent developments"
49,"So first up on the capital allocation front, we announced we just refinanced our term debt facility, increasing our liquidity and extending our maturity, so we raised another $700 million in term debt – favorable rates, the term A and revolver staying put at L175, the term B rate improving 25 bps to L plus 200, term"
50,A revolver maturity extended five years and the B seven years
51,And that raise was oversubscribed
52,"We also completed our telematics NexTraq sale to Michelin for $320 million in July, so we now have that cash"
53,"So basically this new raise and sale gives us the available liquidity to close and fund Cambridge, fund a $250 million ASR, potentially do more open-market share buybacks or acquisitions going forward"
54,And looks like it will leave our pro forma leverage ratio at year-end at under three times our target
55,"On the partner relationship front, some good progress this quarter"
56,We're delighted to announce that Uber has extended their relationship with us
57,"So, happy to continue to grow that program with them"
58,"Speedway, we progressed the implementation quite nicely, now 75% complete, expected to finish in September"
59,"That will lift revenues in Q4 and into next year, so that conversion going well"
60,"And we've also gotten closer to some decisions on some new international partner opportunities, so hopeful that a couple of things there will come to conclusion"
61,"On the acquisition front, Cambridge, expect to close Cambridge by September 1."
62,We've now received regulatory clearance
63,We've received approvals and waivers/or for all the necessary state money transmitter licenses
64,We finalized our Year One transformation integration plan and appointed one of our executives to lead the transformation effort
65,Cambridge is out looking 20% plus revenue growth in calendar 2017.
66,"You may have seen the SVS announcement, we have decided mutually with First Data to terminate our gift card JV"
67,"The, challenge timeline and cost associated with the regulatory process is what led us to reconsider the decision and move forward independently, retaining SVS"
68,We're in the process now of reworking our growth plan for SVS and we'll revert with those thoughts and ideas later this year
69,"STP, hard to believe, but coming up on our one-year anniversary of that acquisition, business performing well"
70,Low teens revenue growth in the first half
71,", many of our transformational initiatives now taking hold, some pricing, lower credit losses, traction on some new sales channels, and testing of a new revamped IT system"
72,"So, quite pleased so far with STP and its prospects"
73,"In terms of pipeline, we are still active, working some new potential acquisitions, specifically a couple attractive tuck-ins, so we'll keep you posted as we get closer there"
74,"Let me give you an update on system conversion or migrations, we've worked on three IT conversions in the first half of 2017."
75,"Two have gone well or very well, and one has gone not so well"
76,"So on the good news front, we did convert our Comdata processing mainframe infrastructure from running in the Comdata office building to running on the IBM Cloud"
77,"This is good, it's – it helps in terms of processing speeds, it'll lower our IT costs going forward"
78,and it gives us better disaster recovery if we should ever need it
79,"Second conversion, I mentioned earlier Speedway, we've converted 75% of that portfolio to FleetCor systems"
80,"The conversion has gone well, quite well, and again, expect to wrap that up in Q3."
81,"On the not so good front, we converted a portion, one of our direct MasterCard portfolios off of the Comdata mainframe in Q1."
82,We had problems converting the history or client balances
83,"That led to several weeks of delays in billing, some errors in billing, unfortunately long wait times in customer service"
84,"And as a result, we've seen a number of clients leave the program in Q2 because of those bumpy IT issues"
85,"Fortunately, we've now corrected those conversion issues, the service is running normally again, and client attrition seems to have plateaued, so we're back at trying to rebuild that portfolio"
