,Word,Lemma,POSTag,Shape
0,Hi,hi,UH,Xx
1,",",",",",",","
2,everyone,everyone,NN,xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,thanks,thank,NNS,xxxx
6,for,for,IN,xxx
7,joining,join,VBG,xxxx
8,the,the,DT,xxx
9,call,call,NN,xxxx
10,this,this,DT,xxxx
11,afternoon,afternoon,NN,xxxx
12,"
","
",_SP,"
"
13,Upfront,upfront,JJ,Xxxxx
14,here,here,RB,xxxx
15,",",",",",",","
16,I,-PRON-,PRP,X
17,'ll,will,MD,'xx
18,plan,plan,VB,xxxx
19,to,to,TO,xx
20,cover,cover,VB,xxxx
21,two,two,CD,xxx
22,subjects,subject,NNS,xxxx
23,"
","
",_SP,"
"
24,First,first,RB,Xxxxx
25,",",",",",",","
26,I,-PRON-,PRP,X
27,'ll,will,MD,'xx
28,comment,comment,VB,xxxx
29,on,on,IN,xx
30,our,-PRON-,PRP$,xxx
31,Q2,q2,NN,Xd
32,results,result,NNS,xxxx
33,and,and,CC,xxx
34,rest,rest,NN,xxxx
35,of,of,IN,xx
36,year,year,NN,xxxx
37,outlook,outlook,NN,xxxx
38,",",",",",",","
39,and,and,CC,xxx
40,second,second,LS,xxxx
41,",",",",",",","
42,I,-PRON-,PRP,X
43,'ll,will,MD,'xx
44,provide,provide,VB,xxxx
45,an,an,DT,xx
46,update,update,NN,xxxx
47,on,on,IN,xx
48,some,some,DT,xxxx
49,recent,recent,JJ,xxxx
50,developments,development,NNS,xxxx
51,"
","
",_SP,"
"
52,So,so,CC,Xx
53,",",",",",",","
54,on,on,IN,xx
55,to,to,IN,xx
56,the,the,DT,xxx
57,quarter,quarter,NN,xxxx
58,"
","
",_SP,"
"
59,We,-PRON-,PRP,Xx
60,reported,report,VBD,xxxx
61,very,very,RB,xxxx
62,good,good,JJ,xxxx
63,Q2,q2,NN,Xd
64,results,result,NNS,xxxx
65,",",",",",",","
66,generally,generally,RB,xxxx
67,consistent,consistent,JJ,xxxx
68,with,with,IN,xxxx
69,our,-PRON-,PRP$,xxx
70,internal,internal,JJ,xxxx
71,expectations,expectation,NNS,xxxx
72,"
","
",_SP,"
"
73,We,-PRON-,PRP,Xx
74,reported,report,VBD,xxxx
75,revenue,revenue,NN,xxxx
76,of,of,IN,xx
77,$,$,$,$
78,541,541,CD,ddd
79,million,million,CD,xxxx
80,",",",",",",","
81,up,up,RB,xx
82,30,30,CD,dd
83,%,%,NN,%
84,",",",",",",","
85,and,and,CC,xxx
86,cash,cash,NN,xxxx
87,EPS,EPS,NNP,XXX
88,of,of,IN,xx
89,$,$,$,$
90,199,199,CD,ddd
91,million,million,CD,xxxx
92,",",",",",",","
93,up,up,RB,xx
94,26,26,CD,dd
95,%,%,NN,%
96,"
","
",_SP,"
"
97,That,that,DT,Xxxx
98,'s,be,VBZ,'x
