,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Gene,Gene,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,In,in,IN,Xx
12,addition,addition,NN,xxxx
13,to,to,IN,xx
14,discussing,discuss,VBG,xxxx
15,our,-PRON-,PRP$,xxx
16,quarterly,quarterly,JJ,xxxx
17,performance,performance,NN,xxxx
18,and,and,CC,xxx
19,updated,update,VBN,xxxx
20,annual,annual,JJ,xxxx
21,outlook,outlook,NN,xxxx
22,",",",",",",","
23,I,-PRON-,PRP,X
24,'ll,will,MD,'xx
25,spend,spend,VB,xxxx
26,some,some,DT,xxxx
27,time,time,NN,xxxx
28,this,this,DT,xxxx
29,morning,morning,NN,xxxx
30,walking,walk,VBG,xxxx
31,you,-PRON-,PRP,xxx
32,through,through,IN,xxxx
33,our,-PRON-,PRP$,xxx
34,new,new,JJ,xxx
35,reportable,reportable,JJ,xxxx
36,segments,segment,NNS,xxxx
37,and,and,CC,xxx
38,other,other,JJ,xxxx
39,disclosure,disclosure,NN,xxxx
40,highlights,highlight,NNS,xxxx
41,as,as,IN,xx
42,a,a,DT,x
43,result,result,NN,xxxx
44,of,of,IN,xx
45,the,the,DT,xxx
46,CEB,ceb,NN,XXX
47,acquisition,acquisition,NN,xxxx
48,"
","
",_SP,"
"
49,Starting,start,VBG,Xxxxx
50,with,with,IN,xxxx
51,our,-PRON-,PRP$,xxx
52,reporting,reporting,NN,xxxx
53,segments,segment,NNS,xxxx
54,;,;,:,;
55,as,as,IN,xx
56,you,-PRON-,PRP,xxx
57,'ve,have,VB,'xx
58,all,all,DT,xxx
59,seen,see,VBN,xxxx
60,from,from,IN,xxxx
61,today,today,NN,xxxx
62,'s,'s,POS,'x
63,press,press,NN,xxxx
64,release,release,NN,xxxx
65,",",",",",",","
66,we,-PRON-,PRP,xx
67,now,now,RB,xxx
68,have,have,VBP,xxxx
69,four,four,CD,xxxx
70,reportable,reportable,JJ,xxxx
71,segments,segment,NNS,xxxx
72,",",",",",",","
73,Research,Research,NNP,Xxxxx
74,",",",",",",","
75,Consulting,Consulting,NNP,Xxxxx
76,",",",",",",","
77,Events,event,NNS,Xxxxx
78,",",",",",",","
79,as,as,RB,xx
80,well,well,RB,xxxx
81,as,as,IN,xx
82,Talent,Talent,NNP,Xxxxx
83,Assessment,Assessment,NNP,Xxxxx
84,&,&,CC,&
85,Other,Other,NNP,Xxxxx
86,"
","
",_SP,"
"
87,Starting,start,VBG,Xxxxx
88,with,with,IN,xxxx
89,Research,research,NN,Xxxxx
90,"
","
",_SP,"
"
91,Research,research,NN,Xxxxx
92,continues,continue,VBZ,xxxx
93,to,to,TO,xx
94,be,be,VB,xx
95,our,-PRON-,PRP$,xxx
96,largest,large,JJS,xxxx
97,and,and,CC,xxx
98,most,most,RBS,xxxx
99,profitable,profitable,JJ,xxxx
100,segment,segment,NN,xxxx
101,",",",",",",","
102,representing,represent,VBG,xxxx
103,approximately,approximately,RB,xxxx
104,72,72,CD,dd
105,%,%,NN,%
106,of,of,IN,xx
107,our,-PRON-,PRP$,xxx
108,combined,combine,VBN,xxxx
109,full,full,JJ,xxxx
110,year,year,NN,xxxx
111,2016,2016,CD,dddd
112,company,company,NN,xxxx
113,revenues,revenue,NNS,xxxx
114,and,and,CC,xxx
115,approximately,approximately,RB,xxxx
116,80,80,CD,dd
117,%,%,NN,%
118,of,of,IN,xx
119,total,total,JJ,xxxx
120,gross,gross,JJ,xxxx
121,contribution,contribution,NN,xxxx
122,"
","
",_SP,"
"
123,Research,research,NN,Xxxxx
124,comprises,comprise,VBZ,xxxx
125,the,the,DT,xxx
126,previously,previously,RB,xxxx
127,-,-,HYPH,-
128,disclosed,disclose,VBN,xxxx
129,Gartner,Gartner,NNP,Xxxxx
130,Research,Research,NNP,Xxxxx
131,segment,segment,NN,xxxx
132,with,with,IN,xxxx
