,Word,Lemma,POSTag,Shape
0,I,-PRON-,PRP,X
1,'m,be,VBP,'x
2,Steve,Steve,NNP,Xxxxx
3,Fieler,Fieler,NNP,Xxxxx
4,",",",",",",","
5,Head,Head,NNP,Xxxx
6,of,of,IN,xx
7,Treasury,Treasury,NNP,Xxxxx
8,for,for,IN,xxx
9,HP,HP,NNP,XX
10,",",",",",",","
11,Inc,Inc,NNP,Xxx
12,"
","
",_SP,"
"
13,",",",",",",","
14,and,and,CC,xxx
15,I,-PRON-,PRP,X
16,’d,would,MD,’x
17,like,like,VB,xxxx
18,to,to,TO,xx
19,welcome,welcome,VB,xxxx
20,you,-PRON-,PRP,xxx
21,to,to,IN,xx
22,the,the,DT,xxx
23,fiscal,fiscal,JJ,xxxx
24,2017,2017,CD,dddd
25,second,second,JJ,xxxx
26,quarter,quarter,NN,xxxx
27,earnings,earning,NNS,xxxx
28,conference,conference,NN,xxxx
29,call,call,NN,xxxx
30,with,with,IN,xxxx
31,Dion,Dion,NNP,Xxxx
32,Weisler,Weisler,NNP,Xxxxx
33,",",",",",",","
34,HP,HP,NNP,XX
35,'s,'s,POS,'x
36,President,President,NNP,Xxxxx
37,and,and,CC,xxx
38,Chief,Chief,NNP,Xxxxx
39,Executive,Executive,NNP,Xxxxx
40,Officer,Officer,NNP,Xxxxx
41,",",",",",",","
42,and,and,CC,xxx
43,Cathie,Cathie,NNP,Xxxxx
44,Lesjak,Lesjak,NNP,Xxxxx
45,",",",",",",","
46,HP,HP,NNP,XX
47,'s,'s,POS,'x
48,Chief,Chief,NNP,Xxxxx
49,Financial,Financial,NNP,Xxxxx
50,Officer,Officer,NNP,Xxxxx
51,"
","
",_SP,"
"
52,Before,before,IN,Xxxxx
53,handing,hand,VBG,xxxx
54,the,the,DT,xxx
55,call,call,NN,xxxx
56,over,over,RP,xxxx
57,to,to,IN,xx
58,Dion,Dion,NNP,Xxxx
59,",",",",",",","
60,let,let,VB,xxx
61,me,-PRON-,PRP,xx
62,remind,remind,VB,xxxx
63,you,-PRON-,PRP,xxx
64,that,that,IN,xxxx
65,this,this,DT,xxxx
66,call,call,NN,xxxx
67,is,be,VBZ,xx
68,being,be,VBG,xxxx
69,webcast,webcast,JJ,xxxx
70,"
","
",_SP,"
"
71,A,a,DT,X
72,replay,replay,NN,xxxx
73,of,of,IN,xx
74,the,the,DT,xxx
75,webcast,webcast,NN,xxxx
76,will,will,MD,xxxx
77,be,be,VB,xx
78,made,make,VBN,xxxx
79,available,available,JJ,xxxx
80,shortly,shortly,RB,xxxx
81,after,after,IN,xxxx
82,the,the,DT,xxx
83,call,call,NN,xxxx
84,for,for,IN,xxx
85,approximately,approximately,RB,xxxx
86,one,one,CD,xxx
87,year,year,NN,xxxx
88,"
","
",_SP,"
"
89,We,-PRON-,PRP,Xx
90,posted,post,VBD,xxxx
91,the,the,DT,xxx
92,earnings,earning,NNS,xxxx
93,release,release,NN,xxxx
94,and,and,CC,xxx
95,the,the,DT,xxx
96,accompanying,accompany,VBG,xxxx
97,slide,slide,NN,xxxx
98,presentation,presentation,NN,xxxx
99,on,on,IN,xx
100,our,-PRON-,PRP$,xxx
101,investor,investor,NN,xxxx
102,relations,relation,NNS,xxxx
103,webpage,webpage,NN,xxxx
104,at,at,IN,xx
105,www,www,NN,xxx
106,"
","
",_SP,"
"
107,com,com,NNP,xxx
108,"
","
",_SP,"
"
109,As,as,IN,Xx
110,always,always,RB,xxxx
111,",",",",",",","
112,elements,element,NNS,xxxx
113,of,of,IN,xx
114,this,this,DT,xxxx
115,presentation,presentation,NN,xxxx
116,are,be,VBP,xxx
117,forward,forward,RB,xxxx
118,-,-,HYPH,-
119,looking,look,VBG,xxxx
120,and,and,CC,xxx
121,are,be,VBP,xxx
