,Sentences
0,"Thank you, Steve"
1,"Good afternoon, everyone, and thank you for joining us today"
2,It was great to see so many of you at our recent Security Analyst Meeting here in Palo Alto
3,"Our results today echo what you heard from us, HP is strong and getting stronger"
4,And my message to all of you is we’re just getting started
5,"As I look at our performance in the quarter and for the full fiscal year, I’m pleased with our consistent execution, ability to grow revenue, generate cash flow, and invest in our future to create sustainable growth over time"
6,It’s results like these that give us confidence in the trajectory of our business moving forward
7,It was just two years ago that we began our reinvention journey
8,"We committed to compete and win in our core, into new growth markets and natural adjacencies, and invest in our future where we can disrupt industries and create new categories"
9,"We’re also committed to a relentless focus on productivity, to take cost out of the business"
10,"We did what we said we’d do, and I’m proud of the substantial progress we have made"
11,"There is more work to do, but we’ve never been more competitive, more fixated on the customer, more innovative, and more focused on operational excellence than we’re today"
12,Let me review the highlights
13,"We drove impressive topline growth with net revenue up 11% year-over-year to $13.9 billion including double-digit growth and share gains across the Americas, EMEA, and APJ"
14,"Both, Personal Systems and Printing grew year-over-year, together for the third consecutive quarter"
15,"We grew non-GAAP diluted net earnings per share year-over-year, delivering $0.44 for the quarter"
16,"We delivered $0.5 billion of free cash flow in the quarter, taking us to $3.3 billion for the full year"
17,And we returned 69% of our FY17 free cash flow to shareholders through share repurchases and dividends
18,"Now, let me turn to segment performance"
19,"In quarter four, Personal Systems had another stellar quarter, driving growth, gaining profitable share, and delivering impressive innovations"
20,This team is hitting their stride with truly outstanding performance
21,"Personal Systems net revenue grew 13% year-over-year, which came on top of last year’s 4% growth in quarter four"
22,For the full year we grew 11% year-over-year with double-digit growth in each of the past four quarters
23,Growth in Personal Systems continued to be broad-based with double-digit year-over-year revenue gains in consumer and commercial and across all three regions
24,"We also saw consistent growth across product categories led by notebooks, and strong performance in desktops and workstations"
25,Our regional leaders and sales partners are doing an incredible job of driving growth and delivering value for our customers
26,"In calendar quarter three, the overall PC market returned to year-over-year growth both in units and revenue"
27,"We once again outperformed the PC unit market growth and increased our market share to 22.5%, up 1.2 points year-over-year"
28,We saw year-over-year share gains continuing in each region in both consumer and commercial
29,"In quarter four, we continue to surprise and delight the market with innovation"
30,"We announced our biggest premium launch across consumer and commercial, introduced the world’s most powerful and first detachable PC workstation, unleashed our most powerful OMEN X laptop for gaming athletes"
31,"And as you heard from us at SAM, we are doubling down on security with the world’s most secure and manageable commercial PCs"
32,"Security is built into our systems from the BIOS level and up, securing at, below, and above the operating system"
33,"As customer demands to services grows and the market transitions towards an on-demand based economy, we are gaining steady traction with enhanced devices or service offerings for the fleet management"
34,We are seeing strong wins by our channel partners and a healthy pipeline for the future
35,Shifting to Printing
36,"This business continues to make significant progress with year-over-year growth in revenue, operating profit and market share"
37,"In quarter four, total revenue was up 7% year-over-year with growth across all three geographic regions"
38,"We delivered year-over-year revenue increases in consumer hardware, commercial hardware and supplies"
39,"Quarter four supplies revenue grew again, demonstrating the huge progress we’ve made with this business during the year"
40,"Hardware units grew both year-over-year and sequentially, driven by consumer"
41,This is our fifth consecutive quarter of year-over-year unit growth
42,"Total print unit market share was 40% in calendar quarter three, and we gained share in both our office and home businesses"
43,"The graphics business continues to grow, even without the positive uplift that we experienced last year from the industry-wide drupa event"
44,"And as highlighted at the Security Analyst Meeting, we signed the single largest deal in our graphics history with Lightning Source"
45,"It’s a multimillion dollar, multiyear deal to deploy 24 PageWide digital presses to five printing sites on three continents"
46,Lightning Source prints roughly 40% of the books sold through Amazon and this deal is going to help transform the distribution and sales model for book publishers all over the world
47,"In A3, we continued to onboard new partners and gain market share, both year-over-year and sequentially"
48,"And I’m excited that on November the 1st, we closed the acquisition of Samsung’s Printing business"
49,"This creates a combined team, focused on innovation, acceleration and print excellence"
