,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,Meg,meg,VBP,Xxx
2,"
","
",_SP,"
"
3,As,as,IN,Xx
4,discussed,discuss,VBN,xxxx
5,",",",",",",","
6,while,while,IN,xxxx
7,our,-PRON-,PRP$,xxx
8,overall,overall,JJ,xxxx
9,performance,performance,NN,xxxx
10,in,in,IN,xx
11,Q2,Q2,NNP,Xd
12,was,be,VBD,xxx
13,impacted,impact,VBN,xxxx
14,by,by,IN,xx
15,tough,tough,JJ,xxxx
16,markets,market,NNS,xxxx
17,and,and,CC,xxx
18,the,the,DT,xxx
19,external,external,JJ,xxxx
20,factors,factor,NNS,xxxx
21,I,-PRON-,PRP,X
22,discussed,discuss,VBD,xxxx
23,last,last,JJ,xxxx
24,quarter,quarter,NN,xxxx
25,",",",",",",","
26,we,-PRON-,PRP,xx
27,continue,continue,VBP,xxxx
28,to,to,TO,xx
29,drive,drive,VB,xxxx
30,growth,growth,NN,xxxx
31,in,in,IN,xx
32,our,-PRON-,PRP$,xxx
33,higher,high,JJR,xxxx
34,margin,margin,NN,xxxx
35,businesses,business,NNS,xxxx
36,and,and,CC,xxx
37,align,align,VB,xxxx
38,our,-PRON-,PRP$,xxx
39,cost,cost,NN,xxxx
40,structure,structure,NN,xxxx
41,with,with,IN,xxxx
42,the,the,DT,xxx
43,future,future,NN,xxxx
44,HPE,HPE,NNP,XXX
45,operating,operate,VBG,xxxx
46,structure,structure,NN,xxxx
47,"
","
",_SP,"
"
48,Total,total,JJ,Xxxxx
49,revenue,revenue,NN,xxxx
50,for,for,IN,xxx
51,the,the,DT,xxx
52,quarter,quarter,NN,xxxx
53,was,be,VBD,xxx
54,$,$,$,$
55,9.9,9.9,CD,d.d
56,billion,billion,CD,xxxx
57,"
","
",_SP,"
"
58,This,this,DT,Xxxx
59,includes,include,VBZ,xxxx
60,$,$,$,$
61,2.5,2.5,CD,d.d
62,billion,billion,CD,xxxx
63,for,for,IN,xxx
64,two,two,CD,xxx
65,months,month,NNS,xxxx
66,of,of,IN,xx
67,enterprise,enterprise,NN,xxxx
68,services,service,NNS,xxxx
69,",",",",",",","
70,which,which,WDT,xxxx
71,is,be,VBZ,xx
72,not,not,RB,xxx
73,reported,report,VBN,xxxx
74,in,in,IN,xx
75,discontinued,discontinue,VBN,xxxx
76,operations,operation,NNS,xxxx
77,"
","
",_SP,"
"
78,Revenue,revenue,NN,Xxxxx
79,from,from,IN,xxxx
80,continuing,continue,VBG,xxxx
81,operations,operation,NNS,xxxx
82,of,of,IN,xx
83,$,$,$,$
84,7.4,7.4,CD,d.d
85,billion,billion,CD,xxxx
86,was,be,VBD,xxx
87,down,down,RB,xxxx
88,5,5,CD,d
89,%,%,NN,%
90,adjusted,adjust,VBN,xxxx
91,for,for,IN,xxx
92,divestitures,divestiture,NNS,xxxx
93,and,and,CC,xxx
94,currency,currency,NN,xxxx
95,driven,drive,VBN,xxxx
96,by,by,IN,xx
97,declines,decline,NNS,xxxx
98,in,in,IN,xx
99,software,software,NN,xxxx
100,and,and,CC,xxx
101,tier,tier,NN,xxxx
102,1,1,CD,d
103,server,server,NN,xxxx
104,sales,sale,NNS,xxxx
105,"
","
",_SP,"
"
106,If,if,IN,Xx
107,you,-PRON-,PRP,xxx
108,exclude,exclude,VBP,xxxx
109,software,software,NN,xxxx
110,and,and,CC,xxx
111,tier,tier,NN,xxxx
112,1,1,CD,d
113,and,and,CC,xxx
114,consider,consider,VBP,xxxx
115,just,just,RB,xxxx
116,the,the,DT,xxx
117,future,future,NN,xxxx
118,HPE,HPE,NNP,XXX
119,",",",",",",","
120,revenue,revenue,NN,xxxx
121,was,be,VBD,xxx
122,actually,actually,RB,xxxx
123,up,up,IN,xx
124,1,1,CD,d
125,%,%,NN,%
126,"
","
",_SP,"
"
127,I,-PRON-,PRP,X
128,'ll,will,MD,'xx
129,dive,dive,VB,xxxx
130,into,into,IN,xxxx
131,the,the,DT,xxx
132,business,business,NN,xxxx
133,segment,segment,NN,xxxx
134,performance,performance,NN,xxxx
135,in,in,IN,xx
136,a,a,DT,x
137,minute,minute,NN,xxxx
138,"
","
",_SP,"
"
139,From,from,IN,Xxxx
140,a,a,DT,x
141,macro,macro,JJ,xxxx
142,perspective,perspective,NN,xxxx
143,",",",",",",","
144,we,-PRON-,PRP,xx
145,continue,continue,VBP,xxxx
146,to,to,TO,xx
147,see,see,VB,xxx
148,competitive,competitive,JJ,xxxx
149,pricing,pricing,NN,xxxx
150,and,and,CC,xxx
151,a,a,DT,x
152,challenging,challenge,VBG,xxxx
153,commodities,commodity,NNS,xxxx
154,environment,environment,NN,xxxx
155,"
","
",_SP,"
"
156,Currency,currency,NN,Xxxxx
157,remained,remain,VBD,xxxx
158,unfavorable,unfavorable,JJ,xxxx
159,and,and,CC,xxx
160,was,be,VBD,xxx
161,an,an,DT,xx
162,80-basis,80-basis,CD,dd-xxxx
163,point,point,NN,xxxx
164,year,year,NN,xxxx
