,Sentences
0,"Good afternoon, everyone"
1,Thank you for joining us on the call
2,Today I would like to cover a couple of things
3,"First, I’ll review the results for the quarter, then I’d like to talk about what we see ahead, how we are redesigning this company to be fit for purpose and how we are driving the innovation needed to win in the market"
4,So let’s dive right in
5,"Overall, I am very pleased with our Q3 performance"
6,We saw strong momentum across key segments of the portfolio
7,Execution continued to improve and our profitability increased over last quarter as we reduced costs across the organization and we successfully closed the spin merge of our software business late last week
8,"With that milestone behind us, we are off and running"
9,"In Q3, we delivered total revenue of $8.2 billion which includes a final full quarter of revenue contribution from software"
10,"Future HPE, which now consists of Enterprise Group and Financial Services was $7.5 billion, up 6% year-over-year and if you remove tier-1 revenue was up 10%"
11,"From a profitability perspective, we made good progress on improving our operating margins as we began executing the cost reduction plan we outlined last quarter"
12,"Tim will provide more detail, but our EG margin improved sequentially to 9.3% as we work to mitigate increased commodity prices, stranded costs from divestitures and dilution from acquisitions"
13,We expect to see even greater improvement next quarter
14,With the strong revenue performance and improved profitability we were able to deliver non-GAAP EPS of $0.30 above our previously provided outlook of $0.24 to $0.28 per share
15,Free cash flow was also strong at over $400 million in the quarter putting us in a good position to achieve our full year outlook
16,"Turning to the business performance, while we have seen some improvement in the market overall, our strong Q3 performance was driven primarily by better execution and a compelling portfolio resulting in solid growth across key businesses"
17,"For example, core server revenue was up 13% year-over-year"
18,and we expect to gain share in calendar Q2.
19,"Since its launch, late last year, Synergy is experiencing very strong momentum with over 600 customers to-date"
20,As a side benefit we are also seeing an uptick in blade sales as customers move on to the path to become Synergy ready
21,We are also experiencing continued strength in High Performance Compute with our combined HPE and SGI portfolio
22,And early this summer we launched the first fully integrated HPE SimpliVity hyper converged offering
23,Hyper converged is core to our strategy of making hybrid IT simple for our customers and we saw over 200% growth in Q3 although off a small base
24,"All-Flash storage grew 30% year-over-year driven by Nimble, which exceeded both revenue and profit plans for the quarter"
25,"With Nimble and our marketing-leading 3PAR portfolio, HPE delivers a full range of superior flash storage solutions for customers across every segment"
26,We are already seeing the benefits of the combination of Nimble and HPE and we couldn’t be more excited about the potential
27,Aruba continues to perform exceptionally well
28,Wireless LAN solutions grew over 30% in the quarter and Aruba won approximately 70 new logos
29,Aruba continues to take share from competitors like CISCO by introducing truly breakthrough solutions for the intelligent edge
30,"For example, in June, Aruba announced a fundamentally new core aggregation switch called Aruba 8400."
31,This differentiated solution has a completely redesigned operating system to support the new requirements of modern networks
32,"It enables simplified operations for the network operator, a more powerful and scalable core to support the influx of data, faster time to remediate issues and granular visibility into what’s in the network"
33,We estimate the market for this technology is nearly $4 billion and technology services which includes Pointnext continued to perform well with Q3 revenue up 2% over last year
34,We’ve now seen five consecutive quarters of order and revenue growth in consulting as we put more emphasis on advisory and transformed services post the ES split
