,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Valentin,Valentin,NNP,Xxxxx
4,"
","
",_SP,"
"
5,And,and,CC,Xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,Before,before,IN,Xxxxx
12,I,-PRON-,PRP,X
13,begin,begin,VBP,xxxx
14,my,-PRON-,PRP$,xx
15,comments,comment,NNS,xxxx
16,on,on,IN,xx
17,the,the,DT,xxx
18,quarter,quarter,NN,xxxx
19,",",",",",",","
20,I,-PRON-,PRP,X
21,would,would,MD,xxxx
22,like,like,VB,xxxx
23,to,to,TO,xx
24,make,make,VB,xxxx
25,a,a,DT,x
26,few,few,JJ,xxx
27,opening,opening,NN,xxxx
28,remarks,remark,NNS,xxxx
29,"
","
",_SP,"
"
30,First,first,RB,Xxxxx
31,",",",",",",","
32,I,-PRON-,PRP,X
33,would,would,MD,xxxx
34,like,like,VB,xxxx
35,to,to,TO,xx
36,welcome,welcome,VB,xxxx
37,Jim,Jim,NNP,Xxx
38,Hillier,Hillier,NNP,Xxxxx
39,",",",",",",","
40,our,-PRON-,PRP$,xxx
41,new,new,JJ,xxx
42,Vice,Vice,NNP,Xxxx
43,President,President,NNP,Xxxxx
44,of,of,IN,xx
45,Investor,Investor,NNP,Xxxxx
46,Relations,Relations,NNPS,Xxxxx
47,"
","
",_SP,"
"
48,Quite,quite,PDT,Xxxxx
49,a,a,DT,x
50,few,few,JJ,xxx
51,of,of,IN,xx
52,you,-PRON-,PRP,xxx
53,have,have,VBP,xxxx
54,met,meet,VBN,xxx
55,Jim,Jim,NNP,Xxx
56,already,already,RB,xxxx
57,",",",",",",","
58,and,and,CC,xxx
59,we,-PRON-,PRP,xx
60,believe,believe,VBP,xxxx
61,he,-PRON-,PRP,xx
62,will,will,MD,xxxx
63,be,be,VB,xx
64,a,a,DT,x
65,valuable,valuable,JJ,xxxx
66,addition,addition,NN,xxxx
67,to,to,IN,xx
68,the,the,DT,xxx
69,IPG,IPG,NNP,XXX
70,team,team,NN,xxxx
71,"
","
",_SP,"
"
72,While,while,IN,Xxxxx
73,Angelo,Angelo,NNP,Xxxxx
74,Lopresti,Lopresti,NNP,Xxxxx
75,",",",",",",","
76,our,-PRON-,PRP$,xxx
77,General,General,NNP,Xxxxx
78,Counsel,Counsel,NNP,Xxxxx
79,and,and,CC,xxx
80,Corporate,Corporate,NNP,Xxxxx
81,Secretary,Secretary,NNP,Xxxxx
82,",",",",",",","
83,no,no,RB,xx
84,longer,longer,RB,xxxx
85,needs,need,VBZ,xxxx
86,to,to,TO,xx
87,make,make,VB,xxxx
88,the,the,DT,xxx
89,introductory,introductory,JJ,xxxx
90,comments,comment,NNS,xxxx
91,on,on,IN,xx
92,these,these,DT,xxxx
93,earnings,earning,NNS,xxxx
94,calls,call,NNS,xxxx
95,",",",",",",","
96,he,-PRON-,PRP,xx
97,remains,remain,VBZ,xxxx
98,actively,actively,RB,xxxx
99,engaged,engage,VBN,xxxx
100,in,in,IN,xx
101,our,-PRON-,PRP$,xxx
102,Investor,Investor,NNP,Xxxxx
103,Relations,Relations,NNPS,Xxxxx
104,process,process,NN,xxxx
105,",",",",",",","
106,and,and,CC,xxx
107,a,a,DT,x
108,valued,value,VBN,xxxx
109,member,member,NN,xxxx
110,of,of,IN,xx
111,the,the,DT,xxx
112,IPG,IPG,NNP,XXX
113,senior,senior,JJ,xxxx
114,leadership,leadership,NN,xxxx
115,team,team,NN,xxxx
116,"
","
",_SP,"
"
117,I,-PRON-,PRP,X
118,would,would,MD,xxxx
119,also,also,RB,xxxx
120,like,like,VB,xxxx
121,to,to,TO,xx
122,thank,thank,VB,xxxx
123,Sharon,Sharon,NNP,Xxxxx
124,Merrill,Merrill,NNP,Xxxxx
125,Associates,Associates,NNP,Xxxxx
126,for,for,IN,xxx
127,10,10,CD,dd
128,great,great,JJ,xxxx
129,years,year,NNS,xxxx
130,of,of,IN,xx
131,IR,IR,NNP,XX
