,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Mark,Mark,NNP,Xxxx
3,"
","
",_SP,"
"
4,Q2,Q2,NNP,Xd
5,was,be,VBD,xxx
6,an,an,DT,xx
7,outstanding,outstanding,JJ,xxxx
8,quarter,quarter,NN,xxxx
9,in,in,IN,xx
10,which,which,WDT,xxxx
11,we,-PRON-,PRP,xx
12,set,set,VBD,xxx
13,a,a,DT,x
14,number,number,NN,xxxx
15,of,of,IN,xx
16,records,record,NNS,xxxx
17,"
","
",_SP,"
"
18,We,-PRON-,PRP,Xx
19,beat,beat,VBD,xxxx
20,the,the,DT,xxx
21,expectations,expectation,NNS,xxxx
22,we,-PRON-,PRP,xx
23,set,set,VBP,xxx
24,in,in,IN,xx
25,April,April,NNP,Xxxxx
26,",",",",",",","
27,primarily,primarily,RB,xxxx
28,as,as,IN,xx
29,a,a,DT,x
30,result,result,NN,xxxx
31,of,of,IN,xx
32,stronger,strong,JJR,xxxx
33,desktop,desktop,NN,xxxx
34,and,and,CC,xxx
35,notebook,notebook,VB,xxxx
36,microprocessor,microprocessor,NN,xxxx
37,volume,volume,NN,xxxx
38,",",",",",",","
39,and,and,CC,xxx
40,set,set,VB,xxx
41,a,a,DT,x
42,second,second,JJ,xxxx
43,quarter,quarter,NN,xxxx
44,revenue,revenue,NN,xxxx
45,record,record,NN,xxxx
46,"
","
",_SP,"
"
47,We,-PRON-,PRP,Xx
48,'re,be,VBP,'xx
49,executing,execute,VBG,xxxx
50,well,well,RB,xxxx
51,to,to,IN,xx
52,our,-PRON-,PRP$,xxx
53,priorities,priority,NNS,xxxx
54,",",",",",",","
55,and,and,CC,xxx
56,after,after,IN,xxxx
57,adjusting,adjust,VBG,xxxx
58,for,for,IN,xxx
59,the,the,DT,xxx
60,McAfee,McAfee,NNP,XxXxxx
61,transaction,transaction,NN,xxxx
62,",",",",",",","
63,revenue,revenue,NN,xxxx
64,grew,grow,VBD,xxxx
65,14,14,CD,dd
66,%,%,NN,%
67,year,year,NN,xxxx
68,over,over,IN,xxxx
69,year,year,NN,xxxx
70,while,while,IN,xxxx
71,non,non,JJ,xxx
72,-,-,JJ,-
73,GAAP,gaap,JJ,XXXX
