,Sentences
0,"Thanks, Jerry, and thanks all of you for joining us"
1,Our second fiscal quarter once again reflected strong momentum across the business
2,QuickBooks Online subscribers and online ecosystem revenue demonstrated continuing acceleration from prior periods
3,"As a result, we now expect third quarter QBO subscribers to be roughly 2 million, which had been the low-end of our original guidance for the full fiscal year"
4,"Looking beyond Q3, we now expect to exit the fiscal year with 2.2 million subscribers, which had been the high-end of that range"
5,"I'll talk more about what's driving these results in a minute, but given its tax season, let's focus there first"
6,"Despite the slow start to tax season, we remain confident it's simply a shift in timing, with the do-it-yourself software category and TurboTax performing well season-to-date"
7,This timing shift did lead us to update our outlook for the quarter while reaffirming our full-year guidance
8,Each tax year is different
9,This one's no exception
10,The IRS data released this morning showed total e-filed returns are down 13% with self-prepared e-files down 11% and assisted e-files down 16%
11,"When you compare these results to the data that we released today, the conclusion we reach is that do-it-yourself category is performing better than assisted and we are performing well within the do-it-yourself category"
12,So it's helpful to put our season-to-date results into this context
13,"Now, let me take a minute and remind you the four main drivers for the consumer tax business"
14,The first is a total number of returns filed with the IRS
15,The second is the percentage of those returns filed using do-it-yourself software
16,"The third is our share within the do-it-yourself software category, and the fourth is the average revenue per return"
17,Total returns filed with the IRS have grown on average 1% per year over the last five years
18,"Now, we've grown quite a bit faster than that by focusing on growing the do-it-yourself software category and then growing our share within that category"
19,"So despite the slow start to this season, do-it-yourself software is once again growing faster than other methods and our volumes suggest that we are performing well within the category"
20,"Now, the question on everybody's mind is what's behind the slow start to the filing season?"
21,There could be several reasons
22,The IRS suggested in its release that the PATH Act has led some to delay their tax filings
23,"Now, as a reminder, the PATH Act is new legislation in service to fighting tax fraud that delayed refund processing to February 15th or later for anyone who is filing for the earned income or additional child tax credit"
24,"Now, regardless of the root cause, we remain laser-focused on making sure we have the best offerings and an awesome end-to-end experience for our customers"
25,Now there's no question this is a fiercely competitive tax season with new entrants joining the completely free category
26,"Free offerings are not new to the category and they're not new to us, and our strategy to win with free remains unchanged"
27,We are firm believers that not all free products are the same
28,Having the best free offer and a delightful end-to-end experience is what sets us apart
29,"With Absolute Zero, we continue to believe that we have that winning experience"
30,It's an alternative that is innovative for than 60 million people who file a simple return and may be overpaying for this service somewhere else
31,"In fact, roughly 30 million of these 60 million Americans visit a tax store or a tax professional simply because they have a nagging question"
32,"In the end, they pay hundreds of dollars to file their taxes"
33,"This is where SmartLook comes in, providing access to an expert at the touch of a screen for a much lower cost"
34,Now this is simply one of the many innovations that our tax team delivered this season
35,"Other innovations include improving data import through taking a picture on a smartphone, while continuing to expand available W-2 and 1099 forms for direct download"
36,We've also been applying machine learning and artificially intelligent algorithms to the data to get maximum deductions in less time
37,"We're transforming TurboTax from an application to a platform, with our first partner, providing the ability for customers to refinance their student loan at a much lower rate"
38,And we're delivering a free credit score to all TurboTax customers
39,"On top of these innovations, we also introduced TurboTax Self-Employed this season"
40,"This offering includes a 12-month subscription to our QuickBooks Self-Employed accounting solution, connecting our market-leading QuickBooks platform to TurboTax"
41,"So to put a bow around the tax season to date, we remain confident about the plans we have in place"
42,"When it's all said and done, we know taxpayers will still need to file by April 18, so we're focused on executing with excellence"
43,"On the ProConnect side, we continue to focus on winning with multi-service accountants who do both books and tax"
44,"We're off to a strong start, and our important accountant relationships are helping to drive QuickBooks growth opportunities"
45,"Shifting to Small Business, we continue to be pleased with the growth in our QuickBooks Online ecosystem"
46,"Subscriber growth is accelerating, driven by product and platform innovation, improved product market fit outside of the United States, and a further expansion of our addressable market by targeting the self-employed segment"
47,Total QuickBooks
48,"Online subscribers grew 49% in the quarter, up from 41% growth in the first quarter, and now shows more than 1.8 million subs"
49,"Outside the United States, our subscriber base grew 61% year over year to approximately 370,000 paying subscribers, which is up from 50% growth in Q1."
50,"We saw a notable pickup in markets where our product market fit meets our test of readiness, including the UK, Australia, and Canada"
51,"In fact, both the UK and Canada surpassed 100,000 subscribers in Q2."
52,"We introduced several innovations on the QuickBooks Online platform this quarter, including a complete re-imagination of QuickBooks"
53,com and the QuickBooks
54,"Online first-time use experience; all in an effort to increase awareness, trials, and conversion"
55,This is complemented by a new matchmaking service that connects small businesses with an accountant
56,"In addition, we're also building momentum behind QuickBooks Self-Employed"
57,"Roughly 180,000 of our QuickBooks Online subscribers are using QuickBooks Self-Employed, up from 110,000 subs last quarter and 50,000 subscribers just one year ago"
58,"In the quarter, we expanded QuickBooks Self-Employed to Canada, adding another major geography to the current distribution that we have in the United States, the UK, and Australia"
59,"Finally, we launched a new QuickBooks Self-Employed and TurboTax experience as well"
60,"While it's early days for all of these innovations, the accelerating growth gives us confidence that our strategy is working"
