,Word,Lemma,POSTag,Shape
0,All,all,RB,Xxx
1,right,right,RB,xxxx
2,"
","
",_SP,"
"
3,Thanks,thanks,UH,Xxxxx
4,",",",",",",","
5,Jerry,Jerry,NNP,Xxxxx
6,and,and,CC,xxx
7,thanks,thank,NNS,xxxx
8,to,to,IN,xx
9,all,all,DT,xxx
10,of,of,IN,xx
11,you,-PRON-,PRP,xxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,us,-PRON-,PRP,xx
15,"
","
",_SP,"
"
16,We,-PRON-,PRP,Xx
17,'re,be,VBP,'xx
18,pleased,pleased,JJ,xxxx
19,with,with,IN,xxxx
20,our,-PRON-,PRP$,xxx
21,performance,performance,NN,xxxx
22,in,in,IN,xx
23,our,-PRON-,PRP$,xxx
24,third,third,JJ,xxxx
25,fiscal,fiscal,JJ,xxxx
26,quarter,quarter,NN,xxxx
27,"
","
",_SP,"
"
28,As,as,IN,Xx
29,you,-PRON-,PRP,xxx
30,know,know,VBP,xxxx
31,",",",",",",","
32,this,this,DT,xxxx
33,is,be,VBZ,xx
34,our,-PRON-,PRP$,xxx
35,largest,large,JJS,xxxx
36,quarter,quarter,NN,xxxx
37,of,of,IN,xx
38,the,the,DT,xxx
39,year,year,NN,xxxx
40,and,and,CC,xxx
41,we,-PRON-,PRP,xx
42,successfully,successfully,RB,xxxx
43,delivered,deliver,VBD,xxxx
44,strong,strong,JJ,xxxx
45,financial,financial,JJ,xxxx
46,results,result,NNS,xxxx
47,in,in,IN,xx
48,a,a,DT,x
49,complicated,complicated,JJ,xxxx
50,tax,tax,NN,xxx
51,season,season,NN,xxxx
52,"
","
",_SP,"
"
53,Exiting,exit,VBG,Xxxxx
54,the,the,DT,xxx
55,quarter,quarter,NN,xxxx
56,",",",",",",","
57,our,-PRON-,PRP$,xxx
58,Consumer,Consumer,NNP,Xxxxx
59,Tax,Tax,NNP,Xxx
60,revenue,revenue,NN,xxxx
61,was,be,VBD,xxx
62,up,up,RB,xx
63,9,9,CD,d
64,%,%,NN,%
65,year,year,NN,xxxx
66,-,-,HYPH,-
67,to,to,IN,xx
68,-,-,HYPH,-
69,date,date,NN,xxxx
70,and,and,CC,xxx
71,is,be,VBZ,xx
72,on,on,IN,xx
73,track,track,NN,xxxx
74,to,to,TO,xx
75,finish,finish,VB,xxxx
76,at,at,IN,xx
77,the,the,DT,xxx
78,high,high,JJ,xxxx
79,end,end,NN,xxx
80,of,of,IN,xx
81,our,-PRON-,PRP$,xxx
82,guidance,guidance,NN,xxxx
83,range,range,NN,xxxx
84,for,for,IN,xxx
85,the,the,DT,xxx
86,full,full,JJ,xxxx
87,fiscal,fiscal,JJ,xxxx
88,year,year,NN,xxxx
89,"
","
",_SP,"
"
90,We,-PRON-,PRP,Xx
91,'re,be,VBP,'xx
92,also,also,RB,xxxx
