,Sentences
0,"Thank you, Kathleen"
1,"Good afternoon, everyone"
2,We were off to a positive start in 2017 and delivered strong year-over-year revenue and earnings growth in the March quarter
3,Total revenue was $1.221 billion at the high end of our guidance range and we saw year-over-year growth across all customer verticals
4,"We delivered strong profitability metrics with year-over-year growth in non-GAAP operating margin, operating income and diluted earnings per share"
5,We believe we are benefiting from our diversification strategy
6,and I'm pleased with our overall performance
7,We believe the biggest trend that is driving our industry and our strategy as a company today is the cloud
8,"As the industry evolves, cloud architectures are no longer the exclusive domain of the cloud providers"
9,Customers across all verticals are developing strategies for moving to cloud service delivery models and this aligns with our strategy to power the cloud transformation
10,I'm pleased with our year-over-year revenue growth of 25% in the Cloud vertical and would point out that our cloud solutions are addressing the cloud transformation across all of our key verticals
11,"In the quarter, we continued to deliver on our innovation roadmap and announced two new solutions for the data center"
12,"In January, we announced Juniper Networks Unite Cloud, a transformative data center solution that gives enterprises a simplified way to create and manage hybrid multi-cloud environments"
13,This solution delivers a secure and agile platform and is designed to reduce the total cost of ownership while increasing long-term return on our investments for our customers
14,"At the OFC conference in March, we introduced our data center interconnect solution, Open Cloud Interconnect"
15,"This comprehensive DCI solution brings together our strength across packet and optical domains to enable a diverse range of network operators to accelerate cloud service delivery, while simplifying network operations"
16,"Earlier this year, we were delighted and honored to receive Vodafone Group's most prestigious award for Supplier of the Year"
17,"Juniper is a strategic provider of IP routing and security technology for Vodafone, specifically for next-generation data centers, IP/MPLS (sic) [IP/MLPS]"
18,(05:06) backbone and mobile backhaul domains
19,"We believe that our continued strategy to lead in network innovation in key areas such as automation, software-defined networks, and network function virtualization will continue to enable our Telco customers to build new and innovative business models going forward"
20,"Now, I'd like to summarize highlights across switching, routing and security"
21,"In switching, we saw continued data center strength with our QFX products family, which once again grew over 50% year-over-year and continues to increase as a percentage of our overall switching portfolio mix"
22,"We are seeing continued traction in our QFX portfolio as customers across all verticals move to 100-gig, where we have industry-leading products"
23,"Our routing business grew year-over-year, driven by another strong quarter of PTX revenue growth as well as modest growth in MX"
24,"We continued to see healthy demand for our newest generation of MX line cards, which had a record shipping quarter in Q1."
25,Tremendous work has gone into the security product portfolio that we are very proud of
26,Juniper's differentiated SDSN strategy has been received very well by industry analysts and customers for its ability to detect and stop threats in a highly automated way
27,The innovative approach of viewing security as an open platform allows customers to leverage all existing security investments as well as their entire network infrastructure
28,"At RSA, we announced new technology alliance partnerships with leading security providers that simplify deployment of Juniper's security solutions across several customer use cases"
29,Our focus this year in security is on building confidence and momentum with our partners and customers
30,We believe we are making good progress as evidenced by new logo wins with our newest security products
31,Several global trials are also underway with managed service providers using Juniper's secure cloud managed enterprise solutions
32,"We saw year-over-year growth in Contrail, and added several new customers in Q1, including a tier 1 operator in Europe"
33,There was a continued expansion of orders within our existing customer base as they increased their deployment footprint
34,"We saw continued strength in our overall services business, which grew 14% year-over-year"
35,"I am particularly pleased with the momentum we are seeing in our professional services business, where we had a strategic win at a tier 1 service provider in EMEA"
36,"To summarize, we are executing well in a competitive environment and are proud of the strength in our product and services portfolio"
37,"The cloud is a massive paradigm shift that is reshaping all industries, and I'm excited about the opportunity we have in front of us"
38,"Looking at the remainder of 2017, we expect overall demand to be seasonal and believe our customer diversification is positioning us for growth as we navigate through volatile markets"
39,"I want to thank our customers, partners and shareholders for their continued support and confidence in Juniper"
40,"I also want to extend a very big thank you to our employees for their commitment and hard work, which plays a significant role in successfully executing to our strategy and creating value for all of our stakeholders"
