,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Kathleen,Kathleen,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,We,-PRON-,PRP,Xx
11,were,be,VBD,xxxx
12,off,off,RB,xxx
13,to,to,IN,xx
14,a,a,DT,x
15,positive,positive,JJ,xxxx
16,start,start,NN,xxxx
17,in,in,IN,xx
18,2017,2017,CD,dddd
19,and,and,CC,xxx
20,delivered,deliver,VBD,xxxx
21,strong,strong,JJ,xxxx
22,year,year,NN,xxxx
23,-,-,HYPH,-
24,over,over,IN,xxxx
25,-,-,HYPH,-
26,year,year,NN,xxxx
27,revenue,revenue,NN,xxxx
28,and,and,CC,xxx
29,earnings,earning,NNS,xxxx
30,growth,growth,NN,xxxx
31,in,in,IN,xx
32,the,the,DT,xxx
33,March,March,NNP,Xxxxx
34,quarter,quarter,NN,xxxx
35,"
","
",_SP,"
"
36,Total,total,JJ,Xxxxx
37,revenue,revenue,NN,xxxx
38,was,be,VBD,xxx
39,$,$,$,$
40,1.221,1.221,CD,d.ddd
41,billion,billion,CD,xxxx
42,at,at,IN,xx
43,the,the,DT,xxx
44,high,high,JJ,xxxx
45,end,end,NN,xxx
46,of,of,IN,xx
47,our,-PRON-,PRP$,xxx
48,guidance,guidance,NN,xxxx
49,range,range,NN,xxxx
50,and,and,CC,xxx
51,we,-PRON-,PRP,xx
52,saw,see,VBD,xxx
53,year,year,NN,xxxx
54,-,-,HYPH,-
55,over,over,IN,xxxx
56,-,-,HYPH,-
57,year,year,NN,xxxx
58,growth,growth,NN,xxxx
59,across,across,IN,xxxx
60,all,all,DT,xxx
61,customer,customer,NN,xxxx
62,verticals,vertical,NNS,xxxx
63,"
","
",_SP,"
"
64,We,-PRON-,PRP,Xx
65,delivered,deliver,VBD,xxxx
66,strong,strong,JJ,xxxx
67,profitability,profitability,NN,xxxx
68,metrics,metric,NNS,xxxx
69,with,with,IN,xxxx
70,year,year,NN,xxxx
71,-,-,HYPH,-
72,over,over,IN,xxxx
73,-,-,HYPH,-
74,year,year,NN,xxxx
75,growth,growth,NN,xxxx
76,in,in,IN,xx
77,non,non,JJ,xxx
78,-,-,JJ,-
79,GAAP,gaap,JJ,XXXX
80,operating,operating,NN,xxxx
81,margin,margin,NN,xxxx
82,",",",",",",","
83,operating,operate,VBG,xxxx
84,income,income,NN,xxxx
85,and,and,CC,xxx
86,diluted,dilute,VBN,xxxx
87,earnings,earning,NNS,xxxx
88,per,per,IN,xxx
89,share,share,NN,xxxx
90,"
","
",_SP,"
"
91,We,-PRON-,PRP,Xx
92,believe,believe,VBP,xxxx
93,we,-PRON-,PRP,xx
94,are,be,VBP,xxx
95,benefiting,benefit,VBG,xxxx
96,from,from,IN,xxxx
97,our,-PRON-,PRP$,xxx
98,diversification,diversification,NN,xxxx
99,strategy,strategy,NN,xxxx
100,and,and,CC,xxx
101,I,-PRON-,PRP,X
102,'m,be,VBP,'x
103,pleased,pleased,JJ,xxxx
104,with,with,IN,xxxx
105,our,-PRON-,PRP$,xxx
106,overall,overall,JJ,xxxx
107,performance,performance,NN,xxxx
108,"
","
",_SP,"
"
109,We,-PRON-,PRP,Xx
110,believe,believe,VBP,xxxx
111,the,the,DT,xxx
112,biggest,big,JJS,xxxx
113,trend,trend,NN,xxxx
114,that,that,WDT,xxxx
115,is,be,VBZ,xx
116,driving,drive,VBG,xxxx
117,our,-PRON-,PRP$,xxx
118,industry,industry,NN,xxxx
119,and,and,CC,xxx
120,our,-PRON-,PRP$,xxx
121,strategy,strategy,NN,xxxx
122,as,as,IN,xx
123,a,a,DT,x
124,company,company,NN,xxxx
125,today,today,NN,xxxx
126,is,be,VBZ,xx
127,the,the,DT,xxx
128,cloud,cloud,NN,xxxx
129,"
","
",_SP,"
"
130,As,as,IN,Xx
131,the,the,DT,xxx
132,industry,industry,NN,xxxx
