,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Martin,Martin,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,",",",",",",","
10,and,and,CC,xxx
11,thank,thank,VBP,xxxx
12,you,-PRON-,PRP,xxx
13,for,for,IN,xxx
14,joining,join,VBG,xxxx
15,our,-PRON-,PRP$,xxx
16,call,call,NN,xxxx
17,today,today,NN,xxxx
18,and,and,CC,xxx
19,what,what,WP,xxxx
20,I,-PRON-,PRP,X
21,know,know,VBP,xxxx
22,is,be,VBZ,xx
23,a,a,DT,x
24,busy,busy,JJ,xxxx
25,earnings,earning,NNS,xxxx
26,day,day,NN,xxx
27,"
","
",_SP,"
"
28,We,-PRON-,PRP,Xx
29,ended,end,VBD,xxxx
30,the,the,DT,xxx
31,calendar,calendar,NN,xxxx
32,year,year,NN,xxxx
33,was,be,VBD,xxx
34,strong,strong,JJ,xxxx
35,performance,performance,NN,xxxx
36,for,for,IN,xxx
37,the,the,DT,xxx
38,December,December,NNP,Xxxxx
39,quarter,quarter,NN,xxxx
40,exceeding,exceed,VBG,xxxx
41,the,the,DT,xxx
42,midpoint,midpoint,NN,xxxx
43,of,of,IN,xx
44,our,-PRON-,PRP$,xxx
45,guidance,guidance,NN,xxxx
46,and,and,CC,xxx
47,all,all,DT,xxx
48,financial,financial,JJ,xxxx
49,metrics,metric,NNS,xxxx
50,"
","
",_SP,"
"
51,We,-PRON-,PRP,Xx
52,delivered,deliver,VBD,xxxx
53,record,record,NN,xxxx
54,levels,level,NNS,xxxx
55,for,for,IN,xxx
56,shipments,shipment,NNS,xxxx
57,revenue,revenue,NN,xxxx
58,",",",",",",","
59,operating,operate,VBG,xxxx
60,income,income,NN,xxxx
61,dollars,dollar,NNS,xxxx
62,",",",",",",","
63,and,and,CC,xxx
64,earnings,earning,NNS,xxxx
65,per,per,IN,xxx
66,share,share,NN,xxxx
67,both,both,CC,xxxx
68,through,through,IN,xxxx
69,the,the,DT,xxx
70,December,December,NNP,Xxxxx
71,quarter,quarter,NN,xxxx
72,as,as,RB,xx
73,well,well,RB,xxxx
74,as,as,IN,xx
75,for,for,IN,xxx
76,the,the,DT,xxx
77,calendar,calendar,NN,xxxx
78,year,year,NN,xxxx
79,2016,2016,CD,dddd
80,",",",",",",","
81,again,again,RB,xxxx
82,demonstrating,demonstrate,VBG,xxxx
83,the,the,DT,xxx
84,company,company,NN,xxxx
85,’s,’s,POS,’x
86,ability,ability,NN,xxxx
87,to,to,TO,xx
88,grow,grow,VB,xxxx
89,the,the,DT,xxx
90,business,business,NN,xxxx
91,at,at,IN,xx
92,a,a,DT,x
93,pace,pace,NN,xxxx
94,that,that,WDT,xxxx
95,is,be,VBZ,xx
96,materially,materially,RB,xxxx
97,faster,fast,JJR,xxxx
98,than,than,IN,xxxx
99,WFE,WFE,NNP,XXX
100,as,as,IN,xx
101,a,a,DT,x
102,whole,whole,JJ,xxxx
103,"
","
",_SP,"
"
104,So,so,CC,Xx
105,we,-PRON-,PRP,xx
106,dive,dive,VBP,xxxx
107,more,more,RBR,xxxx
108,deeply,deeply,RB,xxxx
109,in,in,IN,xx
110,December,December,NNP,Xxxxx
111,quarter,quarter,NN,xxxx
112,",",",",",",","
113,momentum,momentum,NN,xxxx
114,in,in,IN,xx
115,our,-PRON-,PRP$,xxx
116,shipments,shipment,NNS,xxxx
117,continued,continue,VBD,xxxx
118,totaling,total,VBG,xxxx
119,$,$,$,$
120,"1,923","1,923",CD,"d,ddd"
121,million,million,CD,xxxx
122,",",",",",",","
123,which,which,WDT,xxxx
124,was,be,VBD,xxx
125,up,up,RB,xx
126,approximately,approximately,RB,xxxx
127,13,13,CD,dd
128,%,%,NN,%
129,compared,compare,VBN,xxxx
130,to,to,IN,xx
131,the,the,DT,xxx
132,September,September,NNP,Xxxxx
133,quarter,quarter,NN,xxxx
134,and,and,CC,xxx
135,was,be,VBD,xxx
