,Sentences
0,Thanks Martin
1,Good afternoon everyone and thank you for joining us today for our March 2017 quarterly earnings call
2,The March quarter represented a solid start to the calendar year
3,"We delivered record levels of shipments, revenue, gross margin dollars, operating income dollars, and earnings per share"
4,Each of these metrics grew double digits quarter over quarter
5,"Financial performance was above the midpoint of guidance for all metrics, with operating margin and earnings per share above the high-end of the range we provided to you last quarter"
6,Shipments for the quarter were strong at $2.413 billion which was up 25% sequentially and again above the midpoint of the guided range
7,"Memory shipments were very strong in the quarter, as customers continued their investments in three 3D NAND capacity"
8,"Our customers are investing in new 3D wafers, they're converting planar to 3D and they're also embarking on 3D technology conversions to increase layer count"
9,NAND demand continues to be strong driven by growth in enterprise and client SSDs as well as
10,mobile device density increases
11,The combined memory segment represented 73% of total system level shipments and that compares with 61% in the prior quarter
12,"Memory shipments were weighted heavily towards - excuse me, the nonvolatile segment which represented 50% of shipments in the March quarter compared with 37% in the prior quarter"
13,DRAM shipments grew 24% sequentially in dollar terms and made up 23% of system shipments
14,DRAM shipments comprise 24% of system shipments in the December quarter
15,We're seeing an uptick in DRAM spending in line with improving demand in content growth from areas such as smartphones and servers
16,DRAM spending is largely focused on conversions with the majority being conversions to the 1x nanometer node
17,The foundry segment was flattish sequentially in dollar terms accounting for 24% of system shipments
18,"Foundry spending was a combination of leading-edge 10 nanometer capacity, initial 7 nanometer pilot investments as well as continued spending at 28 nanometer and above with the latter being primarily focused in China"
19,And finally the logic and other segment contributed 3% of system shipments
20,"Revenue came in at $2.154 billion in the March quarter, which was up roughly 14% from the December quarter"
21,Gross margin for the period came in 46.1% above the midpoint of our guidance
22,"And as I've shared with you before, our gross margins are a function of a number of factors such as overall business volumes, product mix and customer concentration, so you will see variability quarter to quarter"
23,And I just like to remind you that our financial model is still the best way to think about our ongoing profitability performance
24,Operating expenses in the quarter grew as we knew they would to $414 million
25,This compares to $384 million in the December quarter
26,Operating expenses as a percent of revenue decreased to 19% compared to 20% in the prior quarter
27,"And as Martin pointed out, the majority of our OpEx spending continues to be allocated to funding our critical R&D programs"
28,Operating income in the March quarter came in at $578 million and that compares to $490 million in the prior quarter
29,"Operating margin was 26.9%, above the high end of the guided range"
30,The tax rate for the quarter was 12% compared with 15% last quarter
31,The tax rate in the March quarter was favorably impacted by the release of tax liabilities from the conclusion of certain tax matters
32,"Additionally, we had a reserve release related to the Novellus acquisition that is included in the GAAP results"
33,The tax rate in the low-to-mid teens for the remainder of 2017 would be reasonable for you to use in your earnings models
34,"Based on our share count of approximately 182 million shares, earnings per share for the March quarter totaled $2.80, above the guided range"
35,"This share count includes dilution on a non-GAAP basis from both the 2018 and 2041 convertible notes, with a total dilutive impact of about 16 million shares"
36,And I’ll remind you that dilution schedules for the 2018 and 2041 convertible notes are available on our Investor Relations website for your reference
37,"This quarter we returned $213 million to our shareholders, $73 million in dividend distributions and $140 million in share repurchases"
38,We took delivery of 1.2 million shares at an average price of $114.30.
39,We’ve completed approximately 20% of our current $1 billion share repurchase authorization and I'll let you know that we plan to initiate a $500 million accelerated share repurchase program in the June quarter
40,Now let me return to the balance sheet
41,We continue to have both a solid cash position and healthy cash generation
42,Cash and short-term investments including restricted cash increased modestly to $6.140 billion at the end of the quarter
43,Cash from operations was $423 million and that compares to $404 million in December
44,"DSO held steady at 69 days in the March quarter, the same level as in December"
45,Inventory turns were 4.2 which was up slightly from 4.1 in the prior quarter
46,This turns number is the highest we've achieved since we've combined LAM with Novellus
47,"We exited the quarter with deferred revenues of $842 million, which was up from $673 million in December"
48,This amount excludes $260 million in shipments to customers in Japan which will revenue in future quarters
49,These Japanese shipments are up from $129 million in the December quarter
50,And I'll just remind you that these Japanese shipments remain on our balance sheet as inventory carried at cost
51,And I'll just do the math for you
52,I'd like to point out that this combined deferred shipment bucket now stands at $1.1 billion and it grew 37% in the March quarter
53,I expect deferred revenue will grow again in the June quarter
54,"Company noncash expenses for the quarter included the following; $35 million for equity comp, $38 million for amortization and $38 million for the depreciation"
55,Capital expenditures were $44 million which was up from $37 million in the December quarter
56,"We ended the quarter with approximately 8,600 regular full-time employees, which was up about 400 from the end of the December quarter"
57,The increase in headcount was in support of our growing business levels primarily in the operations and field organizations
58,"Additionally, we're bringing on board the talent required to execute on our forward looking R&D programs"
59,"Now looking ahead, I’d like to provide you our guidance - for non-GAAP guidance for the June quarter"
60,We're expecting another record shipment of $2.500 billion plus or minus $100 million
61,We’re expecting record revenue of $2.300 billion plus or minus $100 million
62,"We’re forecasting gross margin of 46%, plus or minus 1 percentage point and we're forecasting operating margins of 27%"
63,plus or minus 1 percentage point
64,"And finally, we’re forecasting earnings per share of $3,"
65,plus or minus $0.12 based on a share count of approximately 180 million shares
