,Sentences
0,"Good morning, everybody"
1,So we continue to execute well against our strategy
2,You can see that in our strong second quarter financial and operational performance
3,We're really pleased
4,"We're delivering net revenue growth of 14% and if you exclude a special item related to a legal provision that we took last year in the same quarter, EPS growth is 16%, both of these numbers on a currency-neutral basis"
5,"In terms of the global economic environment, not much has changed since the last quarter"
6,"economy just continues its steady growth trajectory; low unemployment, low inflation, healthy consumer confidence, and if you look at our SpendingPulse data, retail sales ex auto were up 3.6%, that's kind of similar to last quarter"
7,"In Europe, real GDV is expected to grow by about 2% this year, in 2017."
8,Consumer confidence is continuing to improve and that's primarily driven by Germany and Spain
9,"But, of course, unemployment does remain relatively high in some of the EU countries"
10,"Now in the UK, interestingly, despite ongoing concerns around Brexit, SpendingPulse showed solid overall retail sales growth of 5% in the quarter and that's partly driven by higher consumer spending due to rising inflation, the lower pound basically"
11,"In Asia, we continue to see strong economic growth in India and several of the ASEAN countries"
12,"In Latin America, despite all the recent political turmoil and sustained high unemployment, Brazil is showing both consumer and business confidence improving"
13,"Economic growth in Mexico has been solid, driven by consumer spending"
14,"Venezuela, of course, continues to deteriorate, triple digit inflation, high foreign exchange volatility"
15,"With this backdrop, we're kind of pleased with the growth we're seeing across our business"
16,We're seeing double digit volume and transaction growth across most of our markets
17,"We're continuing to win deals by differentiating with services and, of course, by leveraging the work we're doing in digital"
18,"In terms of key business updates, as you know, we recently closed the VocaLink acquisition"
19,We're just pleased that we now have the ability to offer both card and bank account-based payment solutions to our customers
20,"If you look at the payment flows in the top 50 countries around the world, a significant portion of the payments are being made via ACH"
21,"With Fast ACH, in particular, we have the ability to now enable payments to and from any bank account in real time"
22,"And that expands our reach to more end points, including businesses, governments and consumers, who may only have a bank account and not a card"
23,"And as you can imagine, for consumers, that's not that infrequent in many markets around the world"
24,"Further, VocaLink's Fast ACH is well suited for certain use cases and why is that?"
25,That's because of its enhanced data and messaging capabilities
26,"So, for instance, it can connect to ERP systems to facilitate B2B payables and receivable management, but it can also support bill pay through its Request to Pay messaging capability"
