,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,",",",",",",","
3,everybody,everybody,NN,xxxx
4,"
","
",_SP,"
"
5,So,so,CC,Xx
6,we,-PRON-,PRP,xx
7,continue,continue,VBP,xxxx
8,to,to,TO,xx
9,execute,execute,VB,xxxx
10,well,well,RB,xxxx
11,against,against,IN,xxxx
12,our,-PRON-,PRP$,xxx
13,strategy,strategy,NN,xxxx
14,"
","
",_SP,"
"
15,You,-PRON-,PRP,Xxx
16,can,can,MD,xxx
17,see,see,VB,xxx
18,that,that,IN,xxxx
19,in,in,IN,xx
20,our,-PRON-,PRP$,xxx
21,strong,strong,JJ,xxxx
22,second,second,JJ,xxxx
23,quarter,quarter,NN,xxxx
24,financial,financial,JJ,xxxx
25,and,and,CC,xxx
26,operational,operational,JJ,xxxx
27,performance,performance,NN,xxxx
28,"
","
",_SP,"
"
29,We,-PRON-,PRP,Xx
30,'re,be,VBP,'xx
31,really,really,RB,xxxx
32,pleased,pleased,JJ,xxxx
33,"
","
",_SP,"
"
34,We,-PRON-,PRP,Xx
35,'re,be,VBP,'xx
36,delivering,deliver,VBG,xxxx
37,net,net,JJ,xxx
38,revenue,revenue,NN,xxxx
39,growth,growth,NN,xxxx
40,of,of,IN,xx
41,14,14,CD,dd
42,%,%,NN,%
43,and,and,CC,xxx
44,if,if,IN,xx
45,you,-PRON-,PRP,xxx
46,exclude,exclude,VBP,xxxx
47,a,a,DT,x
48,special,special,JJ,xxxx
49,item,item,NN,xxxx
50,related,relate,VBN,xxxx
51,to,to,IN,xx
52,a,a,DT,x
53,legal,legal,JJ,xxxx
54,provision,provision,NN,xxxx
55,that,that,IN,xxxx
56,we,-PRON-,PRP,xx
57,took,take,VBD,xxxx
58,last,last,JJ,xxxx
59,year,year,NN,xxxx
60,in,in,IN,xx
61,the,the,DT,xxx
62,same,same,JJ,xxxx
63,quarter,quarter,NN,xxxx
64,",",",",",",","
65,EPS,EPS,NNP,XXX
66,growth,growth,NN,xxxx
67,is,be,VBZ,xx
68,16,16,CD,dd
69,%,%,NN,%
70,",",",",",",","
71,both,both,DT,xxxx
72,of,of,IN,xx
73,these,these,DT,xxxx
74,numbers,number,NNS,xxxx
75,on,on,IN,xx
76,a,a,DT,x
77,currency,currency,NN,xxxx
78,-,-,HYPH,-
79,neutral,neutral,JJ,xxxx
80,basis,basis,NN,xxxx
81,"
","
",_SP,"
"
82,In,in,IN,Xx
83,terms,term,NNS,xxxx
84,of,of,IN,xx
85,the,the,DT,xxx
86,global,global,JJ,xxxx
87,economic,economic,JJ,xxxx
88,environment,environment,NN,xxxx
89,",",",",",",","
90,not,not,RB,xxx
91,much,much,JJ,xxxx
92,has,have,VBZ,xxx
93,changed,change,VBN,xxxx
94,since,since,IN,xxxx
95,the,the,DT,xxx
96,last,last,JJ,xxxx
97,quarter,quarter,NN,xxxx
98,"
","
",_SP,"
"
99,economy,economy,NN,xxxx
100,just,just,RB,xxxx
101,continues,continue,VBZ,xxxx
102,its,-PRON-,PRP$,xxx
103,steady,steady,JJ,xxxx
104,growth,growth,NN,xxxx
105,trajectory,trajectory,NN,xxxx
106,;,;,:,;
107,low,low,JJ,xxx
108,unemployment,unemployment,NN,xxxx
109,",",",",",",","
110,low,low,JJ,xxx
111,inflation,inflation,NN,xxxx
112,",",",",",",","
113,healthy,healthy,JJ,xxxx
114,consumer,consumer,NN,xxxx
115,confidence,confidence,NN,xxxx
116,",",",",",",","
117,and,and,CC,xxx
118,if,if,IN,xx
119,you,-PRON-,PRP,xxx
120,look,look,VBP,xxxx
121,at,at,IN,xx
122,our,-PRON-,PRP$,xxx
123,SpendingPulse,SpendingPulse,NNP,XxxxxXxxxx
124,data,datum,NNS,xxxx
125,",",",",",",","
126,retail,retail,JJ,xxxx
127,sales,sale,NNS,xxxx
128,ex,ex,NN,xx
129,auto,auto,NN,xxxx
130,were,be,VBD,xxxx
131,up,up,RB,xx
132,3.6,3.6,CD,d.d
133,%,%,NN,%
134,",",",",",",","
135,that,that,DT,xxxx
136,'s,be,VBZ,'x
137,kind,kind,RB,xxxx
138,of,of,RB,xx
139,similar,similar,JJ,xxxx
140,to,to,IN,xx
141,last,last,JJ,xxxx
142,quarter,quarter,NN,xxxx
143,"
","
",_SP,"
"
144,In,in,IN,Xx
145,Europe,Europe,NNP,Xxxxx
146,",",",",",",","
147,real,real,JJ,xxxx
148,GDV,GDV,NNP,XXX
149,is,be,VBZ,xx
150,expected,expect,VBN,xxxx
151,to,to,TO,xx
152,grow,grow,VB,xxxx
153,by,by,IN,xx
154,about,about,RB,xxxx
155,2,2,CD,d
156,%,%,NN,%
157,this,this,DT,xxxx
158,year,year,NN,xxxx
159,",",",",",",","
160,in,in,IN,xx
161,2017,2017,CD,dddd
162,.,.,.,.
163,Consumer,consumer,NN,Xxxxx
164,confidence,confidence,NN,xxxx
165,is,be,VBZ,xx
166,continuing,continue,VBG,xxxx
