,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Sanjay,Sanjay,NNP,Xxxxx
4,"
","
",_SP,"
"
5,We,-PRON-,PRP,Xx
6,had,have,VBD,xxx
7,a,a,DT,x
8,strong,strong,JJ,xxxx
9,quarter,quarter,NN,xxxx
10,with,with,IN,xxxx
11,record,record,NN,xxxx
12,revenue,revenue,NN,xxxx
13,",",",",",",","
14,non,non,JJ,xxx
15,-,-,JJ,-
16,GAAP,gaap,JJ,XXXX
17,EPS,eps,NN,XXX
18,and,and,CC,xxx
19,operating,operate,VBG,xxxx
20,cash,cash,NN,xxxx
21,flow,flow,NN,xxxx
22,",",",",",",","
23,driven,drive,VBN,xxxx
24,by,by,IN,xx
25,the,the,DT,xxx
26,continued,continue,VBN,xxxx
27,positive,positive,JJ,xxxx
28,industry,industry,NN,xxxx
29,environment,environment,NN,xxxx
30,",",",",",",","
31,additional,additional,JJ,xxxx
32,bit,bit,NN,xxx
33,growth,growth,NN,xxxx
34,from,from,IN,xxxx
35,our,-PRON-,PRP$,xxx
36,current,current,JJ,xxxx
37,technologies,technology,NNS,xxxx
38,and,and,CC,xxx
39,progress,progress,NN,xxxx
40,on,on,IN,xx
41,deploying,deploy,VBG,xxxx
42,our,-PRON-,PRP$,xxx
43,next,next,JJ,xxxx
44,-,-,HYPH,-
45,generation,generation,NN,xxxx
46,technologies,technology,NNS,xxxx
47,into,into,IN,xxxx
48,manufacturing,manufacturing,NN,xxxx
49,"
","
",_SP,"
"
50,I,-PRON-,PRP,X
51,will,will,MD,xxxx
52,provide,provide,VB,xxxx
53,an,an,DT,xx
54,overview,overview,NN,xxxx
55,of,of,IN,xx
56,the,the,DT,xxx
57,fiscal,fiscal,JJ,xxxx
58,Q3,q3,NN,Xd
59,results,result,NNS,xxxx
60,by,by,IN,xx
61,technology,technology,NN,xxxx
62,and,and,CC,xxx
63,business,business,NN,xxxx
64,unit,unit,NN,xxxx
65,",",",",",",","
66,followed,follow,VBN,xxxx
67,by,by,IN,xx
68,comments,comment,NNS,xxxx
69,on,on,IN,xx
70,our,-PRON-,PRP$,xxx
71,overall,overall,JJ,xxxx
72,corporate,corporate,JJ,xxxx
73,financial,financial,JJ,xxxx
74,performance,performance,NN,xxxx
75,and,and,CC,xxx
76,guidance,guidance,NN,xxxx
77,for,for,IN,xxx
78,F,F,NNP,X
79,',','','
80,Q4,Q4,NNP,Xd
81,.,.,.,.
82,DRAM,DRAM,NNP,XXXX
83,represented,represent,VBD,xxxx
84,64,64,CD,dd
85,%,%,NN,%
86,of,of,IN,xx
87,our,-PRON-,PRP$,xxx
88,total,total,JJ,xxxx
89,revenue,revenue,NN,xxxx
90,with,with,IN,xxxx
91,the,the,DT,xxx
92,following,following,JJ,xxxx
93,segmentation,segmentation,NN,xxxx
94,:,:,:,:
95,Mobile,Mobile,NNP,Xxxxx
96,was,be,VBD,xxx
97,in,in,IN,xx
98,the,the,DT,xxx
99,mid,mid,JJ,xxx
100,20,20,CD,dd
101,%,%,NN,%
102,range,range,NN,xxxx
103,"
","
",_SP,"
"
104,PC,pc,NN,XX
105,was,be,VBD,xxx
106,in,in,IN,xx
107,the,the,DT,xxx
108,low,low,JJ,xxx
109,20,20,CD,dd
110,%,%,NN,%
111,range,range,NN,xxxx
112,",",",",",",","
113,down,down,RB,xxxx
114,from,from,IN,xxxx
115,the,the,DT,xxx
116,prior,prior,JJ,xxxx
117,quarter,quarter,NN,xxxx
118,"
","
",_SP,"
"
119,Server,server,NN,Xxxxx
120,represented,represent,VBD,xxxx
121,approximately,approximately,RB,xxxx
122,30,30,CD,dd
123,%,%,NN,%
124,",",",",",",","
125,up,up,RB,xx
126,from,from,IN,xxxx
127,25,25,CD,dd
128,%,%,NN,%
129,the,the,DT,xxx
130,prior,prior,JJ,xxxx
131,quarter,quarter,NN,xxxx
132,",",",",",",","
133,and,and,CC,xxx
134,specialty,specialty,NN,xxxx
135,DRAM,DRAM,NNP,XXXX
136,",",",",",",","
137,which,which,WDT,xxxx
