,Sentences
0,"Thank you, Shanye"
1,"Good afternoon, everyone"
2,Our fourth quarter results accentuate an unprecedented year for the company
3,I thank the Micron global team for maintaining intense focus on our key priorities and delivering outstanding results
4,"Our fourth quarter revenue was $6.14 billion with record gross margin, operating income and free cash flow"
5,"Full year revenue, profitability and free cash flow also set company records"
6,"Our results were driven by favorable industry fundamentals and solid execution in deploying our next-generation, lower cost technologies and diversifying our product portfolio toward a richer mix of differentiated, high-value solutions"
7,We are excited about future opportunities as customers increasingly recognize the strategic value of our memory and storage solutions across a range of high growth markets
8,"Now, I will share details from each of our business units, followed by our perspectives on industry dynamics and an outline of our corporate strategy"
9,"In our Compute and Networking Business Unit, we saw robust growth in Q4 revenue and profitability compared with the prior year"
10,"Our results were driven by strong demand in Cloud and Graphics, complemented by a healthy pricing environment"
11,"Revenue growth from these two segments significantly exceeded overall CNBU growth, which more than doubled compared with the year ago quarter"
12,"Cloud sales are supported by increasing DRAM content per server, which is up nearly 50% versus a year ago"
13,"In Graphics, we continue to leverage our industry leading GDDR5 and GDDR5X performance to address strong demand, primarily from gaming"
14,"The business unit is also benefiting from the initial ramp of our first-generation 1X 8-gigabit DDR4 product, which was sold primarily into the client and cloud segments"
15,"In fiscal Q1, we anticipate continued growth of our 1X portfolio, coincident with the ramp of our second-generation 1X 8-gigabit DDR4 and GDDR5 products, both of which have already been validated at certain partners and customers"
16,"We also received initial customer qualifications on our TSV-stacked DDR4 products, enabling modules with up to 128 gigabyte and the highest speeds supported on industry standard server platforms"
17,These products address the growing demand for analytics and in-memory databases in both the enterprise and cloud segments
18,"Fourth quarter revenues in our Mobile Business Unit, were driven by a favorable pricing environment and significant growth in our eMCP business"
19,"Due to strong execution, sales from our mobile NAND and eMCP solutions nearly doubled year-over-year"
20,We believe that increased DRAM and Flash capacities in flagship smartphones will continue due in part to new applications such as augmented reality in mobile devices
21,"Our roadmap of new LPDRAM, discrete managed NAND and eMCP offerings position us well to address these market requirements"
22,"In fiscal Q4, we achieved our first 1X LPDRAM qualification at a major Mobile OEM and have several others underway"
23,"Also, our technology capabilities in 1X LPDRAM Package-on-Package products allow us to offer cost effective, high capacity mobile solutions ranging from 3 gigabyte to 8 gigabyte"
24,We expect volume shipments of these new products in fiscal 2018 following successful customer qualifications
25,"During the fourth quarter, we also qualified our first 3D TLC eMCP and eMMC solutions at a major chipset vendor and now have dozens of high-density products in qualification with several OEMs."
26,We expect production shipments to start later in 2017.
27,"Our 64-layer 3D TLC UFS products will also start OEM qualifications later in 2017, enabling us to participate in the mobile market’s highest density designs"
28,"The Storage Business Unit recorded a revenue increase of 71% in Q4 compared with the prior year quarter, supported by strong demand for our SSD product portfolio"
29,"Late in the fourth quarter, we identified and corrected a flash component issue on select TLC 3D NAND products"
30,"We paused shipments of affected products as we worked to implement a solution to the issue, which appeared only under a narrow set of performance conditions"
31,"As a result, our SSD revenue declined sequentially during the quarter"
32,Shipments have now restarted and we expect to resume solid sequential SSD revenue growth in Q1.
33,We continued to garner positive momentum with our SSD products across a broad range of customers
34,"Our flagship SATA 5100 SSD has been qualified at enterprise server OEMs, cloud service providers and Fortune 500 companies"
35,"Demand for our client SSDs is also strong, with Micron shipping solutions to most leading PC OEMs."
36,We see healthy demand trends for SSDs moving forward
37,Client SSD attach rates continue to increase
38,"And although storage density growth has slowed temporarily due to a tight pricing environment, we foresee longer term demand for higher density SSDs"
39,We made substantial progress in growing our relationships and our business with cloud and hyperscale customers in fiscal 2017.
40,Cloud data center customers are seeking innovative memory and storage solutions tailored to their workloads
41,"Micron’s unique capabilities and expertise in DRAM, 3D NAND and emerging memory technologies make us a compelling partner for these customers"
42,"Our Embedded Business Unit delivered strong performance, growing revenue 39% for the full year"
43,"We strengthened our leadership position in automotive in fiscal 2017, with growth driven by increasing connectivity and electronics content in vehicles"
44,Automotive applications continue to require leading edge performance
45,"As a result, we have seen significant ramp of our 20-nanometer DDR and LPDDR technologies this quarter and began sampling automotive-grade 1X DRAM to meet these needs"
46,The growth in edge analytics in both industrial and consumer connected home applications led to record quarterly revenues in both segments
47,"We saw strong growth through the year of our NAND and LPDDR MCP products, driven by form factor and performance needs in applications like machine-to-machine communications, surveillance, drones and home automation"
48,"Turning to Micron’s technology progress, our 1X DRAM and our 64-layer NAND production rollout is proceeding on plan and we expect to achieve mature yields in both technologies before the end of calendar 2017."
49,We are pleased with our 1Y DRAM technology progress and are focused on the late stages of technology and product development
50,"Our third-generation 3D NAND development is also proceeding well, with production expected to commence later in 2018."
51,"This latest generation technology continues to utilize Micron’s industry leading CMOS under the array architecture, which yields smaller die sizes"
52,We have made significant progress in our technology development and volume ramp execution
53,"We see meaningful opportunities to further shorten the cadence of new technology node introductions, accelerate new technologies into volume production, upgrade our fab infrastructure and expand our captive assembly operations"
54,"Through successful execution, we expect to narrow our technology cost gap and optimize bit output growth in both DRAM and NAND, with a disciplined focus on profitable growth"
55,Our fiscal year 2018
56,"CapEx plan targets achieving these objectives through technology migrations, with no new wafer capacity"
57,Ernie will discuss our CapEx plans in further detail later in the call
58,Our ability to successfully execute our technology transition plans will be a key enabler of our cost reduction and supply bit growth capability in the foreseeable future
59,"Moving on to the demand and supply fundamentals, we expect the industry to remain moderately undersupplied for the rest of 2017 for both DRAM and NAND"
60,We see DRAM industry supply bit growth of about 20% in calendar 2017 and expect it to grow at relatively similar levels in calendar 2018.
61,"The DRAM industry supply demand balance is expected to stay healthy throughout calendar 2018, driven in part by ongoing strength in data center and cloud computing trends"
62,We expect Micron’s fiscal 2018 DRAM bit output growth to be slightly below the industry growth rate
63,"Our bit growth is supported by our 1X DRAM ramp, which represented mid-teens percent of our DRAM bit output in Q4 and will grow throughout the next several quarters to achieve bit output crossover as we exit calendar year 2018."
64,We expect industry NAND bit supply growth to finish calendar 2017 in the high 30% range
65,"At these levels, supply remains below demand, which has created a constrained environment"
66,"As the industry continues to transition to 64-layer 3D NAND, we estimate industry bit supply growth in calendar 2018 will approach the 50% range, which should better satisfy the current unfulfilled demand"
67,We expect that Micron’s ongoing transition to 64-layer 3D NAND in fiscal 2018 will result in bit output growth that is somewhat higher than the industry range
68,"In fiscal Q4, 64-layer NAND represented mid-teens percent of our trade NAND bit output and we expect to achieve bit output crossover during the second half of our fiscal 2018."
69,The dynamic industry transition to 3D NAND is taking place in the context of a NAND market that has consistently exhibited demand elasticity
70,"We expect this behavior to continue for the foreseeable future as higher-density SSD solutions increasingly displace HDDs in client computing, cloud data centers and enterprise environments and as average capacities continue to grow with more performance-sensitive, storage-hungry devices and applications in mobile and other end markets"
71,These trends support our view that NAND demand drivers will remain healthy into 2018.
72,"As I begin my first new fiscal year as CEO, I would like to outline our strategic priorities"
73,"First, we are focused on driving our cost competitiveness to best-in-class levels, primarily by accelerating the percentage of our output on leading edge technology, in both DRAM and NAND"
74,"Second, we will drive execution excellence, delivering solutions to customers quickly, predictably and in line with their product launch windows"
75,"Third, we will accelerate our transition to high value solutions"
76,We intend to lead the industry in deploying disruptive memory and storage solutions
77,"Fourth, we will leverage the full breadth of our capabilities to develop deeper collaboration and partnerships with marquee customers, maximizing our value in the market"
78,"And finally, we are strengthening our focus on our teams, investing in the best talent and driving a winning culture"
79,We believe our diligent emphasis on the speed and urgency with which we execute these strategic priorities will have a transformative effect on our market competitiveness and financial performance
80,I look forward to sharing the results of our progress with you in the year ahead
81,"I will now turn it over to Ernie, who will walk through the specifics of our financial performance this quarter"
82,"Thank you, Ernie"
83,"As part of our strategic planning process, Micron developed a new vision statement that embodies how we see the opportunities in front of us"
84,"As we close out 1 year and look to the next, I would like to now share it with you"
85,"Our vision, transforming how the world uses information to enrich life, captures the tremendous potential Micron possesses"
86,New technologies like artificial intelligence will change the world in ways we can barely imagine today
87,"Fast data access and high-performance data analytics will be at the heart of those transformations, making memory and storage core to the data-centric world that is taking shape in front of our eyes"
88,"I believe our strategy to tighten our focus, accelerate our technology and product development and strengthen our presence in critical markets will make Micron an increasingly prominent player in the industry as these revolutionary new technologies take shape"
89,"Fiscal 2017 was a record year for us, but I am confident that the best is yet to come for Micron"
90,We will now open for questions
91,Question-and-Answer Session
92,"And of course, our focus also could be on high-value solutions, so that our revenue share outperforms our bit share"
93,"In terms of the market environment, we are certainly excited about the demand requirements for DRAM as well as for NAND"
94,"As I mentioned in my prepared remarks, I mean, bit growth driver for DRAM certainly that’s outpacing the average growth of the industry is in the area of server and cloud"
95,And here we are making great penetration with the hyperscale customers in terms of driving the growth of the DRAM business
96,"So, we remain very bullish about the DRAM market environment through the 2017."
97,We think it will be undersupplied
98,"And given the demand trends, we think we will have healthy demand supply balance in DRAM throughout 2018 timeframe as well"
99,"And in terms of NAND as it’s well-known that average capacities are increasing certainly in mobile devices, but even more importantly, SSDs are displacing HDDs at the rapid pace with the attach rates continuing to be projected to be going up over the course of next several quarters"
100,"And of course, there is a strong value proposition for SSDs in the cloud and hyperscale data center environment as well given all the trends of artificial intelligence, machine learning, all of this is driving big data analytics"
101,"So, all these trends are related to artificial intelligence, bit growth in data customers wanting to offer differentiated value to their end customers, all of this is driving need for memory and storage solution and overall"
102,", we remain pretty bullish about the demand trends"
103,"I mean, if they look at DRAM as well as NAND even in autonomous vehicle, the demand requirements for flash, I mean data is being generated"
104,So much data is being generated by autonomous vehicles that it requires fast processing both within the vehicle as well as on the cloud
105,"So, I think demand trends for the foreseeable future continued to be strong and that bodes well for our industry"
106,"In terms of your question regarding customers and some of the customers wanting to engage in longer term requirements, yes, that is absolutely happening and we do consider that based on various customers"
107,"I mean, it depends on the nature of the customer"
108,"’s requirements, really cannot get into the details of that here in this call, but certainly, our business includes customers that are more transactional in nature that have business more on a monthly transaction basis, some that are more on a quarterly basis and certainly certain customers that are also involved in longer term trends"
109,I think customers are just seeing increasing value of memory and storage
110,"I mean, this DRAM and flash is becoming strategic to our customers and our customers are seeing Micron as being uniquely positioned with having a strong portfolio of DRAM as well as flash and being the only company in the Western Hemisphere with those capabilities and that is definitely making us an attractive and valued partner to our customers"
111,Thank you
112,"So, in terms of going in to 2018, we see healthy industry demand and supply balance for NAND"
113,And you are right to note that the bit growth is going up because of the technology transition in the industry to the 64-layer technology
114,"And when we look at the demand trends, those demand tends continue to be strong as I just pointed out related to SSDs as well as increasing average capacities of flash in mobile devices and all kinds of other devices"
115,"So, demand continues to be strong"
116,We see healthy trends in that regard in 2018 timeframe
117,"Regarding pricing, we don’t specifically for competitive reasons provide comments on pricing on the call, but we just like to point out that we believe that the healthy industry environment as one where price decline is less than or equal to cost declines and we are certainly focused on aggressively reducing our product cost with realizing successfully our technology production ramp of 64-layer"
118,"Certainly, the diversification of the end markets for DRAM absolutely bodes well for the future health of our business"
119,We have enjoyed the benefits of that
120,Calendar year 2017 as you noted is a great example
121,"And you just pointed out the mix of our DRAM business between PC what used to be just about PC and mobile is now very much about PC mobile, server, automotive and multitude of markets and Micron"
122,"has really great presence, where variety of I mean whole slew of customers and channels"
123,"So, this really bodes well, plays very well to the strength of Micron"
124,It has really for long time enjoyed diversified set of global customers and great presence in channels and that is coming into full play as the demand requirements for DRAM continue to grow nicely and into multiple mega-markets
125,"With respect to NAND in terms of our third-generation 3D NAND, we are not yet disclosing the number of layers in that technology"
126,"As I said in my prepared remarks, we are continuing to make good progress with that"
127,"and we plan to be introducing that technology in the 2018 – calendar 2018 timeframe and continuing to deploy CMOS under the array technology that continues to provide Micron a die-sized leadership position, which is usually attractive to us [indiscernible] point of view"
128,"And with respect to DRAM in terms of 1Y node, we will be introducing that node also in calendar 2018 timeframe"
129,"And beyond that, we are not providing any specific details for our technology related to competitive basis"
130,"And your question regarding floating gate, we have a strong roadmap of future technologies related to floating gate"
131,"As we have indicated before that in terms of technology cost position as well as the technology node readiness, in recent times over the course of last couple of years, Micron has lagged the competitor in terms of getting advanced technology ready at par with them and deploying those technologies into volume production"
132,"However, in recent times, Micron has made very good progress in this area and we are getting the benefit of that as we are ramping those technologies into production"
133,"I have said before that these kind of undertakings, driving, accelerated deployment of new technology nodes into volume production and continuing to narrow the gap on the cost front is a multiyear phenomena"
134,and we have made very good progress in this regard
135,I fully expect us to make – continue to make good progress in fiscal year 2018 as well
136,And we are of course very much focused on continuing to accelerate the timeline of our future technologies into production and then well positioned to ramp those technologies into volume production as well
137,And along with this of course remain very much focused on driving a greater mix of high-value solutions both in DRAM and NAND as well
138,"So, these are really two very important pillars of our strategy driving cost competitiveness and driving greater mix of high value solutions and these things don’t happen overnight"
139,They will continue to be strong growth opportunities for us going forward over the course of next few years
140,"So, I will let Ernie comment on the CapEx, but on the demand side, as I pointed out earlier,"
141,I mean
142,it’s
143,"not that this demand is perishable, I mean this demand in terms of the trend of SSDs replacing HDDs in client notebook computers where the attach rate continues to increase in 2017 attach rate of SSDs to PCs is around 35%"
144,That attach rate over the course of next few years continues to grow to around 50% in 2018 and by 2020 timeframe expect it to go to around 75%
145,"So, these demand trends are secular in nature"
