,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Satya,satya,NN,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,This,this,DT,Xxxx
12,quarter,quarter,NN,xxxx
13,",",",",",",","
14,revenue,revenue,NN,xxxx
15,was,be,VBD,xxx
16,$,$,$,$
17,24.7,24.7,CD,dd.d
18,billion,billion,CD,xxxx
19,",",",",",",","
20,up,up,RB,xx
21,9,9,CD,d
22,%,%,NN,%
23,and,and,CC,xxx
24,10,10,CD,dd
25,%,%,NN,%
26,in,in,IN,xx
27,constant,constant,JJ,xxxx
28,currency,currency,NN,xxxx
29,",",",",",",","
30,with,with,IN,xxxx
31,stronger,strong,JJR,xxxx
32,than,than,IN,xxxx
33,expected,expect,VBN,xxxx
34,performance,performance,NN,xxxx
35,across,across,IN,xxxx
36,all,all,DT,xxx
37,segments,segment,NNS,xxxx
38,"
","
",_SP,"
"
39,Gross,gross,JJ,Xxxxx
40,margin,margin,NN,xxxx
41,grew,grow,VBD,xxxx
42,11,11,CD,dd
43,%,%,NN,%
44,and,and,CC,xxx
45,12,12,CD,dd
46,%,%,NN,%
47,in,in,IN,xx
48,constant,constant,JJ,xxxx
49,currency,currency,NN,xxxx
50,"
","
",_SP,"
"
51,Operating,operate,VBG,Xxxxx
52,income,income,NN,xxxx
53,increased,increase,VBD,xxxx
54,13,13,CD,dd
55,%,%,NN,%
56,and,and,CC,xxx
57,16,16,CD,dd
58,%,%,NN,%
59,in,in,IN,xx
60,constant,constant,JJ,xxxx
61,currency,currency,NN,xxxx
62,"
","
",_SP,"
"
63,And,and,CC,Xxx
64,earnings,earning,NNS,xxxx
65,per,per,IN,xxx
66,share,share,NN,xxxx
67,was,be,VBD,xxx
68,$,$,$,$
69,0.98,0.98,CD,d.dd
70,",",",",",",","
71,increasing,increase,VBG,xxxx
72,42,42,CD,dd
73,%,%,NN,%
74,and,and,CC,xxx
75,43,43,CD,dd
76,%,%,NN,%
77,in,in,IN,xx
78,constant,constant,JJ,xxxx
79,currency,currency,NN,xxxx
80,",",",",",",","
81,which,which,WDT,xxxx
82,includes,include,VBZ,xxxx
83,$,$,$,$
84,0.23,0.23,CD,d.dd
85,from,from,IN,xxxx
86,the,the,DT,xxx
87,utilization,utilization,NN,xxxx
88,of,of,IN,xx
89,phone,phone,NN,xxxx
90,-,-,HYPH,-
91,related,relate,VBN,xxxx
92,losses,loss,NNS,xxxx
93,from,from,IN,xxxx
94,prior,prior,JJ,xxxx
95,years,year,NNS,xxxx
96,that,that,WDT,xxxx
97,were,be,VBD,xxxx
98,previously,previously,RB,xxxx
99,non,non,JJ,xxx
100,-,-,JJ,-
101,deductible,deductible,JJ,xxxx
102,"
","
",_SP,"
"
103,At,at,IN,Xx
104,a,a,DT,x
105,company,company,NN,xxxx
106,level,level,NN,xxxx
107,",",",",",",","
108,LinkedIn,LinkedIn,NNP,XxxxxXx
109,contributed,contribute,VBD,xxxx
110,approximately,approximately,RB,xxxx
111,5,5,CD,d
112,points,point,NNS,xxxx
113,of,of,IN,xx
114,revenue,revenue,NN,xxxx
115,and,and,CC,xxx
116,gross,gross,JJ,xxxx
117,margin,margin,NN,xxxx
118,growth,growth,NN,xxxx
119,"
","
",_SP,"
"
120,LinkedIn,LinkedIn,NNP,XxxxxXx
121,’s,’s,POS,’x
122,operating,operating,NN,xxxx
123,loss,loss,NN,xxxx
124,of,of,IN,xx
125,$,$,$,$
126,361,361,CD,ddd
127,million,million,CD,xxxx
128,was,be,VBD,xxx
129,a,a,DT,x
130,6,6,CD,d
131,point,point,NN,xxxx
132,drag,drag,NN,xxxx
133,on,on,IN,xx
134,total,total,JJ,xxxx
135,company,company,NN,xxxx
136,operating,operate,VBG,xxxx
137,income,income,NN,xxxx
138,growth,growth,NN,xxxx
139,",",",",",",","
140,and,and,CC,xxx
141,is,be,VBZ,xx
