,Sentences
0,"Q2 results include revenue of $1.5 billion, up 5% versus last year"
1,"GAAP operating earnings of $257 million, up 15% from last year"
2,Non-GAAP operating earnings were up $4 million to $328 million
3,Operating margins were down 80 basis points to 21.9%
4,"GAAP earnings per share were $0.78, up 28% from $0.61 in the year-ago quarter"
5,"Non-GAAP EPS was $1.12, up 9% from $1.03 last year"
6,"Ending backlog was $8.5 billion, up $265 million from last year"
7,Products backlog was up $204 million and Services backlog was up $61 million
8,"Additionally, aged backlog for the remainder of the year is higher than at this point last year"
9,"For the remainder of the call, we will refer to non-GAAP financial results, including those in our outlook, unless otherwise noted"
10,"Q2 Product sales were $848 million, up 6% from last year, driven primarily by the Americas"
11,"We saw growth in every region, reflecting significant demand for our P25 LMR systems"
12,"Q2 Products segment operating income was $193 million or 22.8% of sales, up 80 basis points from last year, driven by higher sales and lower OpEx"
13,"Gross margins were down, as expected, on higher system sales as well as inefficiencies associated with implementing our new ERP system during the quarter"
14,"For the full year, we continue to expect gross margins to be comparable to last year"
15,"Products segment backlog ended the quarter at $1.6 billion, up 15% or $204 million from last year, driven by North America"
16,This is the 11th consecutive quarter of year-over-year growth
17,"Sequentially, Product backlog was up $1 million"
18,Turning to Services
19,"Q2 Services revenue was $649 million, up 3%, including $20 million of currency headwinds associated with Airwave"
20,Managed & Support Services grew 3% or 7% in constant currency
21,"Services operating income was $135 million or 20.8% of sales, down from 23.5% of sales last year"
22,"As expected, the operating margin decline was attributable to Airwave"
23,We continue to expect full year Services gross margins to be comparable to last year
24,"Services backlog ended at $6.9 billion, up $61 million from last year, including approximately $500 million of Airwave backlog reduction"
25,"Sequentially, Services backlog was up $3 million"
26,"Total OpEx was $367 million, up $4 million from the year-ago quarter"
27,"Excluding acquisitions, OpEx was down as expected versus last year"
28,We continue to expect full-year OpEx to be down $10 million to $15 million inclusive of acquisitions
29,"Other income and expense was $51 million, down from $57 million in the year-ago quarter"
30,Net interest expense was $51 million compared to $54 million a year ago
31,The Q2 effective tax rate was 31.6%
32,Turning to cash flow
33,"Q2 operating cash flow was $173 million, a decrease of $190 million from last year, primarily due to working capital timing associated with the ERP implementation"
34,"Free cash flow was $120 million, a decrease of $81 million from last year"
35,"On a year-to-date basis, both operating cash flow and free cash flow are up compared to the first half of 2016, and we continue to expect approximately $1.225 billion in operating cash flow for 2017."
36,We ended Q2 with cash of $805 million and net debt of $3.7 billion
37,"During the quarter, we repurchased $80 million of stock at an average price of $83.59 and we paid $77 million in dividends"
38,We also announced our intent to acquire the Airbus PlantCML business
