,Word,Lemma,POSTag,Shape
0,Q3,q3,NN,Xd
1,results,result,NNS,xxxx
2,include,include,VBP,xxxx
3,revenue,revenue,NN,xxxx
4,of,of,IN,xx
5,$,$,$,$
6,1.6,1.6,CD,d.d
7,billion,billion,CD,xxxx
8,",",",",",",","
9,up,up,RB,xx
10,7,7,CD,d
11,%,%,NN,%
12,versus,versus,IN,xxxx
13,last,last,JJ,xxxx
14,year,year,NN,xxxx
15,",",",",",",","
16,including,include,VBG,xxxx
17,approximately,approximately,RB,xxxx
18,$,$,$,$
19,40,40,CD,dd
20,million,million,CD,xxxx
21,of,of,IN,xx
22,revenue,revenue,NN,xxxx
23,from,from,IN,xxxx
24,acquisitions,acquisition,NNS,xxxx
25,"
","
",_SP,"
"
26,Organic,organic,JJ,Xxxxx
27,revenue,revenue,NN,xxxx
28,was,be,VBD,xxx
29,up,up,RB,xx
30,5,5,CD,d
31,%,%,NN,%
32,"
","
",_SP,"
"
33,GAAP,GAAP,NNP,XXXX
34,operating,operate,VBG,xxxx
35,earnings,earning,NNS,xxxx
36,of,of,IN,xx
37,$,$,$,$
38,338,338,CD,ddd
39,million,million,CD,xxxx
40,",",",",",",","
41,down,down,RB,xxxx
42,$,$,$,$
43,3,3,CD,d
44,million,million,CD,xxxx
45,from,from,IN,xxxx
46,last,last,JJ,xxxx
47,year,year,NN,xxxx
48,",",",",",",","
49,non,non,JJ,xxx
50,-,-,JJ,-
51,GAAP,gaap,JJ,XXXX
52,operating,operating,NN,xxxx
53,earnings,earning,NNS,xxxx
54,were,be,VBD,xxxx
55,$,$,$,$
56,423,423,CD,ddd
57,million,million,CD,xxxx
58,",",",",",",","
59,up,up,RB,xx
60,7,7,CD,d
61,%,%,NN,%
62,or,or,CC,xx
63,$,$,$,$
64,27,27,CD,dd
65,million,million,CD,xxxx
66,from,from,IN,xxxx
67,the,the,DT,xxx
68,prior,prior,JJ,xxxx
69,year,year,NN,xxxx
70,"
","
",_SP,"
"
71,Operating,operate,VBG,Xxxxx
72,margins,margin,NNS,xxxx
73,were,be,VBD,xxxx
74,25.7,25.7,CD,dd.d
75,%,%,NN,%
76,of,of,IN,xx
77,sales,sale,NNS,xxxx
78,",",",",",",","
79,comparable,comparable,JJ,xxxx
80,to,to,IN,xx
81,last,last,JJ,xxxx
82,year,year,NN,xxxx
83,"
","
",_SP,"
"
84,GAAP,GAAP,NNP,XXXX
85,earnings,earning,NNS,xxxx
86,per,per,IN,xxx
87,share,share,NN,xxxx
88,was,be,VBD,xxx
89,$,$,$,$
90,1.25,1.25,CD,d.dd
91,",",",",",",","
92,up,up,RB,xx
93,11,11,CD,dd
94,%,%,NN,%
95,from,from,IN,xxxx
96,$,$,$,$
97,1.13,1.13,CD,d.dd
98,last,last,JJ,xxxx
99,year,year,NN,xxxx
100,"
","
",_SP,"
"
101,Non,non,JJ,Xxx
102,-,-,JJ,-
103,GAAP,GAAP,NNP,XXXX
104,EPS,EPS,NNP,XXX
105,was,be,VBD,xxx
106,$,$,$,$
107,1.53,1.53,CD,d.dd
108,",",",",",",","
109,up,up,RB,xx
110,12,12,CD,dd
111,%,%,NN,%
112,from,from,IN,xxxx
113,$,$,$,$
114,1.37,1.37,CD,d.dd
115,last,last,JJ,xxxx
116,year,year,NN,xxxx
117,"
","
",_SP,"
"
118,Ending,end,VBG,Xxxxx
119,backlog,backlog,NN,xxxx
120,was,be,VBD,xxx
121,$,$,$,$
122,8.9,8.9,CD,d.d
123,billion,billion,CD,xxxx
124,",",",",",",","
125,up,up,RB,xx
126,$,$,$,$
127,768,768,CD,ddd
128,million,million,CD,xxxx
129,from,from,IN,xxxx
130,last,last,JJ,xxxx
131,year,year,NN,xxxx
132,"
","
",_SP,"
"
133,Product,product,NN,Xxxxx
134,backlog,backlog,NN,xxxx
135,was,be,VBD,xxx
136,up,up,RB,xx
137,$,$,$,$
138,344,344,CD,ddd
139,million,million,CD,xxxx
140,and,and,CC,xxx
141,Services,Services,NNPS,Xxxxx
142,backlog,backlog,NN,xxxx
143,was,be,VBD,xxx
144,up,up,RB,xx
145,$,$,$,$
146,424,424,CD,ddd
147,million,million,CD,xxxx
148,"
","
",_SP,"
"
149,For,for,IN,Xxx
150,the,the,DT,xxx
151,remainder,remainder,NN,xxxx
152,of,of,IN,xx
153,the,the,DT,xxx
154,call,call,NN,xxxx
155,",",",",",",","
156,we,-PRON-,PRP,xx
157,'ll,will,MD,'xx
158,reference,reference,VB,xxxx
159,non,non,JJ,xxx
160,-,-,JJ,-
161,GAAP,gaap,JJ,XXXX
162,financial,financial,JJ,xxxx
163,results,result,NNS,xxxx
164,including,include,VBG,xxxx
165,those,those,DT,xxxx
166,in,in,IN,xx
167,our,-PRON-,PRP$,xxx
168,outlook,outlook,NN,xxxx
169,unless,unless,IN,xxxx
170,otherwise,otherwise,RB,xxxx
171,noted,note,VBN,xxxx
172,"
","
",_SP,"
"
173,Q3,Q3,NNP,Xd
174,product,product,NN,xxxx
175,sales,sale,NNS,xxxx
176,were,be,VBD,xxxx
177,$,$,$,$
178,989,989,CD,ddd
179,million,million,CD,xxxx
180,",",",",",",","
181,up,up,RB,xx
182,8,8,CD,d
183,%,%,NN,%
184,from,from,IN,xxxx
185,last,last,JJ,xxxx
186,year,year,NN,xxxx
187,",",",",",",","
188,led,lead,VBN,xxx
189,by,by,IN,xx
190,North,North,NNP,Xxxxx
191,America,America,NNP,Xxxxx
192,and,and,CC,xxx
193,EMEA,EMEA,NNP,XXXX
194,on,on,IN,xx
195,continued,continue,VBN,xxxx
196,demand,demand,NN,xxxx
197,for,for,IN,xxx
198,P25,P25,NNP,Xdd
199,systems,system,NNS,xxxx
200,for,for,IN,xxx
201,both,both,DT,xxxx
202,public,public,JJ,xxxx
203,safety,safety,NN,xxxx
204,and,and,CC,xxx
205,commercial,commercial,JJ,xxxx
