,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Kris,Kris,NNP,Xxxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,afternoon,afternoon,NN,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,",",",",",",","
9,and,and,CC,xxx
10,thank,thank,VBP,xxxx
11,you,-PRON-,PRP,xxx
12,for,for,IN,xxx
13,joining,join,VBG,xxxx
14,us,-PRON-,PRP,xx
15,"
","
",_SP,"
"
16,We,-PRON-,PRP,Xx
17,executed,execute,VBD,xxxx
18,well,well,RB,xxxx
19,in,in,IN,xx
20,the,the,DT,xxx
21,third,third,JJ,xxxx
22,quarter,quarter,NN,xxxx
23,of,of,IN,xx
24,fiscal,fiscal,JJ,xxxx
25,year,year,NN,xxxx
26,2017,2017,CD,dddd
27,",",",",",",","
28,again,again,RB,xxxx
29,delivering,deliver,VBG,xxxx
30,solid,solid,JJ,xxxx
31,results,result,NNS,xxxx
32,with,with,IN,xxxx
33,revenue,revenue,NN,xxxx
34,at,at,IN,xx
35,the,the,DT,xxx
36,midpoint,midpoint,NN,xxxx
37,of,of,IN,xx
38,our,-PRON-,PRP$,xxx
39,guidance,guidance,NN,xxxx
40,range,range,NN,xxxx
41,and,and,CC,xxx
42,both,both,CC,xxxx
43,operating,operate,VBG,xxxx
44,margin,margin,NN,xxxx
45,and,and,CC,xxx
46,earnings,earning,NNS,xxxx
47,per,per,IN,xxx
48,share,share,NN,xxxx
49,above,above,IN,xxxx
50,our,-PRON-,PRP$,xxx
51,guidance,guidance,NN,xxxx
52,"
","
",_SP,"
"
53,Our,-PRON-,PRP$,Xxx
54,innovation,innovation,NN,xxxx
55,in,in,IN,xx
56,emerging,emerge,VBG,xxxx
57,areas,area,NNS,xxxx
58,of,of,IN,xx
59,the,the,DT,xxx
60,market,market,NN,xxxx
61,is,be,VBZ,xx
62,expanding,expand,VBG,xxxx
63,and,and,CC,xxx
64,creating,create,VBG,xxxx
65,new,new,JJ,xxx
66,growth,growth,NN,xxxx
67,opportunities,opportunity,NNS,xxxx
68,for,for,IN,xxx
69,us,-PRON-,PRP,xx
70,"
","
",_SP,"
"
71,In,in,IN,Xx
