,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Shawn,Shawn,NNP,Xxxxx
3,"
","
",_SP,"
"
4,We,-PRON-,PRP,Xx
5,had,have,VBD,xxx
6,a,a,DT,x
7,strong,strong,JJ,xxxx
8,start,start,NN,xxxx
9,to,to,IN,xx
10,the,the,DT,xxx
11,year,year,NN,xxxx
12,"
","
",_SP,"
"
13,Highlighting,highlight,VBG,Xxxxx
14,our,-PRON-,PRP$,xxx
15,record,record,JJ,xxxx
16,first,first,JJ,xxxx
17,quarter,quarter,NN,xxxx
18,was,be,VBD,xxx
19,a,a,DT,x
20,near,near,JJ,xxxx
21,tripling,tripling,NN,xxxx
22,of,of,IN,xx
23,data,datum,NNS,xxxx
24,center,center,NN,xxxx
25,revenue,revenue,NN,xxxx
26,",",",",",",","
27,reflecting,reflect,VBG,xxxx
28,surging,surge,VBG,xxxx
29,interest,interest,NN,xxxx
30,in,in,IN,xx
31,artificial,artificial,JJ,xxxx
32,intelligence,intelligence,NN,xxxx
33,"
","
",_SP,"
"
34,Overall,overall,RB,Xxxxx
35,",",",",",",","
36,quarterly,quarterly,JJ,xxxx
37,revenue,revenue,NN,xxxx
38,reached,reach,VBD,xxxx
39,$,$,$,$
40,1.94,1.94,CD,d.dd
41,billion,billion,CD,xxxx
42,",",",",",",","
43,up,up,RB,xx
44,48,48,CD,dd
45,%,%,NN,%
46,from,from,IN,xxxx
47,the,the,DT,xxx
48,year,year,NN,xxxx
49,earlier,earlier,RBR,xxxx
50,",",",",",",","
51,down,down,RB,xxxx
52,11,11,CD,dd
53,%,%,NN,%
54,sequentially,sequentially,RB,xxxx
55,and,and,CC,xxx
56,above,above,IN,xxxx
57,our,-PRON-,PRP$,xxx
58,outlook,outlook,NN,xxxx
59,of,of,IN,xx
60,$,$,$,$
61,1.9,1.9,CD,d.d
62,billion,billion,CD,xxxx
63,"
","
",_SP,"
"
64,Growth,growth,NN,Xxxxx
65,remained,remain,VBD,xxxx
66,broad,broad,RB,xxxx
67,-,-,HYPH,-
68,based,base,VBN,xxxx
69,",",",",",",","
70,with,with,IN,xxxx
71,year,year,NN,xxxx
72,-,-,HYPH,-
73,on,on,IN,xx
74,-,-,HYPH,-
75,year,year,NN,xxxx
76,gains,gain,NNS,xxxx
77,in,in,IN,xx
78,each,each,DT,xxxx
79,of,of,IN,xx
80,our,-PRON-,PRP$,xxx
81,four,four,CD,xxxx
82,platforms,platform,NNS,xxxx
83,",",",",",",","
84,gaming,gaming,NN,xxxx
85,",",",",",",","
86,professional,professional,JJ,xxxx
87,visualization,visualization,NN,xxxx
88,",",",",",",","
89,data,datum,NNS,xxxx
90,center,center,NN,xxxx
91,",",",",",",","
92,and,and,CC,xxx
93,automotive,automotive,JJ,xxxx
94,"
","
",_SP,"
"
95,From,from,IN,Xxxx
96,a,a,DT,x
97,reporting,reporting,NN,xxxx
98,segment,segment,NN,xxxx
99,perspective,perspective,NN,xxxx
100,",",",",",",","
101,Q1,Q1,NNP,Xd
102,GPU,GPU,NNP,XXX
103,revenue,revenue,NN,xxxx
104,grew,grow,VBD,xxxx
105,45,45,CD,dd
106,%,%,NN,%
107,to,to,IN,xx
108,$,$,$,$
109,1.56,1.56,CD,d.dd
110,billion,billion,CD,xxxx
111,from,from,IN,xxxx
112,a,a,DT,x
113,year,year,NN,xxxx
114,earlier,earlier,RBR,xxxx
115,",",",",",",","
116,and,and,CC,xxx
117,Tegra,Tegra,NNP,Xxxxx
118,processor,processor,NN,xxxx
119,revenue,revenue,NN,xxxx
120,more,more,RBR,xxxx
121,than,than,IN,xxxx
122,doubled,double,VBD,xxxx
123,to,to,IN,xx
124,$,$,$,$
125,332,332,CD,ddd
126,million,million,CD,xxxx
127,"
","
",_SP,"
"
128,And,and,CC,Xxx
129,we,-PRON-,PRP,xx
130,recognized,recognize,VBD,xxxx
131,the,the,DT,xxx
132,remaining,remain,VBG,xxxx
133,$,$,$,$
134,43,43,CD,dd
135,million,million,CD,xxxx
136,in,in,IN,xx
137,revenue,revenue,NN,xxxx
138,from,from,IN,xxxx
139,our,-PRON-,PRP$,xxx
140,Intel,Intel,NNP,Xxxxx
141,agreement,agreement,NN,xxxx
142,"
","
",_SP,"
"
143,Let,let,VB,Xxx
144,'s,-PRON-,PRP,'x
145,start,start,VB,xxxx
146,with,with,IN,xxxx
147,our,-PRON-,PRP$,xxx
148,gaming,gaming,NN,xxxx
149,platforms,platform,NNS,xxxx
150,"
","
",_SP,"
"
151,Gaming,game,VBG,Xxxxx
152,revenue,revenue,NN,xxxx
153,in,in,IN,xx
154,the,the,DT,xxx
155,first,first,JJ,xxxx
156,quarter,quarter,NN,xxxx
157,was,be,VBD,xxx
158,$,$,$,$
159,1.03,1.03,CD,d.dd
160,billion,billion,CD,xxxx
161,",",",",",",","
162,up,up,RB,xx
163,49,49,CD,dd
164,%,%,NN,%
165,year,year,NN,xxxx
166,on,on,IN,xx
167,year,year,NN,xxxx
168,"
","
",_SP,"
"
169,Gamers,gamer,NNS,Xxxxx
170,continue,continue,VBP,xxxx
171,to,to,TO,xx
172,show,show,VB,xxxx
173,great,great,JJ,xxxx
174,interest,interest,NN,xxxx
175,in,in,IN,xx
176,the,the,DT,xxx
177,Pascal,Pascal,NNP,Xxxxx
178,-,-,HYPH,-
179,based,base,VBN,xxxx
180,GPUs,gpu,NNS,XXXx
181,",",",",",",","
182,including,include,VBG,xxxx
183,gaming,game,VBG,xxxx
184,notebooks,notebook,NNS,xxxx
185,"
","
",_SP,"
"
186,Our,-PRON-,PRP$,Xxx
187,Tegra,Tegra,NNP,Xxxxx
188,gaming,gaming,NN,xxxx
189,platform,platform,NN,xxxx
190,also,also,RB,xxxx
191,did,do,VBD,xxx
192,extremely,extremely,RB,xxxx
193,well,well,RB,xxxx
194,"
","
",_SP,"
"
195,Demand,demand,NN,Xxxxx
196,remained,remain,VBD,xxxx
197,healthy,healthy,JJ,xxxx
198,for,for,IN,xxx
199,our,-PRON-,PRP$,xxx
200,enthusiast,enthusiast,NN,xxxx
201,class,class,NN,xxxx
202,GeForce,GeForce,NNP,XxXxxxx
203,GTX,GTX,NNP,XXX
204,1080,1080,CD,dddd
205,GPU,GPU,NNP,XXX
206,",",",",",",","
207,introduced,introduce,VBD,xxxx
208,nearly,nearly,RB,xxxx
209,a,a,DT,x
210,year,year,NN,xxxx
211,ago,ago,RB,xxx
212,"
","
",_SP,"
"
213,It,-PRON-,PRP,Xx
214,was,be,VBD,xxx
215,complemented,complement,VBN,xxxx
216,this,this,DT,xxxx
217,past,past,JJ,xxxx
218,quarter,quarter,NN,xxxx
219,with,with,IN,xxxx
220,the,the,DT,xxx
221,GTX,GTX,NNP,XXX
222,1080,1080,CD,dddd
223,Ti,Ti,NNP,Xx
224,",",",",",",","
225,which,which,WDT,xxxx
226,runs,run,VBZ,xxxx
227,35,35,CD,dd
228,%,%,NN,%
229,faster,faster,RBR,xxxx
230,and,and,CC,xxx
231,was,be,VBD,xxx
232,launched,launch,VBN,xxxx
233,at,at,IN,xx
234,the,the,DT,xxx
235,annual,annual,JJ,xxxx
236,Game,Game,NNP,Xxxx
237,Developers,Developers,NNPS,Xxxxx
238,Conference,Conference,NNP,Xxxxx
239,in,in,IN,xx
240,San,San,NNP,Xxx
241,Francisco,Francisco,NNP,Xxxxx
242,"
","
",_SP,"
"
243,The,the,DT,Xxx
244,GTX,GTX,NNP,XXX
245,1080,1080,CD,dddd
246,Ti,Ti,NNP,Xx
247,is,be,VBZ,xx
248,designed,design,VBN,xxxx
249,to,to,TO,xx
250,handle,handle,VB,xxxx
251,the,the,DT,xxx
252,demands,demand,NNS,xxxx
253,of,of,IN,xx
254,4,4,CD,d
255,K,k,NN,X
256,gaming,gaming,NN,xxxx
257,and,and,CC,xxx
258,high,high,JJ,xxxx
259,-,-,HYPH,-
260,end,end,NN,xxx
261,VR,vr,NN,XX
262,experiences,experience,VBZ,xxxx
263,"
","
",_SP,"
"
264,Typical,typical,JJ,Xxxxx
265,of,of,IN,xx
266,many,many,JJ,xxxx
267,supportive,supportive,JJ,xxxx
268,reviews,review,NNS,xxxx
269,",",",",",",","
270,Ars,Ars,NNP,Xxx
271,Technica,Technica,NNP,Xxxxx
272,stated,state,VBD,xxxx
273,it,-PRON-,PRP,xx
274,is,be,VBZ,xx
275,undoubtedly,undoubtedly,RB,xxxx
276,a,a,DT,x
277,fantastic,fantastic,JJ,xxxx
278,piece,piece,NN,xxxx
279,of,of,IN,xx
280,engineering,engineering,NN,xxxx
281,",",",",",",","
282,cool,cool,JJ,xxxx
283,",",",",",",","
284,quiet,quiet,JJ,xxxx
285,",",",",",",","
286,and,and,CC,xxx
287,without,without,IN,xxxx
288,rival,rival,NN,xxxx
289,"
","
",_SP,"
"
290,Those,those,DT,Xxxxx
291,that,that,WDT,xxxx
292,demand,demand,VBP,xxxx
293,the,the,DT,xxx
294,absolute,absolute,JJ,xxxx
295,very,very,RB,xxxx
296,best,good,JJS,xxxx
297,in,in,IN,xx
298,cutting,cut,VBG,xxxx
299,-,-,HYPH,-
300,edge,edge,NN,xxxx
301,graphics,graphic,NNS,xxxx
302,need,nee,MD,xxxx
303,look,look,VB,xxxx
304,no,no,RB,xx
305,further,further,RB,xxxx
306,"
","
",_SP,"
"
307,We,-PRON-,PRP,Xx
308,also,also,RB,xxxx
309,released,release,VBD,xxxx
310,the,the,DT,xxx
311,next,next,JJ,xxxx
312,generation,generation,NN,xxxx
313,of,of,IN,xx
314,our,-PRON-,PRP$,xxx
315,TITAN,TITAN,NNP,XXXX
316,-,-,HYPH,-
317,class,class,NN,xxxx
318,product,product,NN,xxxx
319,",",",",",",","
320,the,the,DT,xxx
321,TITAN,TITAN,NNP,XXXX
322,Xp,Xp,NNP,Xx
323,",",",",",",","
324,designed,design,VBN,xxxx
325,for,for,IN,xxx
326,enthusiasts,enthusiast,NNS,xxxx
327,and,and,CC,xxx
328,researchers,researcher,NNS,xxxx
329,who,who,WP,xxx
330,demand,demand,VBP,xxxx
331,extreme,extreme,JJ,xxxx
332,performance,performance,NN,xxxx
333,"
","
",_SP,"
"
334,Gaming,gaming,NN,Xxxxx
335,continues,continue,VBZ,xxxx
336,to,to,TO,xx
337,be,be,VB,xx
338,driven,drive,VBN,xxxx
339,by,by,IN,xx
340,the,the,DT,xxx
341,headlong,headlong,JJ,xxxx
342,growth,growth,NN,xxxx
343,in,in,IN,xx
344,e,e,NN,x
345,-,-,HYPH,-
346,sports,sport,NNS,xxxx
347,"
","
",_SP,"
"
348,The,the,DT,Xxx
349,newest,new,JJS,xxxx
350,title,title,NN,xxxx
351,",",",",",",","
352,Overwatch,Overwatch,NNP,Xxxxx
353,",",",",",",","
354,added,add,VBD,xxxx
355,30,30,CD,dd
356,million,million,CD,xxxx
357,gamers,gamer,NNS,xxxx
358,in,in,IN,xx
359,its,-PRON-,PRP$,xxx
360,first,first,JJ,xxxx
361,year,year,NN,xxxx
362,"
","
",_SP,"
"
363,GeForce,GeForce,NNP,XxXxxxx
364,was,be,VBD,xxx
365,the,the,DT,xxx
366,graphics,graphic,NNS,xxxx
367,platform,platform,NN,xxxx
368,of,of,IN,xx
369,choice,choice,NN,xxxx
370,at,at,IN,xx
371,all,all,PDT,xxx
372,the,the,DT,xxx
373,top,top,JJ,xxx
374,e,e,NN,x
375,-,-,HYPH,-
376,sports,sport,NNS,xxxx
377,tournaments,tournament,NNS,xxxx
378,",",",",",",","
379,including,include,VBG,xxxx
380,the,the,DT,xxx
381,finals,final,NNS,xxxx
382,of,of,IN,xx
383,the,the,DT,xxx
384,big,big,JJ,xxx
385,four,four,CD,xxxx
386,international,international,JJ,xxxx
387,competitions,competition,NNS,xxxx
388,"
","
",_SP,"
"
389,With,with,IN,Xxxx
390,apologies,apology,NNS,xxxx
391,to,to,IN,xx
392,the,the,DT,xxx
393,start,start,NN,xxxx
394,of,of,IN,xx
395,the,the,DT,xxx
396,baseball,baseball,NN,xxxx
397,season,season,NN,xxxx
398,",",",",",",","
399,e,e,NN,x
400,-,-,HYPH,-
401,sports,sport,NNS,xxxx
402,is,be,VBZ,xx
403,now,now,RB,xxx
404,as,as,RB,xx
405,popular,popular,JJ,xxxx
406,among,among,IN,xxxx
407,U.S,U.S,NNP,X.X
408,"
","
",_SP,"
"
409,male,male,JJ,xxxx
410,millennials,millennial,NNS,xxxx
411,as,as,IN,xx
412,America,America,NNP,Xxxxx
413,'s,'s,POS,'x
414,favorite,favorite,JJ,xxxx
415,pastime,pastime,NN,xxxx
