,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Marc,Marc,NNP,Xxxx
3,"
","
",_SP,"
"
4,Obviously,obviously,RB,Xxxxx
5,",",",",",",","
6,this,this,DT,xxxx
7,was,be,VBD,xxx
8,an,an,DT,xx
9,exceptional,exceptional,JJ,xxxx
10,quarter,quarter,NN,xxxx
11,"
","
",_SP,"
"
12,Salesforce,salesforce,NN,Xxxxx
13,is,be,VBZ,xx
14,the,the,DT,xxx
15,fastest,fastest,RBS,xxxx
16,-,-,HYPH,-
17,growing,grow,VBG,xxxx
18,top,top,JJ,xxx
19,five,five,CD,xxxx
20,enterprise,enterprise,NN,xxxx
21,software,software,NN,xxxx
22,company,company,NN,xxxx
23,in,in,IN,xx
24,the,the,DT,xxx
25,world,world,NN,xxxx
26,",",",",",",","
27,and,and,CC,xxx
28,this,this,DT,xxxx
29,year,year,NN,xxxx
30,",",",",",",","
31,we,-PRON-,PRP,xx
32,expect,expect,VBP,xxxx
33,to,to,TO,xx
34,deliver,deliver,VB,xxxx
35,more,more,JJR,xxxx
36,than,than,IN,xxxx
37,$,$,$,$
38,10,10,CD,dd
39,billion,billion,CD,xxxx
40,in,in,IN,xx
41,revenue,revenue,NN,xxxx
42,"
","
",_SP,"
"
43,And,and,CC,Xxx
44,that,that,DT,xxxx
45,will,will,MD,xxxx
46,reach,reach,VB,xxxx
47,the,the,DT,xxx
48,milestone,milestone,NN,xxxx
49,that,that,WDT,xxxx
50,we,-PRON-,PRP,xx
51,'ve,have,VB,'xx
52,been,be,VBN,xxxx
53,talking,talk,VBG,xxxx
54,about,about,IN,xxxx
55,",",",",",",","
56,about,about,IN,xxxx
57,being,be,VBG,xxxx
58,faster,faster,RBR,xxxx
59,than,than,IN,xxxx
60,any,any,DT,xxx
61,other,other,JJ,xxxx
62,enterprise,enterprise,NN,xxxx
63,software,software,NN,xxxx
64,company,company,NN,xxxx
65,in,in,IN,xx
66,history,history,NN,xxxx
67,to,to,IN,xx
68,that,that,DT,xxxx
69,$,$,$,$
70,10,10,CD,dd
71,billion,billion,CD,xxxx
72,mark,mark,NN,xxxx
73,"
","
",_SP,"
"
74,In,in,IN,Xx
75,FY,fy,NN,XX
