,Sentences
0,Good afternoon
1,I'm happy to report that our second quarter results were strong
2,"We delivered revenue of $680 million and non-GAAP earnings per share of $0.88, both at the top of our target ranges"
3,We executed $100 million share buyback for a total of $200 million so far this year
4,"And we-re raising our revenue, non-GAAP earnings per share and operating cash flow guidance for the year"
5,Trac will discuss the financials in more detail
6,The landscape around us is solid with what feels like a continuing stable outlook for 2017.
7,"Our 3 customer groups, semiconductors, systems companies and software developers, continue to invest significantly"
8,This is driven by the dawning age of digital intelligence which is both exciting and evolving quickly
9,"Everything around us is becoming smart, connected but also complex"
10,"Mounting software content, whether integrated on a chip or as an app, creates huge functionality, development and security challenges"
11,"This, in turn, drives growth opportunities around machine learning, automotive, augmented and virtual reality, networking infrastructure and the soaring need for more cloud-based computation and storage"
12,"With the unique portfolio reaching from the roots of silicon all the way up to software, combined with best-in-class global support, Synopsys continues to demonstrate that our vision, strategy, investments and execution are right on the money"
13,This is evidenced in all 3 product groups
14,Core EDA revenue growth has outpaced competitors over the past years
15,IP continues its double digit growth and our software quality and security group is scaling to critical mass with excellent revenue expansion
16,Let me provide some highlights from the quarter beginning with core EDA
17,Synopsys is a mission-critical partner for the most advanced designs
18,Our EDA and IP collaboration with TSMC illustrates this
19,"During Q2, we announced full flow certification for TSMC's 12- and 7-nanometer processes as well as broad IP cooperation for 12-nanometer FinFETs"
20,Customers today rely on Synopsys for more than 95% of their FinFET designs
21,"Meanwhile, we-re already partnering on early R&D of 5-nanometer and below"
22,Our design platform is generating solid results and notable customer successes
23,"IC Compiler II, our place and route solution, is used on highly complex chips, some as advanced as 7-nanometer, by companies such as Xilinx, NVIDIA, ST and Broadcom"
24,"IC Validator, our physical verification product, has already performed final sign-off of more than 100 FinFET production tape-outs, a significant accomplishment given the historical reliance on competitors"
25,"Meanwhile, intensive R&D across our digital platform is delivering new high-impact capabilities at a very rapid pace"
26,"In custom, our long-time leadership in simulation and our new Custom Compiler design solution are generating high interest"
27,"Custom Compiler's FinFET optimizations and our close collaboration with UMC, for example, enabled customers to use Custom Compiler in their new 14-nanometer process"
28,"At our March user group conference, ST, MediaTek and Renesas shared their production successes with engineers from more than 40 companies"
29,"In verification, we continued to see excellent results and a strong outlook for the year"
30,"Our Verification Continuum platform is in high demand for 2 reasons, first, we have leading-edge verification technologies ranging from simulation to emulation to prototyping to static techniques to powerful, well integrated debugging; and second, our coherent platform is solidly centered at the intersection of hardware and software, the very intersection enabling Smart Everything and addressing the time-to-market urgency of this dynamic market"
31,We continue to see great progress ranging from excellent customer interest in our new superfast VCS simulator to platform-wide adoption and proliferation
32,"Over the last several quarters, leading mobile, graphics and processor companies have aligned with us through expanded multi-year strategy -- strategic agreements, including simulation, verification IP, debug, formal, emulation and prototyping technologies"
33,"In Q2, broad demand for ZeBu emulation continued with 6 new logos and expansion in top accounts"
34,"For example, Spreadtrum standardized on ZeBu for its advanced mobile SoCs and Wave Computing adopted ZeBu for its machine learning products"
35,"While lumpy from quarter-to quarter, we expect 2017 to be another record year for hardware revenue, driven by industry demand and the robustness of our solution"
36,"On top of this, virtual prototyping which enables early software development and architecture assessment, resonated particularly well in the automotive market"
37,"During the quarter, we announced support for chips from Silicon Mobility Inc"
38,", a leading semiconductor provider for hybrid and electric vehicle control systems"
39,"Let me pause for a moment on automotive, where, over the past several years, we've deployed a wide range of targeted solutions"
40,"With touch points ranging from functional safety to autonomous driving to the next-generation of infotainment, all the way to lighting simulation, Synopsys is growing into a crucial participant in the automotive ecosystem"
41,"Elements throughout our EDA, IP and software integrity portfolio are now certified for the most stringent level of automotive safety defined by the ISO 26262 standard"
42,"In IP, for example, over the last 8 quarters, we significantly extended our portfolio of certified IP"
43,"More broadly, in Q2, we saw strong demand in IP with particular momentum in advanced technology and security"
44,We announced an expansive portfolio of IP for TSMC's 12 FFC process and taped out multiple 10- and 7-nanometer IP test chips with advanced foundries
45,"We're systematically building out our portfolio of security IP for mobile, automotive, IoT and cloud computing markets"
46,"In Q2, for example, we delivered a high-performance, hardware-secure module that protects sensitive information and data processing within SoCs"
47,"The need for security is, of course, much broader than IP which brings me to our third customer base, software developers across many industries"
48,The focus in our growing Software Integrity Group is to provide products and services that help developers write high-quality code that can withstand security vulnerabilities
49,This as a key differentiator and new TAM for Synopsys
50,and I'm happy to report that it's scaling well both organically and via acquisitions
51,Our software sign-off platform is making good progress and we have expanded our road map to reflect the acquisition of Cigital
52,We're strong in the embedded space with growing transaction sizes and are gaining good traction in the automotive industry with our security solutions and well-respected expertise
53,"With the acquisition of Cigital in Q1, we're accelerating penetration in other key verticals such as the financial services industry"
54,Our objective is to drive demand creation at early stages of security strategy development
55,The Cigital integration is already delivering examples of our first combined services and product agreements and cross-selling opportunities
56,"Finally, Synopsys was named a leader in Gartner's Magic Quadrant for application security testing"
57,The Magic Quadrant is an important indicator for customers who often use it to narrow their list of potential vendors
58,We've already seen increased customer interest as a result
59,"In closing, as we look to the second half of the year and beyond, our priorities remain centered on generating long term shareholder value"
60,"We do this by investing organically and through M&A and EDA, IP and software integrity to realize our Silicon to Software vision"
61,We do this by executing with a clear intent to sustain technology leadership while simultaneously growing revenue and profitability throughout our business
62,"And we do this with a clear bottom line objective and many year track record, of driving ongoing high single-digit EPS growth and returning cash to shareholders"
63,Let me now turn the call over to Trac
64,"Well, in general, I think we're in a phase of the industry around us and ourselves that tends to be strong and"
65,"when we give you directions on growth rates of the different areas, we always look at it from a perspective of a multi-year outlook because that's sort of the only fair way to do it, all the more given that we have a multi-year agreement"
66,"Having said that, there's no question that the push towards more advanced chips is actually continuing strong and"
67,"I think the reason for that is relatively straightforward which is that the new opportunities in technologies and products are using any of the existing computation and mobility techniques but now amended by increased digital intelligence requirements, will continue to be very strong after that enormous amounts of data generated by a happily growing set of sensors"
68,And you can see that the entire field is really poised to demand more computation
69,"And so it is natural, therefore, for people to come to our products"
70,"And while there are some up and down from quarter-to quarter, they are driving the leading edge and they need the tools to support that"
71,So I think we're fortunate to do well
72,It feels like repetitive in the last 3 or 4 earnings releases
73,"We must have used the word hardware is lumpy every time and that is an indication that the visibility is not complete, meaning that some of these things come in and then the customer wants immediate fulfillment or delayed fulfillment"
74,So the timing can be somewhat arbitrary
75,There's no question that we have done well in the hardware area
76,and I think that correlate directly to what we said earlier which is growth in complexity of chips but also more and more chips and the affiliated software needing to be verified together
77,And that is only a center of strength for Synopsys
78,"Actually, the first two groups because in order for emulation and other hardware isolation methods to be useful, it is really in the proximity of the intersection of hardware and software which means it's the high-end chips that invariably drive a lot of software or it is the systems companies that integrate multiple chips around building apps or building entire product"
79,"And so the distinction between semiconductor vendors and system vendors sometimes is a little blurred because they tend to increasingly do stuff for each other or demand from each other that, that sits at this intersection"
80,"So both of those, I think, sort of grow hand in hand"
81,"Actually, sorry I forgot that part of your question"
82,IP is directly related to efficiency and productivity
83,"And with continuous complexity of chips and by the way, continued complexity of the IP blocks, delayed collection of these blocks just continues to grow and the efficiency with which people can put together large chips is directly a function of which blocks are available"
84,", how easy is it to integrate them and how much do you trust the vendor because, obviously, you're highly relying on who provides you those blocks"
85,"And so as companies design large chips or larger systems, increasingly, they put their engineers on those aspects that they can't purchase but where they can provide additional differentiation while outsourcing increasingly blocks that, in the past, they would have done themselves"
86,And I think that bodes very well for us
87,I have not seen any seasonality
88,I think it is very much project based
89,"and it has always a little bit the characteristic that the minute they figure out what's going to be in the project, they would like to have the IP the next day which, of course, not possible because a lot of this gets developed as part of agreements and service development sets"
90,But the projects come and go
91,The companies have no aligned time line for these projects and so I don't see any seasonality
92,"But one could have the configuration that, for some reason, there are some quarter, there are more project finishing than others or deliveries that we could do"
93,"So it could be somewhat lumpy, but it's not because of seasonality"
94,They are completely ready for the 7-nanometer
95,5-nanometer is not on the market and 5-nanometer is still in deep development
96,That will take a little while
97,And even when I say for the 7-nanometer -- 7-nanometer is really leading edge and
98,"what that means is that the foundries that provide the technology and that manufacture these chips will keep refining their technology on ongoing basis because they constantly are trying to tune the yields that they get because if you have a little higher yields, meaning a higher percentage of chips that work on a wafer, that has enormous economic impact"
99,And so we-re in constant interaction with foundries
100,"Every time that they tune it a little bit, we tune our tools and in some cases, we also tune our IP a little further"
101,"Yes, we have a number of efforts in these advanced nodes and"
102,"the word ready is not a black and white, meaning that there are certain things that are already earlier"
103,"There are certain things that are already with 7-nanometers, not quite there, for test chips, for example"
104,And so there's a very complex multi-year process to bring something to market
105,"But from my commentary, you should read that we-re well exercised in trying to align as much as possible with the foundry train so that we arrive at the station at the same time"
106,It doesn't matter that much
107,There are some very fundamental IP that's impacted by EUV
108,"And as you may know, EUV is sort of now just slowly seeping into potentially some production manufacturing in the coming years and that is only for a few layers of the chip"
109,"And there are many, many layers, so EUV will be for the very refined ones initially"
110,"And so we're well on top of that, but it does not mean a big effort nor a big issue"
111,Yes
112,"Just to clarify, when we do IP, people buy existing functionality but very often wanted to be delivered in a very specific form, maybe with some alterations or with some tuning for their versions of technology"
113,And so this is why the IP is accompanied by a statement of work which can be viewed essentially as a service business
114,But it is service business around an existing product
115,And the reason you saw us hesitate is because we rarely think about it in those 2 categories
116,But it is a good question
117,It is sort of a balance between the 2.
118,"Yes, we have seen those since like the middle 1990s"
119,"We've been in China for a long, long time and they have been, for now many, many years, many design companies"
120,Many have not been successful
121,"And so I would say, we're at least already on the third or fourth generation of companies where a bunch have disappeared, reconfigured and so on"
122,"And now there is a significant segment of strong Chinese companies that are -- that have, year after year, become closer and closer to be at the state of the art"
123,and we would certainly say that there are a few companies that are designing with absolutely state-of-the-art silicon technology
124,And so they have been broad users of our tools
125,China has been a growing market for us and we continue to see expansion of that market
126,Definitely yes
127,"I mean, memory development is development that requires pretty deep understanding of semiconductor physics and device construction"
128,"And so with the number of companies we have now been working for a while on the development of those, you're absolutely right that, in the last recent period, I would say maybe last 2 years, there has been an increase in attention and effort"
129,"And that is the direct response to the fact that most economies are seeing an enormous amount of data coming about, that the big data will be analyzed and therefore, the -- be it in the cloud or be it the devices around it, are all going to use massively more memory and that their strong desire to make that memory a lot faster so that you can do more processing"
130,"And so in that sense, while China may be new to this game, the push in new memory technologies is quite interesting and that fits well the overall picture of a semiconductor business that is going to be an enabler to many other high-tech capabilities"
131,Good question
132,"I don't know the exact answer, but I can venture that it is probably half to a little bit more as outside"
133,And the reason for that is that the marketing needed in our core semiconductor space is not that high because we have many very good connections and we can relatively easily access people that need security and quality tools for their software
134,"Whereas in the rest of the space, there are many different market segments"
135,"And you mentioned Cigital which is a really interesting acquisition because it's not only that it brings to us a service business, that allows us to engage at a higher level with customers that are looking at the strategy of their -- of how to deal with quality and security"
136,It is that they're also very strong in the financial market
137,And so the way you communicate with financial market is very different than
138,", let's say, the health market or the embedded software market"
139,and that is why some marketing effort has to be specialized on that
