,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,afternoon,afternoon,NN,xxxx
2,"
","
",_SP,"
"
3,I,-PRON-,PRP,X
4,am,be,VBP,xx
5,happy,happy,JJ,xxxx
6,to,to,TO,xx
7,report,report,VB,xxxx
8,another,another,DT,xxxx
9,excellent,excellent,JJ,xxxx
10,quarter,quarter,NN,xxxx
11,and,and,CC,xxx
12,with,with,IN,xxxx
13,it,-PRON-,PRP,xx
14,another,another,DT,xxxx
15,outstanding,outstanding,JJ,xxxx
16,year,year,NN,xxxx
17,for,for,IN,xxx
18,Synopsys,Synopsys,NNP,Xxxxx
19,"
","
",_SP,"
"
20,In,in,IN,Xx
21,fiscal,fiscal,JJ,xxxx
22,2017,2017,CD,dddd
23,",",",",",",","
24,we,-PRON-,PRP,xx
25,delivered,deliver,VBD,xxxx
26,revenue,revenue,NN,xxxx
27,of,of,IN,xx
28,$,$,$,$
29,2.725,2.725,CD,d.ddd
30,billion,billion,CD,xxxx
31,",",",",",",","
32,an,an,DT,xx
33,increase,increase,NN,xxxx
34,of,of,IN,xx
35,12.5,12.5,CD,dd.d
36,%,%,NN,%
37,",",",",",",","
38,non,non,JJ,xxx
39,-,-,JJ,-
40,GAAP,gaap,JJ,XXXX
41,earnings,earning,NNS,xxxx
42,per,per,IN,xxx
43,share,share,NN,xxxx
44,of,of,IN,xx
45,$,$,$,$
46,3.42,3.42,CD,d.dd
47,",",",",",",","
48,13,13,CD,dd
49,%,%,NN,%
50,growth,growth,NN,xxxx
51,",",",",",",","
52,we,-PRON-,PRP,xx
53,generated,generate,VBD,xxxx
54,$,$,$,$
55,635,635,CD,ddd
56,million,million,CD,xxxx
57,in,in,IN,xx
58,operating,operate,VBG,xxxx
59,cash,cash,NN,xxxx
60,flow,flow,NN,xxxx
61,",",",",",",","
62,our,-PRON-,PRP$,xxx
63,three,three,CD,xxxx
64,-,-,HYPH,-
65,year,year,NN,xxxx
66,backlog,backlog,NN,xxxx
67,grew,grow,VBD,xxxx
68,by,by,IN,xx
69,approximately,approximately,RB,xxxx
70,$,$,$,$
71,150,150,CD,ddd
72,million,million,CD,xxxx
73,to,to,TO,xx
74,$,$,$,$
75,3.7,3.7,CD,d.d
76,billion,billion,CD,xxxx
77,and,and,CC,xxx
78,we,-PRON-,PRP,xx
79,bought,buy,VBD,xxxx
80,back,back,RB,xxxx
81,$,$,$,$
82,400,400,CD,ddd
83,million,million,CD,xxxx
84,of,of,IN,xx
85,our,-PRON-,PRP$,xxx
86,stock,stock,NN,xxxx
87,"
","
",_SP,"
"
88,These,these,DT,Xxxxx
89,results,result,NNS,xxxx
90,extended,extend,VBD,xxxx
91,our,-PRON-,PRP$,xxx
92,multi,multi,JJ,xxxx
93,-,-,JJ,-
94,year,year,JJ,xxxx
95,track,track,NN,xxxx
96,record,record,NN,xxxx
97,of,of,IN,xx
98,strong,strong,JJ,xxxx
99,growth,growth,NN,xxxx
100,with,with,IN,xxxx
101,three,three,CD,xxxx
102,-,-,HYPH,-
103,year,year,NN,xxxx
104,CAGRs,cagr,NNS,XXXXx
105,of,of,IN,xx
106,10,10,CD,dd
107,%,%,NN,%
108,for,for,IN,xxx
109,both,both,DT,xxxx
110,revenue,revenue,NN,xxxx
111,and,and,CC,xxx
112,non,non,JJ,xxx
113,-,-,JJ,-
114,GAAP,gaap,JJ,XXXX
115,earnings,earning,NNS,xxxx
116,",",",",",",","
117,accentuated,accentuate,VBN,xxxx
118,by,by,IN,xx
119,upside,upside,NN,xxxx
120,from,from,IN,xxxx
121,hardware,hardware,NN,xxxx
122,and,and,CC,xxx
123,IP,IP,NNP,XX
124,",",",",",",","
125,our,-PRON-,PRP$,xxx
126,business,business,NN,xxxx
127,became,become,VBD,xxxx
128,stronger,strong,JJR,xxxx
129,and,and,CC,xxx
130,stronger,strong,JJR,xxxx
131,as,as,IN,xx
132,we,-PRON-,PRP,xx
133,moved,move,VBD,xxxx
134,through,through,IN,xxxx
135,the,the,DT,xxx
136,year,year,NN,xxxx
137,",",",",",",","
138,resulting,result,VBG,xxxx
139,in,in,IN,xx
140,good,good,JJ,xxxx
141,revenue,revenue,NN,xxxx
142,growth,growth,NN,xxxx
143,across,across,IN,xxxx
144,all,all,DT,xxx
145,product,product,NN,xxxx
146,groups,group,NNS,xxxx
147,and,and,CC,xxx
148,all,all,DT,xxx
149,geographies,geography,NNS,xxxx
150,"
","
",_SP,"
"
151,The,the,DT,Xxx
152,fiscal,fiscal,JJ,xxxx
153,‘,',``,‘
154,17,17,CD,dd
155,double,double,JJ,xxxx
156,-,-,HYPH,-
157,digit,digit,NN,xxxx
158,non,non,JJ,xxx
159,-,-,JJ,-
160,GAAP,gaap,JJ,XXXX
161,EPS,EPS,NNP,XXX
162,growth,growth,NN,xxxx
163,was,be,VBD,xxx
164,achieved,achieve,VBN,xxxx
165,through,through,IN,xxxx
166,both,both,DT,xxxx
167,revenue,revenue,NN,xxxx
168,growth,growth,NN,xxxx
169,and,and,CC,xxx
170,increasing,increase,VBG,xxxx
171,operating,operating,NN,xxxx
172,margin,margin,NN,xxxx
173,",",",",",",","
174,even,even,RB,xxxx
175,with,with,IN,xxxx
176,acquisition,acquisition,NN,xxxx
177,-,-,HYPH,-
178,related,relate,VBN,xxxx
179,dilution,dilution,NN,xxxx
180,"
","
",_SP,"
"
181,Simultaneously,simultaneously,RB,Xxxxx
182,",",",",",",","
183,we,-PRON-,PRP,xx
184,further,further,RB,xxxx
185,scaled,scale,VBD,xxxx
186,our,-PRON-,PRP$,xxx
187,Software,Software,NNP,Xxxxx
188,Integrity,Integrity,NNP,Xxxxx
189,solutions,solution,NNS,xxxx
190,with,with,IN,xxxx
191,good,good,JJ,xxxx
192,organic,organic,JJ,xxxx
193,growth,growth,NN,xxxx
194,",",",",",",","
195,the,the,DT,xxx
196,Cigital,Cigital,NNP,Xxxxx
197,acquisition,acquisition,NN,xxxx
198,in,in,IN,xx
199,Q1,Q1,NNP,Xd
200,and,and,CC,xxx
201,the,the,DT,xxx
202,planned,plan,VBN,xxxx
203,Black,Black,NNP,Xxxxx
204,Duck,Duck,NNP,Xxxx
205,transaction,transaction,NN,xxxx
206,announced,announce,VBD,xxxx
207,earlier,earlier,RBR,xxxx
208,this,this,DT,xxxx
209,month,month,NN,xxxx
210,"
","
",_SP,"
"
211,Trac,Trac,NNP,Xxxx
212,will,will,MD,xxxx
213,discuss,discuss,VB,xxxx
214,the,the,DT,xxx
215,financials,financial,NNS,xxxx
216,in,in,IN,xx
217,more,more,JJR,xxxx
218,detail,detail,NN,xxxx
219,"
","
",_SP,"
"
220,As,as,IN,Xx
221,we,-PRON-,PRP,xx
222,assess,assess,VBP,xxxx
223,the,the,DT,xxx
224,business,business,NN,xxxx
225,we,-PRON-,PRP,xx
226,’ve,have,VB,’xx
227,built,build,VBN,xxxx
228,over,over,IN,xxxx
229,the,the,DT,xxx
230,past,past,JJ,xxxx
231,30,30,CD,dd
232,plus,plus,CC,xxxx
233,years,year,NNS,xxxx
234,and,and,CC,xxx
235,look,look,VB,xxxx
236,forward,forward,RB,xxxx
237,to,to,IN,xx
238,the,the,DT,xxx
239,next,next,JJ,xxxx
240,five,five,CD,xxxx
241,years,year,NNS,xxxx
242,to,to,IN,xx
243,10,10,CD,dd
244,years,year,NNS,xxxx
245,",",",",",",","
246,we,-PRON-,PRP,xx
247,’re,be,VBP,’xx
248,enthusiastic,enthusiastic,JJ,xxxx
249,about,about,IN,xxxx
250,our,-PRON-,PRP$,xxx
251,prospects,prospect,NNS,xxxx
252,"
","
",_SP,"
"
253,The,the,DT,Xxx
254,market,market,NN,xxxx
255,opportunity,opportunity,NN,xxxx
256,is,be,VBZ,xx
257,vast,vast,JJ,xxxx
258,and,and,CC,xxx
259,increasing,increase,VBG,xxxx
260,as,as,IN,xx
261,we,-PRON-,PRP,xx
262,enter,enter,VBP,xxxx
263,the,the,DT,xxx
264,age,age,NN,xxx
265,of,of,IN,xx
266,Smart,Smart,NNP,Xxxxx
267,Everything,Everything,NNP,Xxxxx
268,"
","
",_SP,"
"
269,Synopsys,Synopsys,NNP,Xxxxx
270,is,be,VBZ,xx
271,well,well,RB,xxxx
272,-,-,HYPH,-
273,aligned,align,VBN,xxxx
274,to,to,TO,xx
275,benefit,benefit,VB,xxxx
276,from,from,IN,xxxx
277,the,the,DT,xxx
278,emerging,emerge,VBG,xxxx
279,market,market,NN,xxxx
280,dynamics,dynamic,NNS,xxxx
281,"
","
",_SP,"
"
282,And,and,CC,Xxx
283,lastly,lastly,RB,xxxx
284,",",",",",",","
285,our,-PRON-,PRP$,xxx
286,financial,financial,JJ,xxxx
287,position,position,NN,xxxx
288,and,and,CC,xxx
289,priorities,priority,NNS,xxxx
290,amply,amply,RB,xxxx
291,support,support,VBP,xxxx
292,our,-PRON-,PRP$,xxx
293,aspirations,aspiration,NNS,xxxx
294,"
","
",_SP,"
"
295,Let,let,VB,Xxx
296,me,-PRON-,PRP,xx
297,expand,expand,VB,xxxx
298,on,on,IN,xx
299,these,these,DT,xxxx
300,three,three,CD,xxxx
301,elements,element,NNS,xxxx
302,of,of,IN,xx
303,our,-PRON-,PRP$,xxx
304,value,value,NN,xxxx
305,proposition,proposition,NN,xxxx
306,"
","
",_SP,"
"
307,First,first,RB,Xxxxx
308,",",",",",",","
309,the,the,DT,xxx
310,age,age,NN,xxx
311,of,of,IN,xx
312,Smart,Smart,NNP,Xxxxx
313,Everything,Everything,NNP,Xxxxx
314,or,or,CC,xx
315,Digital,Digital,NNP,Xxxxx
316,Intelligence,Intelligence,NNP,Xxxxx
317,is,be,VBZ,xx
318,here,here,RB,xxxx
