,Sentences
0,"Thanks, Sujal and thank you, everyone, for joining us today"
1,I'm very excited to share our strong results for the third quarter and our increased growth and earnings outlook we're providing for the full year
2,I believe this quarter's performance continues to demonstrate the strength of our business model with all of our segments contributing
3,"It also reflects the ongoing effective implementation of our strategy to create safer, sustainable, productive and connected solutions for our customers"
4,"To briefly recap the key elements of our strategy that we've been driving, number one it's about driving above market growth through our focus on harsh environment applications, where we can accelerate content growth"
5,"Secondly, it's about leveraging our TEOA continuous improvement system to expand our margin"
6,"And lastly, it's delivery and consistent execution of our balanced capital allocation strategy, which allows us to further strengthen our position in our markets via bolt-on M&A, while also returning capital back to our owners"
7,"When you look at our third quarter, we delivered sales of $3.4 billion"
8,"This represents 8% organic growth year-over-year with growth across all our segments, as well as regions"
9,"We delivered 50 basis points of adjusted operating margin expansion year-over-year and adjusted earnings per share of $1.24, which is up 15% over the prior year"
10,This year's growth in EPS year-over-year was entirely driven by our sales and operating income performance
11,If you want to look at our $1.24 compared to our guidance of $1.16 approximately half was driven by the higher sales growth of 8% with the remainder driven by taxes and a little bit of currency
12,"As a result of our momentum and what we're seeing in our markets in orders, we are raising the mid-point of our revenue and adjusted earnings per share guidance to $12.9 billion and $4.73 in EPS"
13,This represents 7% organic revenue growth and 20% adjusted EPS growth versus the prior year
14,"With this, we firmly believe that TE is firing on all cylinders with all segments contributing to both revenue growth and margin expansion this year"
15,"As I think about this year and to put it in perspective, back when we gave guidance in November, we assumed 3% organic growth and $4.34 adjusted earnings per share compared to the $3.95 we did in 2016 on a 52-week basis"
16,"The increase since the start of the year reflects strong organic growth across all segments and operational improvements across our businesses that now results in the 7% organic growth and 20% adjusted earnings per share growth, driven almost entirely by our strong operational performance"
17,The broad-based growth ahead of the markets we serve continues to reinforce our strategic progress on content growth and having the right products to the right markets
18,"If you look at our new guidance for the year compared to last quarter, the 7% organic growth outlook is an improvement of 100 basis points, and we're raising our earnings per share guidance by $0.11."
19,I'd appreciate if you could turn to slide 3 and let me review some of additional highlights from the third quarter
20,"Not only do we have growth across all segments and regions, but each of our segments delivered growth ahead of our expectations in the quarter"
21,"We delivered 8% organic growth in Transportation, with growth across automotive, commercial transportation and sensors"
22,"In Industrial Solutions, organic growth of 5% was driven by strength in factory automation and medical applications"
23,"And in the Communications Solutions segment, sales increased 14% organically with growth across each of our three business units, demonstrating the progress we have made in transforming this segment to be a contributor to overall TE performance"
24,"Also during the quarter, we had strong free cash flow of over $400 million that we generated, and we returned $324 million back to our owners, and we also announced bolt-on acquisitions in the automotive and medical markets that will expand our portfolio and ability to provide integrated highly engineered solutions in these growing markets"
25,Let me get into the order trends
26,I appreciate if you could turn to slide 4.
27,We continue to see broad based strength in orders across our segments as well as balanced order growth across regions which reinforces expectations for a higher growth versus our prior view
28,"Total orders which exclude SubCom were $3.3 billion during the quarter, and this is up 12% year-over-year on both a reported and an organic basis"
29,"Organically excluding SubCom, our orders grew evenly with the Americas, Asia and Europe each growing low double digits in the quarter"
30,"And if you reflect back at the start of the year when we guided in our first quarter, orders and revenue growth were heavily weighted towards Asia and were encouraged by the balance we are now seeing as Europe and United States continue to strengthen"
31,"In Transportation, orders increased 15% organically with growth in all regions and particular strength in Europe and Asia"
32,"Industrial orders grew 6% organically year-over-year, with growth in all regions and particular strength in Asia"
33,"And in Communications excluding SubCom, we saw year-over-year organic order growth of 12%, including 7% growth in data and devices from high-speed connectivity ramping in cloud and data center applications, while appliance orders grew 17% year-over-year"
34,"One thing I'd like to highlight that while on a year-over-year basis, orders increased double digits in the third quarter, the guidance that we gave for the fourth quarter reflects mid-single-digit revenue growth"
35,"In our customers broader supply chain, there are supply constraints in certain areas that led to some of our quarter's reorders (8:47) being placed for delivery outside of our fourth quarter, and we have accounted for this dynamic in our guidance for the fourth quarter"
36,"So let me turn to segment performance, and let me start with Transportation, if you could turn to slide 5, please"
37,"The third quarter was another very strong quarter for our Transportation segment, which continued to show our content growth momentum"
38,"Sales grew 8% organically year-over-year, and operating margins were in line with our expectations"
39,"Segment sales exceeded expectations due to strong auto demand across regions and our leading position in the heavy truck market, along with strong sensors growth which was 7% organically"
40,"In auto, our sales were up 6% organically with mid-single-digit growth rate in the Americas, Europe and Asia against a global auto production growth of only 1%"
41,We continue to consistently demonstrate the ability to outperform the market due to content growth and expect that trend to continue even at these lower production levels
42,We also expect the benefit from new program ramps as we go forward which will also continue the outperformance due to content versus market
43,"For the full year of 2017, we expect high-single-digit organic growth in auto on approximately 3% production growth, but clearly that 3% production growth was driven by the stronger production growth in the first half that we talked about in prior calls"
44,"Turning to commercial transportation, our business continues to outperform the market with organic revenue growth of 23% year-over-year"
45,"Growth is driven by continued strength in the global heavy-duty truck market, particularly in China, and while we do expect China growth will moderate over time, we are encouraged to see signs of continued growth in Europe and North America as these markets improve"
46,"In sensors, during the quarter, our business grew 7% organically year-over-year with growth driven by Transportation as well as an improving industrial backdrop, and we continue to expect mid-single-digit growth for the full year in our sensors business"
47,"Additionally, we're also encouraged by the strong design win momentum that we had in sensors that was reflected by double-digit order growth year-over-year in the quarter"
48,"Adjusted operating margin were as expected at approximately 19% in the quarter in the segment, but I would say, at these year-over-year revenue growth levels, we would normally expect a corresponding expansion of margins versus where we guided"
49,"However, demand in the second half of this year has exceeded our expectations, and has led to some near-term inefficiencies in our supply chain as we make sure we satisfy our customers"
50,"This is a temporary issue as our teams are fully engaged to ensure our customers are not impacted by these supply dynamics, and we expect this to be fully remedied in early fiscal 2018."
51,"So let's talk about the Industrial Solutions segment, so I'd appreciate if you could turn to slide 6."
52,Growth momentum in the Industrial Solutions segment continued with 5% organic growth year-over-year in the quarter
53,Segment sales did exceed our expectations due to strength in industrial equipment with this business growing 10% organically
54,"Now, this growth we saw in the industrial equipment side is really due to our position in the factory automation and medical markets, also coupled with the acquisitions that we completed last year, and this is really driving the strong growth ahead of the market on both a reported and on an organic basis"
55,"When you think about Intercontec and Creganna, both of these acquisitions performing exceptionally well and ahead of our expectations"
56,"In aerospace, defense and marine, we did see a slight organic decline in the quarter in revenue, and this was driven entirely by program timing in commercial aerospace, and that was partially offset by growth in defense"
57,"Our energy business in the quarter grew 2% organically, and that was driven by growth in Europe and Asia"
58,"On the margin side, our adjusted operating margins for the quarter were 12.7%, and this was flat sequentially and down year-over-year due to the near term softness in commercial aerospace, which does run above segment average margins"
59,"We do expect Industrial segment margins to resume expansion in our fourth quarter, and this will be both on a sequential and year-over-year basis, driven by a combination of both growth and cost actions"
60,Adjusted EBITDA for the segment were steady year-over-year at 17%
61,"So if you could please turn to page 7, and let me cover Communications"
62,The Communications segment delivered another outstanding quarter with 14% organic growth and 500 basis points of adjusted operating margin expansion to 16%
63,Performance was well ahead of the market and included contributions from all three of the businesses
64,Starting with data and devices
65,Data and devices had 6% organic growth as we continued to benefit from high-speed ramps in cloud infrastructure customers
66,"In addition, because of our multiyear transformation, our D&D business more than doubled its adjusted operating margin from a year ago, driving significant improvement at the segment level as the actions that we took to focus the portfolio and optimize our operations are essentially complete"
67,"In appliances, we had another solid quarter with 14% organic growth year-over-year as demand remained strong particularly in Asia"
68,"And in SubCom, growth was 22% organically in the quarter reflecting the strong growth cycle of this business"
69,"Earlier this month, we announced the winning of a new regional program which provides high-speed bandwidth between the Caribbean and the United States, and we continue to expect high-single-digit growth for the SubCom business in 2017."
70,"Now, with that as a backdrop, I'll hand it over to Heath who'll get into the financials in more detail"
71,"And let me get into guidance, and I'll start with the fourth quarter"
72,"And if you could turn to slide 10, please, I'd appreciate it"
73,"For the fourth quarter, we expect fourth quarter revenue at $3.2 billion to $3.3 billion and adjusted earnings per share of $1.14 to $1.16."
74,"When you look at this, this represents reported sales growth of 5% and organic sales growth of 4%"
