,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Sujal,Sujal,NNP,Xxxxx
3,and,and,CC,xxx
4,thank,thank,VBP,xxxx
5,you,-PRON-,PRP,xxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,",",",",",",","
9,for,for,IN,xxx
10,joining,join,VBG,xxxx
11,us,-PRON-,PRP,xx
12,today,today,NN,xxxx
13,"
","
",_SP,"
"
14,I,-PRON-,PRP,X
15,'m,be,VBP,'x
16,very,very,RB,xxxx
17,excited,excited,JJ,xxxx
18,to,to,TO,xx
19,share,share,VB,xxxx
20,our,-PRON-,PRP$,xxx
21,strong,strong,JJ,xxxx
22,results,result,NNS,xxxx
23,for,for,IN,xxx
24,the,the,DT,xxx
25,third,third,JJ,xxxx
26,quarter,quarter,NN,xxxx
27,and,and,CC,xxx
28,our,-PRON-,PRP$,xxx
29,increased,increase,VBN,xxxx
30,growth,growth,NN,xxxx
31,and,and,CC,xxx
32,earnings,earning,NNS,xxxx
33,outlook,outlook,NN,xxxx
34,we,-PRON-,PRP,xx
35,'re,be,VBP,'xx
36,providing,provide,VBG,xxxx
37,for,for,IN,xxx
38,the,the,DT,xxx
39,full,full,JJ,xxxx
40,year,year,NN,xxxx
41,"
","
",_SP,"
"
42,I,-PRON-,PRP,X
43,believe,believe,VBP,xxxx
44,this,this,DT,xxxx
45,quarter,quarter,NN,xxxx
46,'s,'s,POS,'x
47,performance,performance,NN,xxxx
48,continues,continue,VBZ,xxxx
49,to,to,TO,xx
50,demonstrate,demonstrate,VB,xxxx
51,the,the,DT,xxx
52,strength,strength,NN,xxxx
53,of,of,IN,xx
54,our,-PRON-,PRP$,xxx
55,business,business,NN,xxxx
56,model,model,NN,xxxx
57,with,with,IN,xxxx
58,all,all,DT,xxx
59,of,of,IN,xx
60,our,-PRON-,PRP$,xxx
61,segments,segment,NNS,xxxx
62,contributing,contribute,VBG,xxxx
63,"
","
",_SP,"
"
64,It,-PRON-,PRP,Xx
65,also,also,RB,xxxx
66,reflects,reflect,VBZ,xxxx
67,the,the,DT,xxx
68,ongoing,ongoing,JJ,xxxx
69,effective,effective,JJ,xxxx
70,implementation,implementation,NN,xxxx
