,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,afternoon,afternoon,NN,xxxx
2,and,and,CC,xxx
3,thank,thank,VBP,xxxx
4,you,-PRON-,PRP,xxx
5,for,for,IN,xxx
6,joining,join,VBG,xxxx
7,our,-PRON-,PRP$,xxx
8,fourth,fourth,JJ,xxxx
9,quarter,quarter,NN,xxxx
10,',','','
11,16,16,CD,dd
12,and,and,CC,xxx
13,2016,2016,CD,dddd
14,earnings,earning,NNS,xxxx
15,conference,conference,NN,xxxx
16,call,call,NN,xxxx
17,"
","
",_SP,"
"
18,For,for,IN,Xxx
19,any,any,DT,xxx
20,of,of,IN,xx
21,you,-PRON-,PRP,xxx
22,who,who,WP,xxx
23,missed,miss,VBD,xxxx
24,the,the,DT,xxx
25,release,release,NN,xxxx
26,",",",",",",","
27,you,-PRON-,PRP,xxx
28,can,can,MD,xxx
29,find,find,VB,xxxx
30,it,-PRON-,PRP,xx
31,on,on,IN,xx
32,our,-PRON-,PRP$,xxx
33,Web,web,NN,Xxx
34,site,site,NN,xxxx
35,at,at,IN,xx
36,ti,ti,NNP,xx
37,"
","
",_SP,"
"
38,com,com,NNP,xxx
39,/,/,SYM,/
40,ir,ir,NN,xx
41,"
","
",_SP,"
"
42,This,this,DT,Xxxx
43,call,call,NN,xxxx
44,is,be,VBZ,xx
45,being,be,VBG,xxxx
46,broadcast,broadcast,VBN,xxxx
47,live,live,RB,xxxx
48,over,over,IN,xxxx
49,the,the,DT,xxx
50,Web,web,NN,Xxx
51,",",",",",",","
52,and,and,CC,xxx
53,can,can,MD,xxx
54,be,be,VB,xx
55,accessed,access,VBN,xxxx
56,through,through,IN,xxxx
57,our,-PRON-,PRP$,xxx
58,Web,web,NN,Xxx
59,site,site,NN,xxxx
60,"
","
",_SP,"
"
61,A,a,DT,X
62,replay,replay,NN,xxxx
63,will,will,MD,xxxx
64,be,be,VB,xx
65,available,available,JJ,xxxx
66,through,through,IN,xxxx
67,the,the,DT,xxx
68,Web,web,NN,Xxx
69,"
","
",_SP,"
"
70,This,this,DT,Xxxx
71,call,call,NN,xxxx
72,will,will,MD,xxxx
73,include,include,VB,xxxx
74,forward,forward,RB,xxxx
75,-,-,HYPH,-
76,looking,look,VBG,xxxx
77,statements,statement,NNS,xxxx
78,that,that,WDT,xxxx
79,involve,involve,VBP,xxxx
80,risks,risk,NNS,xxxx
81,and,and,CC,xxx
82,uncertainties,uncertainty,NNS,xxxx
83,that,that,WDT,xxxx
84,could,could,MD,xxxx
85,cause,cause,VB,xxxx
86,TI,TI,NNP,XX
87,’s,’s,POS,’x
88,results,result,NNS,xxxx
89,to,to,TO,xx
90,differ,differ,VB,xxxx
91,materially,materially,RB,xxxx
92,from,from,IN,xxxx
93,managements,management,NNS,xxxx
94,’,’,POS,’
95,current,current,JJ,xxxx
96,expectations,expectation,NNS,xxxx
97,"
","
",_SP,"
"
98,We,-PRON-,PRP,Xx
99,encourage,encourage,VBP,xxxx
100,you,-PRON-,PRP,xxx
101,to,to,TO,xx
102,review,review,VB,xxxx
103,the,the,DT,xxx
104,notice,notice,NN,xxxx
105,regarding,regard,VBG,xxxx
106,forward,forward,RB,xxxx
107,-,-,HYPH,-
108,looking,look,VBG,xxxx
109,statements,statement,NNS,xxxx
110,contained,contain,VBN,xxxx
111,in,in,IN,xx
112,the,the,DT,xxx
113,earnings,earning,NNS,xxxx
114,release,release,NN,xxxx
115,published,publish,VBN,xxxx
116,today,today,NN,xxxx
117,",",",",",",","
118,as,as,RB,xx
119,well,well,RB,xxxx
120,as,as,IN,xx
121,TI,TI,NNP,XX
122,’s,’s,POS,’x
123,most,most,JJS,xxxx
124,recent,recent,JJ,xxxx
125,SEC,SEC,NNP,XXX
126,filings,filing,NNS,xxxx
127,for,for,IN,xxx
128,a,a,DT,x
129,more,more,RBR,xxxx
130,complete,complete,JJ,xxxx
131,description,description,NN,xxxx
132,"
","
",_SP,"
"
133,As,as,IN,Xx
134,usual,usual,JJ,xxxx
135,",",",",",",","
136,Kevin,Kevin,NNP,Xxxxx
137,March,March,NNP,Xxxxx
138,",",",",",",","
139,TI,TI,NNP,XX
140,'s,'s,POS,'x
141,Chief,Chief,NNP,Xxxxx
142,Financial,Financial,NNP,Xxxxx
143,Officer,Officer,NNP,Xxxxx
144,is,be,VBZ,xx
145,with,with,IN,xxxx
146,me,-PRON-,PRP,xx
147,today,today,NN,xxxx
148,"
","
",_SP,"
"
149,Also,also,RB,Xxxx
150,with,with,IN,xxxx
151,me,-PRON-,PRP,xx
152,is,be,VBZ,xx
153,Rafael,Rafael,NNP,Xxxxx
154,Lizardi,Lizardi,NNP,Xxxxx
155,",",",",",",","
156,who,who,WP,xxx
157,will,will,MD,xxxx
158,become,become,VB,xxxx
159,our,-PRON-,PRP$,xxx
160,Chief,Chief,NNP,Xxxxx
161,Financial,Financial,NNP,Xxxxx
162,Officer,Officer,NNP,Xxxxx
163,",",",",",",","
164,February,February,NNP,Xxxxx
165,1st,1st,NN,dxx
166,"
","
",_SP,"
"
167,Rafael,Rafael,NNP,Xxxxx
168,joined,join,VBD,xxxx
169,TI,TI,NNP,XX
170,in,in,IN,xx
171,2001,2001,CD,dddd
172,",",",",",",","
173,and,and,CC,xxx
174,was,be,VBD,xxx
175,named,name,VBN,xxxx
176,Vice,Vice,NNP,Xxxx
177,President,President,NNP,Xxxxx
178,in,in,IN,xx
179,2010,2010,CD,dddd
180,",",",",",",","
181,followed,follow,VBN,xxxx
182,by,by,IN,xx
183,Corporate,Corporate,NNP,Xxxxx
184,Controller,Controller,NNP,Xxxxx
185,in,in,IN,xx
186,2012,2012,CD,dddd
187,.,.,.,.
188,He,-PRON-,PRP,Xx
189,holds,hold,VBZ,xxxx
190,a,a,DT,x
191,Bachelors,Bachelors,NNP,Xxxxx
192,degree,degree,NN,xxxx
193,in,in,IN,xx
194,Electrical,Electrical,NNP,Xxxxx
195,Engineering,Engineering,NNP,Xxxxx
196,from,from,IN,xxxx
197,the,the,DT,xxx
198,U.S,U.S,NNP,X.X
199,"
","
",_SP,"
"
200,Military,Military,NNP,Xxxxx
201,Academy,Academy,NNP,Xxxxx
202,of,of,IN,xx
203,West,West,NNP,Xxxx
204,Point,Point,NNP,Xxxxx
205,",",",",",",","
206,and,and,CC,xxx
207,Masters,Masters,NNPS,Xxxxx
208,in,in,IN,xx
209,Business,Business,NNP,Xxxxx
210,of,of,IN,xx
211,Administration,Administration,NNP,Xxxxx
212,from,from,IN,xxxx
213,Stanford,Stanford,NNP,Xxxxx
214,University,University,NNP,Xxxxx
215,"
","
",_SP,"
"
216,As,as,IN,Xx
217,you,-PRON-,PRP,xxx
218,know,know,VBP,xxxx
219,",",",",",",","
220,Kevin,Kevin,NNP,Xxxxx
221,",",",",",",","
222,who,who,WP,xxx
223,has,have,VBZ,xxx
224,been,be,VBN,xxxx
225,our,-PRON-,PRP$,xxx
226,CFO,CFO,NNP,XXX
227,for,for,IN,xxx
228,13,13,CD,dd
229,years,year,NNS,xxxx
230,",",",",",",","
231,plans,plan,VBZ,xxxx
232,to,to,TO,xx
233,retire,retire,VB,xxxx
234,later,later,RB,xxxx
235,this,this,DT,xxxx
236,year,year,NN,xxxx
237,"
","
",_SP,"
"
238,During,during,IN,Xxxxx
239,his,-PRON-,PRP$,xxx
240,tenure,tenure,NN,xxxx
241,as,as,IN,xx
242,CFO,CFO,NNP,XXX
243,",",",",",",","
244,TI,TI,NNP,XX
245,'s,'s,POS,'x
246,free,free,JJ,xxxx
247,cash,cash,NN,xxxx
248,flow,flow,NN,xxxx
249,per,per,IN,xxx
250,share,share,NN,xxxx
251,has,have,VBZ,xxx
252,grown,grow,VBN,xxxx
253,in,in,IN,xx
254,average,average,NN,xxxx
255,of,of,IN,xx
256,13,13,CD,dd
257,%,%,NN,%
258,annually,annually,RB,xxxx
259,"
","
",_SP,"
"
260,Our,-PRON-,PRP$,Xxx
261,dividend,dividend,NN,xxxx
262,has,have,VBZ,xxx
263,increased,increase,VBN,xxxx
264,by,by,IN,xx
265,a,a,DT,x
266,factor,factor,NN,xxxx
267,of,of,IN,xx
268,24,24,CD,dd
269,%,%,NN,%
270,",",",",",",","
271,and,and,CC,xxx
272,our,-PRON-,PRP$,xxx
273,share,share,NN,xxxx
274,count,count,NN,xxxx
275,has,have,VBZ,xxx
276,been,be,VBN,xxxx
277,reduced,reduce,VBN,xxxx
278,by,by,IN,xx
279,42,42,CD,dd
280,%,%,NN,%
281,"
","
",_SP,"
"
282,We,-PRON-,PRP,Xx
283,’ve,have,VB,’xx
284,all,all,RB,xxx
285,benefitted,benefit,VBN,xxxx
286,and,and,CC,xxx
287,learned,learn,VBD,xxxx
288,a,a,DT,x
289,lot,lot,NN,xxx
290,from,from,IN,xxxx
291,his,-PRON-,PRP$,xxx
292,disciplined,disciplined,JJ,xxxx
293,financial,financial,JJ,xxxx
294,management,management,NN,xxxx
295,and,and,CC,xxx
296,his,-PRON-,PRP$,xxx
297,commitment,commitment,NN,xxxx
298,to,to,TO,xx
299,ensure,ensure,VB,xxxx
300,that,that,IN,xxxx
301,owners,owner,NNS,xxxx
302,of,of,IN,xx
303,TI,TI,NNP,XX
304,'s,'s,POS,'x
305,shares,share,NNS,xxxx
306,get,get,VBP,xxx
307,a,a,DT,x
308,good,good,JJ,xxxx
309,return,return,NN,xxxx
310,on,on,IN,xx
311,their,-PRON-,PRP$,xxxx
312,investment,investment,NN,xxxx
313,"
","
",_SP,"
"
314,Kevin,Kevin,NNP,Xxxxx
315,will,will,MD,xxxx
316,continue,continue,VB,xxxx
317,to,to,TO,xx
318,be,be,VB,xx
319,with,with,IN,xxxx
