,Sentences
0,"Thanks, Dave, and good afternoon everyone"
1,Gross profit in the quarter was $2.66 billion or 64.5% of revenue
2,"From a year ago, gross profit increased primarily due to higher revenue"
3,Gross profit margin increased 240 basis points
4,"Operating expenses in the quarter were $787 million, and on a trailing 12-month basis, were 22% of revenue, within our range of expectations"
5,"Over the last 12 months, we have invested $1.5 billion in R&D, an important element of our capital allocation"
6,"Acquisition charges were $80 million, all of which was the ongoing amortization of intangibles, which is a noncash expense"
7,"Operating profit was $1.79 billion, or 43.4% of revenue"
8,Operating profit was up 27% from the year-ago quarter
9,"Operating margin for Analog was 47%, up from 41.2% a year-ago, and for Embedded Processing was 34.9%, up from 28.2% a year ago"
10,Our focused investment on the best sustainable growth opportunities with differentiated positions enable both businesses to continue to contribute nicely to free cash flow growth
11,Net income in the third quarter was $1.29 billion or $1.26 per share
12,"This included a $38 million discrete tax benefit that was $18 million higher than our original guidance for the quarter, adding about $0.02 to earnings per share"
13,"Let me now comment on our capital management results, starting with our cash generation"
14,"Cash flow from operations was $1.72 billion in the quarter, up 18% from a year ago"
15,Capital expenditures were $186 million in the quarter
16,"On a trailing 12-month basis, cash flow from operations was $4.82 billion"
17,"Trailing 12-month capital expenditures were $574 million or about 4% of revenue, consistent with our long-term expectation"
18,Free cash flow for the past 12 months was $4.25 billion or 29% of revenue
19,Our cash flow reflects the strength of our business model
20,"As we have said, we believe free cash flow growth, especially on a per share basis, is most important to maximizing shareholder value in the long term, and will be valued only if it is productively invested in the business or returned to owners"
21,"As Dave mentioned already, in September we announced we will increase our dividend by 24% and also increase our share repurchase authorizations by $6 billion"
22,"Our quarterly dividend went from $0.50 per share to $0.62 per share, or $2.48 annualized"
23,This is our 14th consecutive year of dividend increases
24,"And over the past five years, we have increased the dividend by a compounded average rate of 24%"
25,Our total outstanding repurchase authorization was about $10 billion at the end of third quarter
26,"For the third quarter, we paid $495 million in dividend and repurchased $650 million of our stock, for a total return of $1.15 billion in the third quarter"
27,"Over the last 12 months, we paid $1.99 billion in dividends, or about 47% of free cash flow, evidence of their sustainability"
28,"Outstanding share count was reduced by 1.5% over the past 12 months and has been reduced by 43% since the end of 2004, when we initiated a program designed to reduce our share count"
29,Total cash returned to owners in the past 12 months
30,was $4.32 billion
31,These combined returns of dividends and repurchases and our recent announcement to increase the dividend and share repurchase authorizations demonstrate our confidence in our business model and our commitment to return excess cash to our owners
32,"Our balance sheet remains strong with $3.44 billion of cash and short-term investments at the end of the third quarter, 76% of which was owned by the company's U.S"
33,entities
34,This is consistent with our long-term objective to have onshore cash readily available for multiple uses
