,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Jim,Jim,NNP,Xxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Revenue,revenue,NN,Xxxxx
11,for,for,IN,xxx
12,the,the,DT,xxx
13,second,second,JJ,xxxx
14,quarter,quarter,NN,xxxx
15,totaled,total,VBD,xxxx
16,$,$,$,$
17,289,289,CD,ddd
18,million,million,CD,xxxx
19,",",",",",",","
20,up,up,RB,xx
21,0.7,0.7,CD,d.d
22,%,%,NN,%
23,year,year,NN,xxxx
24,-,-,HYPH,-
25,over,over,IN,xxxx
26,-,-,HYPH,-
27,year,year,NN,xxxx
28,"
","
",_SP,"
"
29,During,during,IN,Xxxxx
30,the,the,DT,xxx
31,quarter,quarter,NN,xxxx
32,",",",",",",","
33,60,60,CD,dd
34,%,%,NN,%
35,of,of,IN,xx
36,our,-PRON-,PRP$,xxx
37,revenue,revenue,NN,xxxx
38,was,be,VBD,xxx
39,from,from,IN,xxxx
40,customers,customer,NNS,xxxx
41,in,in,IN,xx
42,the,the,DT,xxx
43,U.S,U.S,NNP,X.X
44,"
","
",_SP,"
"
45,and,and,CC,xxx
46,40,40,CD,dd
47,%,%,NN,%
48,was,be,VBD,xxx
49,from,from,IN,xxxx
50,foreign,foreign,JJ,xxxx
51,customers,customer,NNS,xxxx
52,"
","
",_SP,"
"
53,As,as,IN,Xx
54,it,-PRON-,PRP,xx
55,relates,relate,VBZ,xxxx
56,to,to,IN,xx
57,our,-PRON-,PRP$,xxx
58,GAAP,GAAP,NNP,XXXX
59,results,result,NNS,xxxx
60,",",",",",",","
61,operating,operate,VBG,xxxx
62,income,income,NN,xxxx
63,in,in,IN,xx
64,the,the,DT,xxx
65,second,second,JJ,xxxx
66,quarter,quarter,NN,xxxx
67,totaled,total,VBD,xxxx
68,$,$,$,$
69,175,175,CD,ddd
70,million,million,CD,xxxx
71,",",",",",",","
72,compared,compare,VBN,xxxx
73,with,with,IN,xxxx
74,$,$,$,$
75,176,176,CD,ddd
76,million,million,CD,xxxx
77,in,in,IN,xx
78,the,the,DT,xxx
79,second,second,JJ,xxxx
80,quarter,quarter,NN,xxxx
81,of,of,IN,xx
82,2016,2016,CD,dddd
83,.,.,.,.
84,The,the,DT,Xxx
85,operating,operate,VBG,xxxx
86,margin,margin,NN,xxxx
87,in,in,IN,xx
88,the,the,DT,xxx
89,quarter,quarter,NN,xxxx
90,came,come,VBD,xxxx
91,to,to,IN,xx
92,60.6,60.6,CD,dd.d
93,%,%,NN,%
94,compared,compare,VBN,xxxx
95,to,to,IN,xx
96,61.5,61.5,CD,dd.d
97,%,%,NN,%
98,in,in,IN,xx
99,the,the,DT,xxx
100,same,same,JJ,xxxx
101,quarter,quarter,NN,xxxx
102,a,a,DT,x
103,year,year,NN,xxxx
104,ago,ago,RB,xxx
105,"
","
",_SP,"
"
106,Net,net,JJ,Xxx
107,income,income,NN,xxxx
108,totaled,total,VBD,xxxx
109,$,$,$,$
110,123,123,CD,ddd
111,million,million,CD,xxxx
112,compared,compare,VBN,xxxx
113,to,to,IN,xx
114,$,$,$,$
115,113,113,CD,ddd
116,million,million,CD,xxxx
117,a,a,DT,x
118,year,year,NN,xxxx
119,earlier,earlier,RBR,xxxx
120,",",",",",",","
121,which,which,WDT,xxxx
122,produced,produce,VBD,xxxx
123,diluted,diluted,JJ,xxxx
124,earnings,earning,NNS,xxxx
125,per,per,IN,xxx
126,share,share,NN,xxxx
127,of,of,IN,xx
128,$,$,$,$
129,0.99,0.99,CD,d.dd
130,in,in,IN,xx
131,the,the,DT,xxx
132,second,second,JJ,xxxx
133,quarter,quarter,NN,xxxx
134,this,this,DT,xxxx
135,year,year,NN,xxxx
136,compared,compare,VBN,xxxx
137,to,to,IN,xx
138,$,$,$,$
139,0.87,0.87,CD,d.dd
140,for,for,IN,xxx
141,the,the,DT,xxx
142,second,second,JJ,xxxx
143,quarter,quarter,NN,xxxx
144,last,last,JJ,xxxx
145,year,year,NN,xxxx
146,"
","
",_SP,"
"
147,(,(,-LRB-,(
148,5:42,5:42,CD,d:dd
149,),),-RRB-,)
150,the,the,DT,xxx
151,second,second,JJ,xxxx
152,quarter,quarter,NN,xxxx
153,include,include,VBP,xxxx
154,a,a,DT,x
155,pre,pre,JJ,xxx
156,-,-,JJ,-
157,tax,tax,JJ,xxx
158,gain,gain,NN,xxxx
159,of,of,IN,xx
160,$,$,$,$
161,10.6,10.6,CD,dd.d
162,million,million,CD,xxxx
163,on,on,IN,xx
164,the,the,DT,xxx
165,sale,sale,NN,xxxx
166,of,of,IN,xx
167,the,the,DT,xxx
168,iDefense,iDefense,NNP,xXxxxx
169,business,business,NN,xxxx
170,",",",",",",","
171,which,which,WDT,xxxx
172,increased,increase,VBD,xxxx
173,GAAP,GAAP,NNP,XXXX
174,diluted,dilute,VBD,xxxx
175,earnings,earning,NNS,xxxx
176,per,per,IN,xxx
177,share,share,NN,xxxx
178,by,by,IN,xx
179,$,$,$,$
180,0.09,0.09,CD,d.dd
181,.,.,.,.
182,As,as,IN,Xx
183,Jim,Jim,NNP,Xxx
184,mentioned,mention,VBD,xxxx
185,earlier,earlier,RBR,xxxx
186,",",",",",",","
187,the,the,DT,xxx
188,company,company,NN,xxxx
189,continues,continue,VBZ,xxxx
190,to,to,TO,xx
191,manage,manage,VB,xxxx
192,its,-PRON-,PRP$,xxx
193,capital,capital,NN,xxxx
194,structure,structure,NN,xxxx
195,"
","
",_SP,"
"
196,Earlier,earlier,RBR,Xxxxx
197,this,this,DT,xxxx
198,month,month,NN,xxxx
199,we,-PRON-,PRP,xx
200,took,take,VBD,xxxx
201,advantage,advantage,NN,xxxx
202,of,of,IN,xx
203,what,what,WP,xxxx
204,we,-PRON-,PRP,xx
205,felt,feel,VBD,xxxx
206,were,be,VBD,xxxx
207,favorable,favorable,JJ,xxxx
208,market,market,NN,xxxx
209,conditions,condition,NNS,xxxx
210,and,and,CC,xxx
211,added,add,VBD,xxxx
212,another,another,DT,xxxx
213,long,long,JJ,xxxx
214,-,-,HYPH,-
215,term,term,NN,xxxx
216,fixed,fix,VBN,xxxx
217,-,-,HYPH,-
218,rate,rate,NN,xxxx
219,piece,piece,NN,xxxx
220,of,of,IN,xx
221,debt,debt,NN,xxxx
222,into,into,IN,xxxx
223,our,-PRON-,PRP$,xxx
224,capital,capital,NN,xxxx
225,structure,structure,NN,xxxx
226,"
","
",_SP,"
"
227,The,the,DT,Xxx
228,10-year,10-year,CD,dd-xxxx
229,note,note,NN,xxxx
230,issuance,issuance,NN,xxxx
231,",",",",",",","
232,which,which,WDT,xxxx
233,totaled,total,VBD,xxxx
234,$,$,$,$
235,550,550,CD,ddd
236,million,million,CD,xxxx
237,",",",",",",","
238,is,be,VBZ,xx
239,scheduled,schedule,VBN,xxxx
240,to,to,TO,xx
241,mature,mature,VB,xxxx
242,on,on,IN,xx
243,July,July,NNP,Xxxx
244,15,15,CD,dd
245,",",",",",",","
246,2027,2027,CD,dddd
247,",",",",",",","
248,and,and,CC,xxx
249,carried,carry,VBD,xxxx
250,an,an,DT,xx
251,interest,interest,NN,xxxx
252,rate,rate,NN,xxxx
253,of,of,IN,xx
254,4.75,4.75,CD,d.dd
255,%,%,NN,%
256,"
","
",_SP,"
"
257,As,as,IN,Xx
258,this,this,DT,xxxx
259,offering,offering,NN,xxxx
260,closed,close,VBD,xxxx
261,in,in,IN,xx
262,early,early,JJ,xxxx
263,July,July,NNP,Xxxx
264,",",",",",",","
265,our,-PRON-,PRP$,xxx
266,second,second,JJ,xxxx
267,quarter,quarter,NN,xxxx
268,ending,end,VBG,xxxx
269,balance,balance,NN,xxxx
270,sheet,sheet,NN,xxxx
271,does,do,VBZ,xxxx
272,not,not,RB,xxx
273,reflect,reflect,VB,xxxx
274,the,the,DT,xxx
275,net,net,JJ,xxx
276,proceeds,proceed,NNS,xxxx
277,from,from,IN,xxxx
278,this,this,DT,xxxx
279,issuance,issuance,NN,xxxx
280,"
","
",_SP,"
"
281,As,as,IN,Xx
282,of,of,IN,xx
283,June,June,NNP,Xxxx
284,30,30,CD,dd
285,",",",",",",","
286,2017,2017,CD,dddd
287,",",",",",",","
288,the,the,DT,xxx
289,company,company,NN,xxxx
290,maintained,maintain,VBD,xxxx
291,total,total,JJ,xxxx
292,assets,asset,NNS,xxxx
293,of,of,IN,xx
294,$,$,$,$
295,2.3,2.3,CD,d.d
296,billion,billion,CD,xxxx
297,and,and,CC,xxx
298,total,total,JJ,xxxx
299,liabilities,liability,NNS,xxxx
300,of,of,IN,xx
301,$,$,$,$
302,3.5,3.5,CD,d.d
303,billion,billion,CD,xxxx
304,"
","
",_SP,"
"
305,Assets,asset,NNS,Xxxxx
306,included,include,VBD,xxxx
307,$,$,$,$
308,1.8,1.8,CD,d.d
309,billion,billion,CD,xxxx
310,of,of,IN,xx
311,cash,cash,NN,xxxx
312,",",",",",",","
313,cash,cash,NN,xxxx
314,equivalents,equivalent,NNS,xxxx
315,and,and,CC,xxx
316,marketable,marketable,JJ,xxxx
317,securities,security,NNS,xxxx
318,",",",",",",","
319,of,of,IN,xx
320,which,which,WDT,xxxx
321,$,$,$,$
322,269,269,CD,ddd
323,million,million,CD,xxxx
324,were,be,VBD,xxxx
325,held,hold,VBN,xxxx
326,domestically,domestically,RB,xxxx
327,with,with,IN,xxxx
328,the,the,DT,xxx
329,remainder,remainder,NN,xxxx
330,held,hold,VBN,xxxx
331,abroad,abroad,RB,xxxx
332,"
","
",_SP,"
"
333,I,-PRON-,PRP,X
334,'ll,will,MD,'xx
335,now,now,RB,xxx
336,review,review,VB,xxxx
337,some,some,DT,xxxx
338,additional,additional,JJ,xxxx
339,second,second,JJ,xxxx
340,quarter,quarter,NN,xxxx
341,financial,financial,JJ,xxxx
342,metrics,metric,NNS,xxxx
343,",",",",",",","
344,which,which,WDT,xxxx
345,include,include,VBP,xxxx
346,non,non,JJ,xxx
347,-,-,JJ,-
348,GAAP,gaap,JJ,XXXX
349,operating,operating,NN,xxxx
350,margin,margin,NN,xxxx
351,",",",",",",","
352,non,non,JJ,xxx
353,-,-,JJ,-
354,GAAP,gaap,JJ,XXXX
355,earnings,earning,NNS,xxxx
356,per,per,IN,xxx
357,share,share,NN,xxxx
358,",",",",",",","
359,diluted,diluted,JJ,xxxx
360,share,share,NN,xxxx
361,count,count,NN,xxxx
362,",",",",",",","
363,operating,operate,VBG,xxxx
364,cash,cash,NN,xxxx
365,flow,flow,NN,xxxx
366,and,and,CC,xxx
367,free,free,JJ,xxxx
368,cash,cash,NN,xxxx
369,flow,flow,NN,xxxx
370,"
","
",_SP,"
"
371,I,-PRON-,PRP,X
372,will,will,MD,xxxx
373,then,then,RB,xxxx
374,discuss,discuss,VB,xxxx
375,our,-PRON-,PRP$,xxx
376,2017,2017,CD,dddd
377,full,full,JJ,xxxx
378,-,-,HYPH,-
379,year,year,NN,xxxx
380,guidance,guidance,NN,xxxx
381,"
","
",_SP,"
"
382,As,as,IN,Xx
383,it,-PRON-,PRP,xx
384,relates,relate,VBZ,xxxx
385,to,to,IN,xx
386,non,non,JJ,xxx
387,-,-,JJ,-
388,GAAP,gaap,JJ,XXXX
389,metrics,metric,NNS,xxxx
390,",",",",",",","
391,second,second,JJ,xxxx
392,quarter,quarter,NN,xxxx
393,operating,operate,VBG,xxxx
394,expense,expense,NN,xxxx
395,",",",",",",","
396,which,which,WDT,xxxx
397,excludes,exclude,VBZ,xxxx
398,$,$,$,$
399,13,13,CD,dd
400,million,million,CD,xxxx
401,of,of,IN,xx
402,stock,stock,NN,xxxx
403,-,-,HYPH,-
404,based,base,VBN,xxxx
405,compensation,compensation,NN,xxxx
406,",",",",",",","
407,totaled,total,VBD,xxxx
408,$,$,$,$
409,100,100,CD,ddd
410,million,million,CD,xxxx
411,",",",",",",","
412,as,as,IN,xx
413,compared,compare,VBN,xxxx
414,to,to,IN,xx
415,$,$,$,$
416,99,99,CD,dd
417,million,million,CD,xxxx
418,in,in,IN,xx
419,the,the,DT,xxx
420,same,same,JJ,xxxx
421,quarter,quarter,NN,xxxx
422,a,a,DT,x
423,year,year,NN,xxxx
424,ago,ago,RB,xxx
425,and,and,CC,xxx
426,$,$,$,$
427,101,101,CD,ddd
428,million,million,CD,xxxx
429,in,in,IN,xx
430,the,the,DT,xxx
431,first,first,JJ,xxxx
432,quarter,quarter,NN,xxxx
