,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Hikmet,Hikmet,NNP,Xxxxx
4,"
","
",_SP,"
"
5,First,first,JJ,Xxxxx
6,quarter,quarter,NN,xxxx
7,reported,report,VBD,xxxx
8,revenues,revenue,NNS,xxxx
9,of,of,IN,xx
10,$,$,$,$
11,1.3,1.3,CD,d.d
12,billion,billion,CD,xxxx
13,were,be,VBD,xxxx
14,flat,flat,JJ,xxxx
15,or,or,CC,xx
16,increased,increase,VBN,xxxx
17,3,3,CD,d
18,%,%,NN,%
19,on,on,IN,xx
20,a,a,DT,x
21,constant,constant,JJ,xxxx
22,currency,currency,NN,xxxx
23,basis,basis,NN,xxxx
24,compared,compare,VBN,xxxx
25,to,to,IN,xx
26,the,the,DT,xxx
27,prior,prior,JJ,xxxx
28,-,-,HYPH,-
29,year,year,NN,xxxx
30,period,period,NN,xxxx
31,"
","
",_SP,"
"
32,The,the,DT,Xxx
33,impact,impact,NN,xxxx
34,of,of,IN,xx
35,currency,currency,NN,xxxx
36,translation,translation,NN,xxxx
37,",",",",",",","
38,net,net,NN,xxx
39,of,of,IN,xx
40,hedge,hedge,NN,xxxx
41,benefits,benefit,NNS,xxxx
42,",",",",",",","
43,reduced,reduce,VBN,xxxx
44,first,first,JJ,xxxx
45,quarter,quarter,NN,xxxx
46,revenue,revenue,NN,xxxx
47,by,by,IN,xx
48,approximately,approximately,RB,xxxx
49,$,$,$,$
50,30,30,CD,dd
51,million,million,CD,xxxx
52,compared,compare,VBN,xxxx
53,to,to,IN,xx
54,the,the,DT,xxx
55,prior,prior,JJ,xxxx
56,year,year,NN,xxxx
57,"
","
",_SP,"
"
58,In,in,IN,Xx
59,the,the,DT,xxx
60,Consumer,consumer,NN,Xxxxx
61,-,-,HYPH,-
62,to,to,IN,xx
63,-,-,HYPH,-
64,Consumer,consumer,NN,Xxxxx
65,segment,segment,NN,xxxx
66,",",",",",",","
67,revenues,revenue,NNS,xxxx
68,were,be,VBD,xxxx
69,flat,flat,JJ,xxxx
70,in,in,IN,xx
71,the,the,DT,xxx
72,quarter,quarter,NN,xxxx
73,or,or,CC,xx
74,increased,increase,VBD,xxxx
75,2,2,CD,d
76,%,%,NN,%
77,constant,constant,JJ,xxxx
78,currency,currency,NN,xxxx
79,",",",",",",","
80,while,while,IN,xxxx
81,transactions,transaction,NNS,xxxx
82,grew,grow,VBD,xxxx
83,2,2,CD,d
84,%,%,NN,%
85,"
","
",_SP,"
"
86,C2C,C2C,NNP,XdX
87,constant,constant,JJ,xxxx
88,currency,currency,NN,xxxx
89,revenue,revenue,NN,xxxx
90,benefited,benefit,VBN,xxxx
91,from,from,IN,xxxx
92,strong,strong,JJ,xxxx
93,growth,growth,NN,xxxx
94,in,in,IN,xx
95,westernunion,westernunion,NN,xxxx
96,"
","
",_SP,"
"
97,com,com,NN,xxx
98,",",",",",",","
99,while,while,IN,xxxx
100,geographically,geographically,RB,xxxx
101,growth,growth,NN,xxxx
102,was,be,VBD,xxx
103,driven,drive,VBN,xxxx
104,by,by,IN,xx
105,Latin,Latin,NNP,Xxxxx
106,America,America,NNP,Xxxxx
107,",",",",",",","
108,North,North,NNP,Xxxxx
109,America,America,NNP,Xxxxx
110,and,and,CC,xxx
111,Europe,Europe,NNP,Xxxxx
112,and,and,CC,xxx
113,CIS,CIS,NNP,XXX
114,regions,region,NNS,xxxx
115,"
","
",_SP,"
"
116,Total,total,JJ,Xxxxx
117,C2C,c2c,NN,XdX
118,cross,cross,JJ,xxxx
119,-,-,JJ,-
120,border,border,JJ,xxxx
121,principal,principal,NN,xxxx
122,increased,increase,VBD,xxxx
123,1,1,CD,d
124,%,%,NN,%
125,or,or,CC,xx
126,2,2,CD,d
127,%,%,NN,%
128,on,on,IN,xx
129,a,a,DT,x
130,constant,constant,JJ,xxxx
131,currency,currency,NN,xxxx
132,basis,basis,NN,xxxx
133,",",",",",",","
134,while,while,IN,xxxx
135,principal,principal,NN,xxxx
136,per,per,IN,xxx
137,transaction,transaction,NN,xxxx
