,Sentences
0,"Thank you, Hikmet"
1,Third quarter reported revenues of $1.4 billion increased 2% compared to the prior-year period or 3% on a constant-currency basis
2,The impact of currency translation net of hedge benefits reduced third quarter revenue by approximately $8 million (07:38) compared to the prior year
3,In the consumer-to-consumer segment revenues increased 1% on both the reported and constant-currency basis from the quarter
4,Transactions grew 2% led by strong growth in westernunion
5,"Total C2C cross-border principal increased 4%, or 2% on a constant currency basis"
6,"Principal per transaction increased 1%, or was flat constant currency"
7,The spread between C2C transaction growth and revenue growth in the quarter was 1% with no impact from currency
8,"Mix had a negative impact of approximately 1% in the quarter, while pricing was flat compared to the prior-year period"
9,"Turning to the regional results for the quarter, I will be referring to constant-currency movements as I discuss individual country contributions to the region's results"
10,"North America revenue increased 1% on a reported and constant-currency basis, while transactions grew 2%"
11,outbound growth driven by sends to Latin American and Caribbean countries was partially offset by a weaker trend in the U.S
12,to Mexico businesses
13,domestic money transfer business originated at retail locations declined due to price reductions and softer transaction trends
14,"Although, we continued to see good domestic growth from westernunion"
15,com
16,"In the Europe and CIS region, revenue increased 2%, or 1% on a constant-currency basis, while transactions increased 7%"
17,Revenue growth was again led by France with mixed results from other countries across the region
18,"In the Middle East, and Africa, South Asia region, revenue declined 8% in both reported and constant-currency terms while transactions were down 11%"
19,"The revenue decline improved relative to second quarter's rate, but we still experienced the impact of soft conditions in the oil-producing markets"
20,Total inbound business to India was down approximately 10% in the quarter which improved sequentially from a revenue decline of about 15% last quarter
21,Weakness in the Middle East send markets continued to contribute to the decline
22,"In the APAC region, revenue declined 1% or increased 1% constant currency while transactions were flat"
23,"In the Latin America and Caribbean region, Argentina and several other South American markets continued to drive very strong growth"
24,Revenue increased 19% in the region or 22% constant currency on transaction growth of 17%
25,com C2C revenue delivered strong results again in the quarter with revenue growing 23% on both a reported and constant currency basis driven by 24% transaction growth
26,com represented 10% of total C2C revenue in the quarter
27,"Business Solutions revenues grew 2% or 1% constant currency, including a negative 3 percentage point impact from the loss of the XE"
28,com business
29,"Revenues benefited from good growth in key verticals such as universities and NGOs, but this was partially offset by continued declines in sales of hedging products, partially due to lower FX volatility in key markets"
30,"Other revenues increased 9% in the third quarter, or 13% on a constant currency basis"
31,Other revenue growth was driven by Speedpay in the U.S
32,and the Pago Facil walk-in bill payments business in Argentina
